dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.722569,1.023048,0.000198,0.019810,0.990478,49.523889,6.282717
0.020000,0.722470,1.023048,0.000297,0.004929,-0.744015,-86.724636,6.282994
0.020000,0.723310,1.023048,0.001137,0.042006,1.853858,129.893655,0.000363
0.020000,0.725392,1.023050,0.003219,0.104101,3.104715,62.542831,0.001192
0.020000,0.728169,1.023055,0.005996,0.138837,1.736812,-68.395141,0.002297
0.020000,0.731641,1.023065,0.009468,0.173603,1.738327,0.075746,0.003675
0.020000,0.735809,1.023084,0.013636,0.208409,1.740284,0.097861,0.005323
0.020000,0.740674,1.023115,0.018501,0.243263,1.742669,0.119242,0.007239
0.020000,0.746238,1.023161,0.024064,0.278170,1.745364,0.134773,0.009420
0.020000,0.752500,1.023228,0.030327,0.313142,1.748596,0.161558,0.011863
0.020000,0.759463,1.023320,0.037291,0.348186,1.752229,0.181654,0.014563
0.020000,0.767129,1.023443,0.044957,0.383312,1.756300,0.203553,0.017515
0.020000,0.775498,1.023603,0.053328,0.418530,1.760901,0.230081,0.020716
0.020000,0.784572,1.023806,0.062405,0.453848,1.765894,0.249608,0.024158
0.020000,0.794355,1.024061,0.072190,0.489278,1.771501,0.280384,0.027835
0.020000,0.804846,1.024373,0.082687,0.524828,1.777499,0.299877,0.031742
0.020000,0.816050,1.024752,0.093897,0.560511,1.784154,0.332768,0.035870
0.020000,0.827968,1.025206,0.105824,0.596336,1.791239,0.354268,0.040211
0.020000,0.840603,1.025743,0.118470,0.632316,1.798985,0.387298,0.044757
0.020000,0.853958,1.026373,0.131839,0.668460,1.807234,0.412415,0.049499
0.020000,0.868034,1.027105,0.145935,0.704783,1.816111,0.443874,0.054425
0.020000,0.882836,1.027950,0.160761,0.741294,1.825585,0.473678,0.059527
0.020000,0.898366,1.028916,0.176321,0.778007,1.835638,0.502656,0.064792
0.020000,0.914628,1.030016,0.192620,0.814934,1.846356,0.535922,0.070208
0.020000,0.931624,1.031259,0.209662,0.852088,1.857678,0.566064,0.075763
0.020000,0.949359,1.032656,0.227451,0.889479,1.869581,0.595161,0.081444
0.020000,0.967835,1.034218,0.245994,0.927122,1.882148,0.628372,0.087235
0.020000,0.987057,1.035956,0.265294,0.965030,1.895363,0.660740,0.093123
0.020000,1.007029,1.037882,0.285358,1.003213,1.909157,0.689675,0.099092
0.020000,1.027754,1.040006,0.306192,1.041684,1.923559,0.720116,0.105125
0.020000,1.049237,1.042339,0.327801,1.080456,1.938589,0.751501,0.111206
0.020000,1.071482,1.044892,0.350192,1.119540,1.954191,0.780090,0.117316
0.020000,1.094493,1.047676,0.373371,1.158947,1.970371,0.809025,0.123439
0.020000,1.118275,1.050701,0.397345,1.198689,1.987116,0.837247,0.129555
0.020000,1.142833,1.053977,0.422120,1.238777,2.004390,0.863683,0.135644
0.020000,1.168172,1.057514,0.447705,1.279221,2.022197,0.890383,0.141688
0.020000,1.194297,1.061321,0.474105,1.320031,2.040496,0.914925,0.147664
0.020000,1.221213,1.065406,0.501330,1.361217,2.059284,0.939420,0.153552
0.020000,1.248926,1.069778,0.529385,1.402787,2.078531,0.962309,0.159330
0.020000,1.277441,1.074443,0.558280,1.444752,2.098223,0.984609,0.164976
0.020000,1.306766,1.079409,0.588023,1.487119,2.118341,1.005898,0.170468
0.020000,1.336907,1.084681,0.618621,1.529896,2.138872,1.026573,0.175782
0.020000,1.367869,1.090263,0.650083,1.573092,2.159798,1.046301,0.180895
0.020000,1.399662,1.096159,0.682417,1.616714,2.181119,1.066042,0.185783
0.020000,1.432291,1.102371,0.715632,1.660771,2.202824,1.085244,0.190421
0.020000,1.465765,1.108901,0.749738,1.705269,2.224909,1.104276,0.194785
0.020000,1.500094,1.115747,0.784742,1.750217,2.247385,1.123767,0.198849
0.020000,1.535285,1.122908,0.820654,1.795622,2.270254,1.143450,0.202588
0.020000,1.571349,1.130381,0.857484,1.841492,2.293527,1.163658,0.205975
0.020000,1.608295,1.138160,0.895241,1.887837,2.317228,1.185071,0.208984
0.020000,1.646136,1.146238,0.933934,1.934664,2.341378,1.207492,0.211588
0.020000,1.684882,1.154607,0.973574,1.981984,2.366000,1.231066,0.213758
0.020000,1.724547,1.163254,1.014170,2.029807,2.391128,1.256436,0.215467
0.020000,1.765143,1.172167,1.055733,2.078143,2.416796,1.283406,0.216686
0.020000,1.806684,1.181329,1.098273,2.127004,2.443036,1.311987,0.217385
0.020000,1.849187,1.190723,1.141801,2.176401,2.469892,1.342787,0.217534
0.020000,1.892666,1.200325,1.186328,2.226349,2.497392,1.374999,0.217102
