dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.820386,0.427633,0.000200,0.019973,0.998645,49.932255,2.573808
0.020000,4.820627,0.427480,0.000485,0.014269,-0.285180,-64.191261,2.574611
0.020000,4.819972,0.427895,0.001261,0.038774,1.225233,75.520664,2.576216
0.020000,4.818671,0.428719,0.002801,0.077020,1.912324,34.354555,2.578624
0.020000,4.816932,0.429812,0.004855,0.102677,1.282808,-31.475793,2.581836
0.020000,4.814755,0.431171,0.007421,0.128313,1.281817,-0.049570,2.585852
0.020000,4.812136,0.432789,0.010500,0.153942,1.281436,-0.019062,2.590674
0.020000,4.809071,0.434660,0.014091,0.179561,1.280953,-0.024157,2.596302
0.020000,4.805555,0.436777,0.018195,0.205186,1.281282,0.016453,2.602735
0.020000,4.801584,0.439132,0.022811,0.230825,1.281942,0.032996,2.609973
0.020000,4.797152,0.441714,0.027941,0.256506,1.284021,0.103981,2.618013
0.020000,4.792251,0.444515,0.033586,0.282246,1.287035,0.150708,2.626852
0.020000,4.786873,0.447523,0.039748,0.308088,1.292097,0.253059,2.636484
0.020000,4.781009,0.450725,0.046429,0.334068,1.299011,0.345736,2.646901
0.020000,4.774649,0.454110,0.053634,0.360245,1.308805,0.489697,2.658094
0.020000,4.767780,0.457664,0.061368,0.386670,1.321248,0.622122,2.670046
0.020000,4.760391,0.461374,0.069636,0.413419,1.337464,0.810799,2.682741
0.020000,4.752465,0.465223,0.078447,0.440569,1.357505,1.002046,2.696155
0.020000,4.743986,0.469198,0.087812,0.468212,1.382170,1.233249,2.710261
0.020000,4.734936,0.473282,0.097740,0.496446,1.411679,1.475449,2.725026
0.020000,4.725294,0.477460,0.108248,0.525376,1.446497,1.740910,2.740410
0.020000,4.715039,0.481713,0.119350,0.555118,1.487114,2.030870,2.756369
0.020000,4.704146,0.486026,0.131066,0.585791,1.533631,2.325870,2.772848
0.020000,4.692588,0.490379,0.143416,0.617518,1.586349,2.635865,2.789790
0.020000,4.680338,0.494755,0.156425,0.650423,1.645248,2.944959,2.807128
0.020000,4.667365,0.499135,0.170117,0.684626,1.710188,3.247014,2.824789
0.020000,4.653637,0.503499,0.184522,0.720246,1.780966,3.538883,2.842693
0.020000,4.639121,0.507827,0.199670,0.757391,1.857279,3.815673,2.860755
0.020000,4.623782,0.512101,0.215593,0.796159,1.938362,4.054133,2.878883
0.020000,4.607584,0.516299,0.232326,0.836635,2.023815,4.272648,2.896981
0.020000,4.590492,0.520401,0.249904,0.878889,2.112723,4.445403,2.914949
0.020000,4.572468,0.524387,0.268363,0.922976,2.204331,4.580385,2.932684
0.020000,4.553476,0.528239,0.287742,0.968932,2.297794,4.673175,2.950081
0.020000,4.533480,0.531938,0.308078,1.016778,2.392299,4.725251,2.967034
0.020000,4.512443,0.535468,0.329408,1.066520,2.487107,4.740378,2.983436
0.020000,4.490332,0.538814,0.351771,1.118151,2.581572,4.723243,2.999180
0.020000,4.467111,0.541963,0.375204,1.171656,2.675214,4.682114,3.014163
0.020000,4.442748,0.544906,0.399744,1.227010,2.767723,4.625475,3.028278
0.020000,4.417210,0.547639,0.425428,1.284190,2.858974,4.562548,3.041424
0.020000,4.390465,0.550160,0.452292,1.343171,2.949058,4.504157,3.053500
0.020000,4.362482,0.552474,0.480370,1.403936,3.038246,4.459400,3.064405
0.020000,4.333229,0.554591,0.509700,1.466477,3.127082,4.441815,3.074039
0.020000,4.302674,0.556527,0.540316,1.530801,3.216201,4.455941,3.082302
0.020000,4.270785,0.558306,0.572254,1.596931,3.306499,4.514908,3.089093
0.020000,4.237528,0.559962,0.605553,1.664910,3.398929,4.621490,3.094307
0.020000,4.202868,0.561535,0.640249,1.734802,3.494632,4.785153,3.097837
