dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.182501,2.651419,0.000200,0.019994,0.999725,49.986243,0.000000
0.020000,0.182501,2.651419,0.000200,0.000000,-0.999725,-99.972486,0.000000
0.020000,0.183271,2.651419,0.000970,0.038481,1.924050,146.188748,0.000000
0.020000,0.185670,2.651419,0.003369,0.119967,4.074299,107.512446,0.000000
0.020000,0.188869,2.651419,0.006568,0.159956,1.999450,-103.742466,0.000000
0.020000,0.192868,2.651419,0.010567,0.199945,1.999450,0.000000,0.000000
0.020000,0.197667,2.651419,0.015366,0.239934,1.999450,-0.000000,0.000000
0.020000,0.203265,2.651419,0.020964,0.279923,1.999450,0.000000,0.000000
0.020000,0.209663,2.651419,0.027362,0.319912,1.999450,-0.000000,0.000000
0.020000,0.216861,2.651419,0.034560,0.359901,1.999450,0.000000,0.000000
0.020000,0.224859,2.651419,0.042558,0.399890,1.999450,-0.000000,0.000000
0.020000,0.233657,2.651419,0.051356,0.439879,1.999450,0.000000,0.000000
0.020000,0.243254,2.651419,0.060953,0.479868,1.999450,-0.000000,0.000000
0.020000,0.253651,2.651419,0.071350,0.519857,1.999450,0.000000,0.000000
0.020000,0.264848,2.651419,0.082547,0.559846,1.999450,-0.000000,0.000000
0.020000,0.276845,2.651419,0.094544,0.599835,1.999450,0.000000,0.000000
0.020000,0.289641,2.651419,0.107340,0.639824,1.999450,-0.000000,0.000000
0.020000,0.303238,2.651419,0.120937,0.679813,1.999450,-0.000000,0.000000
0.020000,0.317634,2.651419,0.135333,0.719802,1.999450,0.000000,0.000000
0.020000,0.332830,2.651419,0.150528,0.759791,1.999450,-0.000000,0.000000
0.020000,0.348825,2.651419,0.166524,0.799780,1.999450,-0.000000,0.000000
0.020000,0.365621,2.651419,0.183319,0.839769,1.999450,0.000000,0.000000
0.020000,0.383216,2.651419,0.200915,0.879758,1.999450,-0.000000,0.000000
0.020000,0.401611,2.651419,0.219309,0.919747,1.999450,0.000000,0.000000
0.020000,0.420805,2.651419,0.238504,0.959736,1.999450,0.000000,0.000000
0.020000,0.440800,2.651419,0.258499,0.999725,1.999450,-0.000000,0.000000
0.020000,0.461594,2.651419,0.279293,1.039714,1.999450,0.000000,0.000000
0.020000,0.483188,2.651419,0.300887,1.079703,1.999450,-0.000000,0.000000
0.020000,0.505582,2.651419,0.323281,1.119692,1.999450,0.000000,0.000000
0.020000,0.528776,2.651419,0.346474,1.159681,1.999450,0.000000,0.000000
0.020000,0.552769,2.651419,0.370468,1.199670,1.999450,-0.000000,0.000000
0.020000,0.577562,2.651419,0.395261,1.239659,1.999450,0.000000,0.000000
0.020000,0.603155,2.651419,0.420854,1.279648,1.999450,0.000000,0.000000
0.020000,0.629548,2.651419,0.447247,1.319637,1.999450,-0.000000,0.000000
0.020000,0.656740,2.651419,0.474439,1.359626,1.999450,0.000000,0.000000
0.020000,0.684733,2.651419,0.502432,1.399615,1.999450,-0.000000,0.000000
0.020000,0.713525,2.651419,0.531224,1.439604,1.999450,0.000000,0.000000
0.020000,0.743117,2.651419,0.560815,1.479593,1.999450,0.000000,0.000000
0.020000,0.773508,2.651419,0.591207,1.519582,1.999450,-0.000000,0.000000
0.020000,0.804700,2.651419,0.622399,1.559571,1.999450,0.000000,0.000000
0.020000,0.836691,2.651419,0.654390,1.599560,1.999450,-0.000000,0.000000
0.020000,0.869482,2.651419,0.687181,1.639549,1.999450,0.000000,0.000000
0.020000,0.903073,2.651419,0.720771,1.679538,1.999450,-0.000000,0.000000
0.020000,0.937463,2.651419,0.755162,1.719527,1.999450,0.000000,0.000000
0.020000,0.972653,2.651419,0.790352,1.759516,1.999450,0.000000,0.000000
0.020000,1.008644,2.651419,0.826342,1.799505,1.999450,-0.000000,0.000000
0.020000,1.045433,2.651419,0.863132,1.839494,1.999450,-0.000000,0.000000
0.020000,1.083023,2.651419,0.900722,1.879483,1.999450,0.000000,0.000000
0.020000,1.121413,2.651419,0.939111,1.919472,1.999450,0.000000,0.000000
0.020000,1.160602,2.651419,0.978301,1.959461,1.999450,-0.000000,0.000000
