dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.182575,3.242641,0.000200,0.019960,0.997980,49.899007,6.282977
0.020000,0.182549,3.242641,0.000226,0.001295,-0.933213,-96.559645,6.283049
0.020000,0.182603,3.242641,0.000279,0.002673,0.068896,50.105452,0.000010
0.020000,0.184921,3.242642,0.002597,0.115886,5.660661,279.588241,0.000227
0.020000,0.188011,3.242643,0.005687,0.154533,1.932312,-186.417458,0.000517
0.020000,0.191875,3.242646,0.009551,0.193194,1.933058,0.037317,0.000877
0.020000,0.196513,3.242651,0.014189,0.231874,1.933991,0.046631,0.001306
0.020000,0.201924,3.242659,0.019600,0.270576,1.935111,0.055988,0.001805
0.020000,0.208110,3.242672,0.025786,0.309304,1.936416,0.065291,0.002370
0.020000,0.215071,3.242691,0.032748,0.348062,1.937910,0.074684,0.003000
0.020000,0.222808,3.242717,0.040485,0.386854,1.939590,0.084003,0.003694
0.020000,0.231322,3.242751,0.048998,0.425683,1.941457,0.093344,0.004450
0.020000,0.240613,3.242796,0.058289,0.464554,1.943512,0.102725,0.005264
0.020000,0.250682,3.242854,0.068359,0.503469,1.945752,0.112011,0.006134
0.020000,0.261531,3.242925,0.079207,0.542432,1.948181,0.121473,0.007059
0.020000,0.273159,3.243013,0.090836,0.581448,1.950796,0.130737,0.008034
0.020000,0.285569,3.243119,0.103247,0.620520,1.953599,0.140168,0.009057
0.020000,0.298762,3.243246,0.116440,0.659652,1.956589,0.149477,0.010124
0.020000,0.312738,3.243395,0.130417,0.698847,1.959765,0.158806,0.011232
0.020000,0.327499,3.243569,0.145179,0.738110,1.963129,0.168188,0.012377
0.020000,0.343047,3.243771,0.160728,0.777443,1.966677,0.177392,0.013555
0.020000,0.359382,3.244002,0.177065,0.816852,1.970418,0.187068,0.014761
0.020000,0.376507,3.244266,0.194192,0.856338,1.974337,0.195967,0.015992
0.020000,0.394422,3.244563,0.212110,0.895907,1.978447,0.205487,0.017243
0.020000,0.413131,3.244898,0.230821,0.935562,1.982743,0.214807,0.018508
0.020000,0.432633,3.245271,0.250327,0.975307,1.987222,0.223941,0.019783
0.020000,0.452932,3.245686,0.270630,1.015144,1.991888,0.233279,0.021063
0.020000,0.474028,3.246144,0.291732,1.055079,1.996738,0.242536,0.022342
0.020000,0.495925,3.246647,0.313634,1.095115,2.001772,0.251697,0.023614
0.020000,0.518623,3.247198,0.336339,1.135255,2.006990,0.260910,0.024874
0.020000,0.542126,3.247797,0.359849,1.175502,2.012395,0.270224,0.026116
0.020000,0.566434,3.248447,0.384166,1.215862,2.017979,0.279197,0.027332
0.020000,0.591551,3.249149,0.409293,1.256337,2.023747,0.288401,0.028518
0.020000,0.617479,3.249904,0.435232,1.296931,2.029704,0.297855,0.029665
0.020000,0.644220,3.250712,0.461985,1.337648,2.035833,0.306468,0.030768
0.020000,0.671776,3.251575,0.489554,1.378491,2.042155,0.316103,0.031819
0.020000,0.700150,3.252492,0.517944,1.419464,2.048653,0.324900,0.032810
0.020000,0.729346,3.253464,0.547155,1.460571,2.055341,0.334377,0.033735
0.020000,0.759364,3.254491,0.577191,1.501815,2.062208,0.343335,0.034585
0.020000,0.790210,3.255570,0.608055,1.543200,2.069260,0.352596,0.035353
0.020000,0.821884,3.256701,0.639750,1.584730,2.076495,0.361787,0.036030
0.020000,0.854391,3.257883,0.672278,1.626408,2.083916,0.371039,0.036608
0.020000,0.887733,3.259112,0.705643,1.668239,2.091525,0.380435,0.037078
0.020000,0.921914,3.260386,0.739847,1.710225,2.099321,0.389797,0.037433
0.020000,0.956936,3.261702,0.774895,1.752371,2.107304,0.399141,0.037662
0.020000,0.992804,3.263056,0.810789,1.794681,2.115477,0.408680,0.037757
0.020000,1.029521,3.264442,0.847532,1.837158,2.123842,0.418229,0.037707
0.020000,1.067091,3.265856,0.885128,1.879806,2.132399,0.427877,0.037505
0.020000,1.105517,3.267292,0.923580,1.922629,2.141151,0.437565,0.037139
0.020000,1.144802,3.268741,0.962893,1.965631,2.150100,0.447454,0.036599
0.020000,1.184952,3.270198,1.003069,2.008815,2.159243,0.457175,0.035876
0.020000,1.225970,3.271652,1.044113,2.052187,2.168587,0.467179,0.034959
0.020000,1.267861,3.273094,1.086028,2.095750,2.178130,0.477185,0.033837
0.020000,1.310627,3.274513,1.128818,2.139507,2.187872,0.487090,0.032499
0.020000,1.354274,3.275899,1.172487,2.183464,2.197814,0.497096,0.030934
0.020000,1.398807,3.277238,1.217040,2.227623,2.207958,0.507207,0.029131
0.020000,1.444229,3.278515,1.262480,2.271989,2.218294,0.516800,0.027077
0.020000,1.490544,3.279717,1.308811,2.316565,2.228826,0.526586,0.024761
0.020000,1.537758,3.280826,1.356038,2.361356,2.239555,0.536422,0.022172
0.020000,1.585875,3.281825,1.404165,2.406365,2.250454,0.544997,0.019296
0.020000,1.634900,3.282694,1.453197,2.451596,2.261537,0.554130,0.016121
0.020000,1.684835,3.283413,1.503138,2.497052,2.272782,0.562270,0.012635
0.020000,1.735687,3.283960,1.553993,2.542735,2.284177,0.569706,0.008825
0.020000,1.787459,3.284310,1.605766,2.588649,2.295705,0.576403,0.004678
0.020000,1.840155,3.284440,1.658462,2.634796,2.307341,0.581803,0.000180
0.020000,1.893778,3.284320,1.712086,2.681177,2.319063,0.586129,6.278504
0.020000,1.948333,3.283923,1.766641,2.727794,2.330838,0.588763,6.273266
0.020000,2.003821,3.283218,1.822134,2.774647,2.342625,0.589336,6.267638
0.020000,2.060246,3.282172,1.878569,2.821734,2.354390,0.588248,6.261607
0.020000,2.117610,3.280751,1.935950,2.869056,2.366063,0.583646,6.255160
0.020000,2.175913,3.278917,1.994282,2.916608,2.377605,0.577079,6.248283
0.020000,2.235157,3.276633,2.053570,2.964386,2.388926,0.566083,6.240964
0.020000,2.295340,3.273858,2.113818,3.012386,2.399967,0.552016,6.233191
0.020000,2.356463,3.270549,2.175030,3.060598,2.410633,0.533299,6.224951
0.020000,2.418521,3.266661,2.237210,3.109014,2.420772,0.506973,6.216233
0.020000,2.481512,3.262148,2.300362,3.157622,2.430389,0.480862,6.207026
0.020000,2.545430,3.256960,2.364491,3.206407,2.439260,0.443541,6.197321
0.020000,2.610268,3.251047,2.429598,3.255351,2.447221,0.398060,6.187108
0.020000,2.676018,3.244357,2.495686,3.304437,2.454289,0.353403,6.176380
0.020000,2.740253,3.237091,2.560331,3.232241,-3.609804,-303.204654,6.163583
0.020000,2.809321,3.228219,2.629967,3.481780,12.476971,804.338757,6.147369
0.020000,2.878885,3.218149,2.700256,3.514452,1.633576,-542.169796,6.131563
0.020000,2.948912,3.206894,2.771182,3.546288,1.591822,-2.087685,6.116212
0.020000,3.019372,3.194476,2.842728,3.577310,1.551096,-2.036301,6.101361
0.020000,3.090238,3.180918,2.914879,3.607546,1.511790,-1.965298,6.087055
0.020000,3.161484,3.166250,2.987619,3.637027,1.474066,-1.886175,6.073336
0.020000,3.233089,3.150503,3.060935,3.665784,1.437839,-1.811358,6.060245
0.020000,3.305033,3.133717,3.134812,3.693847,1.403168,-1.733559,6.047821
0.020000,3.377302,3.115933,3.209237,3.721249,1.370070,-1.654884,6.036101
0.020000,3.449883,3.097196,3.284197,3.748017,1.338389,-1.584045,6.025121
0.020000,3.522766,3.077554,3.359681,3.774178,1.308045,-1.517241,6.014914
0.020000,3.595946,3.057061,3.435676,3.799755,1.278889,-1.457777,6.005515
0.020000,3.669419,3.035772,3.512171,3.824770,1.250712,-1.408853,5.996954
0.020000,3.743186,3.013747,3.589156,3.849236,1.223320,-1.369589,5.989262
0.020000,3.817249,2.991047,3.666619,3.873166,1.196513,-1.340340,5.982470
