dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.182501,2.887041,0.000200,0.019960,0.997980,49.899007,6.282977
0.020000,0.182501,2.887041,0.000998,0.059879,1.995960,49.899007,6.283049
0.020000,0.182606,2.887041,0.002595,0.099798,1.995960,0.000000,0.000010
0.020000,0.185001,2.887042,0.004990,0.139717,1.995960,-0.000000,0.000227
0.020000,0.188195,2.887043,0.008183,0.179636,1.995960,0.000000,0.000517
0.020000,0.192187,2.887046,0.012175,0.219556,1.995960,-0.000000,0.000877
0.020000,0.196977,2.887051,0.016966,0.259475,1.995960,0.000000,0.001306
0.020000,0.202566,2.887060,0.022554,0.299394,1.995960,-0.000000,0.001805
0.020000,0.208953,2.887073,0.028941,0.339313,1.995960,0.000000,0.002370
0.020000,0.216138,2.887092,0.036127,0.379232,1.995960,0.000000,0.003000
0.020000,0.224122,2.887119,0.044111,0.419152,1.995960,0.000000,0.003694
0.020000,0.232904,2.887155,0.052893,0.459071,1.995960,0.000000,0.004450
0.020000,0.242485,2.887201,0.062474,0.498990,1.995960,-0.000000,0.005264
0.020000,0.252864,2.887260,0.072853,0.538909,1.995960,-0.000000,0.006134
0.020000,0.264041,2.887334,0.084030,0.578828,1.995960,0.000000,0.007059
0.020000,0.276016,2.887425,0.096006,0.618748,1.995960,-0.000000,0.008034
0.020000,0.288790,2.887534,0.108780,0.658667,1.995960,0.000000,0.009057
0.020000,0.302362,2.887664,0.122352,0.698586,1.995960,-0.000000,0.010124
0.020000,0.316732,2.887817,0.136723,0.738505,1.995960,0.000000,0.011232
0.020000,0.331900,2.887996,0.151893,0.778425,1.995960,-0.000000,0.012377
0.020000,0.347866,2.888204,0.167860,0.818344,1.995960,0.000000,0.013555
0.020000,0.364631,2.888441,0.184626,0.858263,1.995960,0.000000,0.014761
0.020000,0.382193,2.888711,0.202191,0.898182,1.995960,-0.000000,0.015992
0.020000,0.400554,2.889016,0.220554,0.938101,1.995960,0.000000,0.017243
0.020000,0.419712,2.889359,0.239715,0.978021,1.995960,-0.000000,0.018508
0.020000,0.439668,2.889741,0.259674,1.017940,1.995960,0.000000,0.019783
0.020000,0.460421,2.890165,0.280432,1.057859,1.995960,0.000000,0.021063
0.020000,0.481973,2.890633,0.301989,1.097778,1.995960,0.000000,0.022342
0.020000,0.504321,2.891147,0.324344,1.137697,1.995960,-0.000000,0.023614
0.020000,0.527468,2.891708,0.347497,1.177617,1.995960,0.000000,0.024874
0.020000,0.551411,2.892319,0.371448,1.217536,1.995960,0.000000,0.026116
0.020000,0.576153,2.892980,0.396198,1.257455,1.995960,0.000000,0.027332
0.020000,0.601691,2.893694,0.421746,1.297374,1.995960,0.000000,0.028518
0.020000,0.628026,2.894460,0.448093,1.337293,1.995960,0.000000,0.029665
