dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.182427,2.531441,0.000200,0.019960,0.997980,49.899007,6.282977
0.020000,0.182453,2.531441,0.000226,0.001295,-0.933213,-96.559645,6.283049
0.020000,0.182610,2.531441,0.000382,0.007847,0.327593,63.040276,0.000010
0.020000,0.185082,2.531442,0.002855,0.123629,5.789077,273.074201,0.000227
0.020000,0.188379,2.531443,0.006151,0.164821,2.059608,-186.473416,0.000517
0.020000,0.192499,2.531446,0.010271,0.205998,2.058862,-0.037300,0.000877
0.020000,0.197442,2.531451,0.015215,0.247157,2.057929,-0.046652,0.001306
0.020000,0.203208,2.531460,0.020980,0.288293,2.056810,-0.055965,0.001805
0.020000,0.209796,2.531474,0.027568,0.329403,2.055503,-0.065343,0.002370
0.020000,0.217205,2.531494,0.034978,0.370483,2.054011,-0.074632,0.003000
0.020000,0.225436,2.531521,0.043209,0.411530,2.052330,-0.084008,0.003694
0.020000,0.234487,2.531558,0.052260,0.452539,2.050463,-0.093367,0.004450
0.020000,0.244357,2.531606,0.062130,0.493507,2.048409,-0.102689,0.005264
0.020000,0.255045,2.531667,0.072818,0.534431,2.046167,-0.112117,0.006134
0.020000,0.266551,2.531743,0.084324,0.575305,2.043740,-0.121361,0.007059
0.020000,0.278873,2.531836,0.096647,0.616128,2.041123,-0.130815,0.008034
0.020000,0.292011,2.531948,0.109785,0.656894,2.038322,-0.140089,0.009057
0.020000,0.305962,2.532082,0.123737,0.697601,2.035332,-0.149488,0.010124
0.020000,0.320726,2.532240,0.138502,0.738244,2.032155,-0.158858,0.011232
0.020000,0.336301,2.532424,0.154078,0.778820,2.028792,-0.168158,0.012377
0.020000,0.352686,2.532636,0.170465,0.819325,2.025239,-0.177630,0.013555
0.020000,0.369880,2.532880,0.187660,0.859755,2.021507,-0.186587,0.014761
0.020000,0.387880,2.533157,0.205662,0.900106,2.017580,-0.196339,0.015992
0.020000,0.406685,2.533469,0.224469,0.940376,2.013472,-0.205411,0.017243
0.020000,0.426293,2.533820,0.244081,0.980559,2.009179,-0.214665,0.018508
0.020000,0.446702,2.534211,0.264494,1.020653,2.004697,-0.224081,0.019783
0.020000,0.467911,2.534644,0.285707,1.060654,2.000032,-0.233251,0.021063
0.020000,0.489917,2.535122,0.307718,1.100558,1.995183,-0.242471,0.022342
0.020000,0.512718,2.535646,0.330525,1.140361,1.990148,-0.251755,0.023614
0.020000,0.536312,2.536218,0.354126,1.180059,1.984929,-0.260952,0.024874
0.020000,0.560697,2.536840,0.378519,1.219650,1.979529,-0.270011,0.026116
0.020000,0.585871,2.537513,0.403702,1.259129,1.973941,-0.279395,0.027332
0.020000,0.611830,2.538238,0.429672,1.298492,1.968170,-0.288514,0.028518
0.020000,0.638574,2.539017,0.456426,1.337736,1.962223,-0.297357,0.029665
0.020000,0.666098,2.539849,0.483964,1.376858,1.956082,-0.307057,0.030768
0.020000,0.694402,2.540735,0.512281,1.415853,1.949768,-0.315698,0.031819
0.020000,0.723481,2.541675,0.541375,1.454719,1.943264,-0.325211,0.032810
0.020000,0.753333,2.542669,0.571244,1.493450,1.936583,-0.334045,0.033735
0.020000,0.783956,2.543716,0.601885,1.532045,1.929714,-0.343444,0.034585
0.020000,0.815347,2.544814,0.633295,1.570498,1.922663,-0.352577,0.035353
0.020000,0.847503,2.545963,0.665471,1.608806,1.915426,-0.361843,0.036030
0.020000,0.880420,2.547159,0.698410,1.646967,1.908003,-0.371124,0.036608
0.020000,0.914097,2.548401,0.732110,1.684974,1.900396,-0.380350,0.037078
0.020000,0.948529,2.549685,0.766566,1.722827,1.892602,-0.389719,0.037433
0.020000,0.983715,2.551007,0.801777,1.760519,1.884617,-0.399227,0.037662
0.020000,1.019650,2.552363,0.837738,1.798048,1.876444,-0.408674,0.037757
