dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.532254,4.146810,0.000199,0.019876,0.993807,49.690338,6.281863
0.020000,1.532254,4.146810,0.000994,0.059628,1.987614,49.690338,6.282349
0.020000,1.532472,4.146810,0.002584,0.099381,1.987614,0.000000,0.000133
0.020000,1.534857,4.146813,0.004969,0.139133,1.987614,0.000000,0.001582
0.020000,1.538037,4.146821,0.008149,0.178885,1.987614,-0.000000,0.003505
0.020000,1.542012,4.146839,0.012124,0.218637,1.987614,0.000000,0.005892
0.020000,1.546782,4.146874,0.016895,0.258390,1.987614,0.000000,0.008734
0.020000,1.552347,4.146932,0.022460,0.298142,1.987614,0.000000,0.012018
0.020000,1.558707,4.147020,0.028820,0.337894,1.987614,-0.000000,0.015730
0.020000,1.565861,4.147148,0.035976,0.377647,1.987614,0.000000,0.019851
0.020000,1.573810,4.147323,0.043926,0.417399,1.987614,-0.000000,0.024366
0.020000,1.582552,4.147558,0.052672,0.457151,1.987614,0.000000,0.029251
0.020000,1.592088,4.147862,0.062212,0.496903,1.987614,0.000000,0.034486
0.020000,1.602416,4.148247,0.072548,0.536656,1.987614,-0.000000,0.040046
0.020000,1.613537,4.148725,0.083679,0.576408,1.987614,-0.000000,0.045905
0.020000,1.625448,4.149309,0.095604,0.616160,1.987614,0.000000,0.052036
0.020000,1.638149,4.150012,0.108325,0.655912,1.987614,0.000000,0.058408
0.020000,1.651639,4.150845,0.121841,0.695665,1.987614,0.000000,0.064992
0.020000,1.665917,4.151823,0.136152,0.735417,1.987614,-0.000000,0.071755
0.020000,1.680980,4.152959,0.151257,0.775169,1.987614,0.000000,0.078664
0.020000,1.696827,4.154264,0.167158,0.814922,1.987614,0.000000,0.085685
0.020000,1.713457,4.155752,0.183854,0.854674,1.987614,0.000000,0.092781
0.020000,1.730866,4.157435,0.201345,0.894426,1.987614,0.000000,0.099916
0.020000,1.749054,4.159325,0.219631,0.934178,1.987614,-0.000000,0.107053
0.020000,1.768019,4.161431,0.238712,0.973931,1.987614,0.000000,0.114155
0.020000,1.787757,4.163765,0.258589,1.013683,1.987614,-0.000000,0.121181
0.020000,1.808268,4.166336,0.279260,1.053435,1.987614,0.000000,0.128095
0.020000,1.829549,4.169151,0.300726,1.093187,1.987614,0.000000,0.134855
0.020000,1.851598,4.172217,0.322987,1.132940,1.987614,-0.000000,0.141421
0.020000,1.874414,4.175540,0.346044,1.172692,1.987614,0.000000,0.147755
0.020000,1.897994,4.179124,0.369895,1.212444,1.987614,-0.000000,0.153814
0.020000,1.922338,4.182971,0.394541,1.252197,1.987614,-0.000000,0.159557
0.020000,1.947446,4.187082,0.419983,1.291949,1.987614,0.000000,0.164944
0.020000,1.973315,4.191455,0.446219,1.331701,1.987614,0.000000,0.169931
0.020000,1.999946,4.196089,0.473251,1.371453,1.987614,-0.000000,0.174475
0.020000,2.027340,4.200976,0.501077,1.411206,1.987614,0.000000,0.178533
