dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.382281,4.116816,0.000200,0.019963,0.998175,49.908729,6.282774
0.020000,1.382281,4.116816,0.000998,0.059890,1.996349,49.908729,6.282863
0.020000,1.382281,4.116816,0.002595,0.099817,1.996349,0.000000,6.283041
0.020000,1.383379,4.116816,0.004991,0.139744,1.996349,0.000000,0.000122
0.020000,1.386574,4.116817,0.008185,0.179671,1.996349,-0.000000,0.000477
0.020000,1.390566,4.116820,0.012178,0.219598,1.996349,0.000000,0.000921
0.020000,1.395358,4.116825,0.016969,0.259525,1.996349,0.000000,0.001451
0.020000,1.400947,4.116835,0.022559,0.299452,1.996349,-0.000000,0.002069
0.020000,1.407336,4.116851,0.028947,0.339379,1.996349,0.000000,0.002773
0.020000,1.414522,4.116874,0.036134,0.379306,1.996349,-0.000000,0.003562
0.020000,1.422508,4.116905,0.044119,0.419233,1.996349,0.000000,0.004436
0.020000,1.431292,4.116949,0.052903,0.459160,1.996349,-0.000000,0.005394
0.020000,1.440874,4.117005,0.062486,0.499087,1.996349,0.000000,0.006433
0.020000,1.451255,4.117078,0.072867,0.539014,1.996349,0.000000,0.007554
0.020000,1.462434,4.117169,0.084046,0.578941,1.996349,-0.000000,0.008755
0.020000,1.474411,4.117282,0.096024,0.618868,1.996349,0.000000,0.010034
0.020000,1.487187,4.117419,0.108801,0.658795,1.996349,0.000000,0.011390
0.020000,1.500762,4.117583,0.122376,0.698722,1.996349,0.000000,0.012821
0.020000,1.515134,4.117778,0.136750,0.738649,1.996349,0.000000,0.014326
0.020000,1.530304,4.118007,0.151922,0.778576,1.996349,-0.000000,0.015902
0.020000,1.546273,4.118274,0.167893,0.818503,1.996349,0.000000,0.017548
0.020000,1.563039,4.118583,0.184662,0.858430,1.996349,0.000000,0.019262
0.020000,1.580604,4.118937,0.202230,0.898357,1.996349,0.000000,0.021041
0.020000,1.598966,4.119340,0.220597,0.938284,1.996349,0.000000,0.022883
0.020000,1.618125,4.119797,0.239762,0.978211,1.996349,0.000000,0.024786
0.020000,1.638082,4.120312,0.259725,1.018138,1.996349,-0.000000,0.026746
0.020000,1.658836,4.120888,0.280487,1.058065,1.996349,0.000000,0.028763
0.020000,1.680387,4.121530,0.302048,1.097992,1.996349,0.000000,0.030832
0.020000,1.702735,4.122243,0.324407,1.137919,1.996349,0.000000,0.032951
0.020000,1.725879,4.123031,0.347564,1.177846,1.996349,-0.000000,0.035117
0.020000,1.749820,4.123899,0.371521,1.217773,1.996349,0.000000,0.037326
0.020000,1.774556,4.124851,0.396275,1.257700,1.996349,-0.000000,0.039577
0.020000,1.800088,4.125891,0.421829,1.297627,1.996349,0.000000,0.041864
0.020000,1.826415,4.127024,0.448180,1.337554,1.996349,-0.000000,0.044186
0.020000,1.853538,4.128256,0.475331,1.377481,1.996349,0.000000,0.046538
0.020000,1.881455,4.129589,0.503280,1.417408,1.996349,-0.000000,0.048917
0.020000,1.910166,4.131029,0.532027,1.457335,1.996349,0.000000,0.051318
0.020000,1.939671,4.132581,0.561573,1.497262,1.996349,-0.000000,0.053739
0.020000,1.969970,4.134248,0.591918,1.537189,1.996349,0.000000,0.056174
0.020000,2.001062,4.136034,0.623061,1.577116,1.996349,-0.000000,0.058621
0.020000,2.032946,4.137945,0.655002,1.617043,1.996349,0.000000,0.061074
0.020000,2.065623,4.139984,0.687742,1.656970,1.996349,-0.000000,0.063530
0.020000,2.099091,4.142154,0.721281,1.696897,1.996349,0.000000,0.065984
0.020000,2.133351,4.144460,0.755618,1.736824,1.996349,0.000000,0.068431
0.020000,2.168401,4.146906,0.790754,1.776751,1.996349,-0.000000,0.070867
0.020000,2.204242,4.149494,0.826688,1.816678,1.996349,0.000000,0.073287
0.020000,2.240873,4.152227,0.863421,1.856605,1.996349,-0.000000,0.075686
0.020000,2.278294,4.155110,0.900952,1.896532,1.996349,0.000000,0.078059
0.020000,2.316503,4.158144,0.939282,1.936459,1.996349,0.000000,0.080401
0.020000,2.355502,4.161332,0.978411,1.976386,1.996349,-0.000000,0.082708
0.020000,2.395289,4.164676,1.018338,2.016313,1.996349,0.000000,0.084973
0.020000,2.435863,4.168177,1.059063,2.056240,1.996349,-0.000000,0.087191
0.020000,2.477226,4.171838,1.100587,2.096167,1.996349,0.000000,0.089357
0.020000,2.519375,4.175660,1.142910,2.136094,1.996349,0.000000,0.091466
0.020000,2.562312,4.179643,1.186031,2.176021,1.996349,-0.000000,0.093510
0.020000,2.606036,4.183788,1.229951,2.215948,1.996349,0.000000,0.095486
0.020000,2.650546,4.188094,1.274669,2.255875,1.996349,-0.000000,0.097387
0.020000,2.695843,4.192561,1.320186,2.295802,1.996349,0.000000,0.099206
0.020000,2.741927,4.197189,1.366501,2.335729,1.996349,-0.000000,0.100938
0.020000,2.788797,4.201975,1.413615,2.375655,1.996349,0.000000,0.102577
0.020000,2.836453,4.206918,1.461527,2.415582,1.996349,0.000000,0.104117
0.020000,2.884897,4.212016,1.510238,2.455509,1.996349,-0.000000,0.105550
0.020000,2.934127,4.217265,1.559748,2.495436,1.996349,0.000000,0.106871
0.020000,2.984145,4.222662,1.610056,2.535363,1.996349,-0.000000,0.108072
0.020000,3.034950,4.228202,1.661162,2.575290,1.996349,0.000000,0.109148
0.020000,3.086544,4.233882,1.713067,2.615217,1.996349,-0.000000,0.110091
0.020000,3.138926,4.239694,1.765771,2.655144,1.996349,0.000000,0.110895
0.020000,3.192097,4.245633,1.819273,2.695071,1.996349,0.000000,0.111552
0.020000,3.246059,4.251692,1.873574,2.734998,1.996349,-0.000000,0.112056
0.020000,3.300613,4.257841,1.928473,2.754962,0.998175,-49.908729,0.112397
0.020000,3.355273,4.264016,1.983481,2.745793,-0.458449,-72.831200,0.112571
0.020000,3.409552,4.270153,2.038105,2.716660,-1.456624,-49.908729,0.112576
0.020000,3.463145,4.276209,2.092039,2.676733,-1.996349,-26.986258,0.112418
0.020000,3.515945,4.282162,2.145175,2.636806,-1.996349,0.000000,0.112104
0.020000,3.567955,4.288005,2.197512,2.596879,-1.996349,0.000000,0.111640
0.020000,3.619174,4.293732,2.249050,2.556952,-1.996349,0.000000,0.111033
0.020000,3.669604,4.299336,2.299790,2.517025,-1.996349,-0.000000,0.110291
0.020000,3.719244,4.304812,2.349731,2.477098,-1.996349,0.000000,0.109421
0.020000,3.768095,4.310155,2.398874,2.437171,-1.996349,0.000000,0.108428
0.020000,3.816158,4.315361,2.447218,2.397244,-1.996349,-0.000000,0.107319
0.020000,3.863433,4.320425,2.494763,2.357318,-1.996349,0.000000,0.106102
