dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.531783,4.502410,0.000199,0.019876,0.993807,49.690338,0.001323
0.020000,1.531956,4.502410,0.000372,0.008638,-0.561899,-77.785310,0.000837
0.020000,1.532519,4.502410,0.000935,0.028151,0.975634,76.876669,6.283052
0.020000,1.535420,4.502408,0.003835,0.145026,5.843752,243.405900,6.281603
0.020000,1.539283,4.502398,0.007699,0.193191,2.408257,-171.774760,6.279680
0.020000,1.544108,4.502375,0.012523,0.241214,2.401159,-0.354886,6.277293
0.020000,1.549888,4.502333,0.018304,0.289044,2.391486,-0.483647,6.274451
0.020000,1.556621,4.502263,0.025037,0.336651,2.380363,-0.556165,6.271167
0.020000,1.564300,4.502157,0.032717,0.384005,2.367706,-0.632853,6.267456
0.020000,1.572920,4.502003,0.041338,0.431058,2.352651,-0.752722,6.263334
0.020000,1.582474,4.501792,0.050894,0.477782,2.336161,-0.824492,6.258820
0.020000,1.592953,4.501511,0.061377,0.524145,2.318154,-0.900353,6.253934
0.020000,1.604349,4.501148,0.072779,0.570105,2.298007,-1.007393,6.248699
0.020000,1.616653,4.500689,0.085092,0.615634,2.276481,-1.076255,6.243139
0.020000,1.629855,4.500121,0.098306,0.660706,2.253559,-1.146102,6.237280
0.020000,1.643944,4.499430,0.112411,0.705281,2.228784,-1.238749,6.231150
0.020000,1.658908,4.498603,0.127398,0.749337,2.202773,-1.300552,6.224777
0.020000,1.674734,4.497625,0.143255,0.792850,2.175653,-1.355997,6.218193
0.020000,1.691411,4.496483,0.159971,0.835788,2.146898,-1.437788,6.211430
0.020000,1.708924,4.495163,0.177533,0.878131,2.117168,-1.486477,6.204521
0.020000,1.727259,4.493652,0.195931,0.919868,2.086833,-1.516753,6.197501
0.020000,1.746402,4.491939,0.215150,0.960965,2.054856,-1.598868,6.190405
0.020000,1.766337,4.490012,0.235178,1.001411,2.022315,-1.627047,6.183269
0.020000,1.787050,4.487860,0.256002,1.041203,1.989583,-1.636572,6.176132
0.020000,1.808524,4.485475,0.277609,1.080314,1.955536,-1.702350,6.169031
