dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.532296,3.791210,0.000200,0.019981,0.999044,49.952182,0.000118
0.020000,1.532266,3.791210,0.000229,0.001454,-0.926342,-96.269305,0.000036
0.020000,1.533454,3.791210,0.001416,0.059359,2.895268,191.080522,6.283059
0.020000,1.535765,3.791210,0.003728,0.115574,2.810730,-4.226875,6.282816
0.020000,1.538848,3.791208,0.006811,0.154158,1.929204,-44.076344,6.282496
0.020000,1.542704,3.791205,0.010667,0.192793,1.931742,0.126921,6.282102
0.020000,1.547334,3.791199,0.015296,0.231491,1.934918,0.158797,6.281636
0.020000,1.552739,3.791189,0.020702,0.270266,1.938735,0.190865,6.281103
0.020000,1.558922,3.791174,0.026884,0.309130,1.943178,0.222128,6.280509
0.020000,1.565884,3.791153,0.033846,0.348095,1.948258,0.254026,6.279859
0.020000,1.573627,3.791125,0.041590,0.387174,1.953968,0.285501,6.279159
0.020000,1.582155,3.791087,0.050117,0.426380,1.960314,0.317270,6.278417
0.020000,1.591469,3.791039,0.059432,0.465726,1.967285,0.348573,6.277640
0.020000,1.601573,3.790979,0.069536,0.505224,1.974892,0.380347,6.276837
0.020000,1.612471,3.790905,0.080434,0.544886,1.983122,0.411510,6.276017
0.020000,1.624165,3.790817,0.092129,0.584726,1.991987,0.443218,6.275190
0.020000,1.636660,3.790712,0.104624,0.624755,2.001472,0.474242,6.274367
0.020000,1.649959,3.790589,0.117923,0.664987,2.011591,0.505968,6.273559
0.020000,1.664067,3.790447,0.132032,0.705434,2.022332,0.537032,6.272779
0.020000,1.678988,3.790286,0.146954,0.746108,2.033697,0.568281,6.272038
0.020000,1.694728,3.790105,0.162695,0.787022,2.045693,0.599791,6.271351
0.020000,1.711290,3.789904,0.179258,0.828188,2.058311,0.630917,6.270732
0.020000,1.728681,3.789683,0.196651,0.869619,2.071560,0.662431,6.270196
0.020000,1.746906,3.789442,0.214877,0.911328,2.085436,0.693818,6.269758
0.020000,1.765971,3.789183,0.233944,0.953327,2.099943,0.725344,6.269434
0.020000,1.785881,3.788907,0.253856,0.995628,2.115085,0.757112,6.269242
0.020000,1.806644,3.788616,0.274621,1.038246,2.130864,0.788924,6.269199
0.020000,1.828266,3.788315,0.296245,1.081191,2.147285,0.821053,6.269324
0.020000,1.850754,3.788006,0.318735,1.124478,2.164352,0.853351,6.269636
0.020000,1.874114,3.787696,0.342097,1.168120,2.182073,0.886058,6.270155
0.020000,1.898354,3.787388,0.366340,1.212129,2.200452,0.918953,6.270902
0.020000,1.923483,3.787092,0.391470,1.256519,2.219496,0.952201,6.271898
0.020000,1.949508,3.786814,0.417496,1.301303,2.239214,0.985885,6.273165
0.020000,1.976436,3.786564,0.444426,1.346495,2.259613,1.019964,6.274726
0.020000,2.004278,3.786354,0.472268,1.392109,2.280691,1.053871,6.276605
0.020000,2.033041,3.786196,0.501031,1.438159,2.302463,1.088610,6.278827
0.020000,2.062734,3.786105,0.530725,1.484657,2.324926,1.123180,6.281416
0.020000,2.093366,3.786095,0.561357,1.531619,2.348077,1.157552,0.001213
0.020000,2.124947,3.786187,0.592938,1.579057,2.371914,1.191801,0.004617
0.020000,2.157486,3.786399,0.625478,1.626985,2.396425,1.225559,0.008468
0.020000,2.190992,3.786754,0.658986,1.675417,2.421587,1.258096,0.012796
0.020000,2.225476,3.787277,0.693473,1.724364,2.447362,1.288791,0.017629
0.020000,2.260945,3.787997,0.728950,1.773839,2.473724,1.318093,0.022997
0.020000,2.297410,3.788942,0.765427,1.823851,2.500594,1.343465,0.028931
0.020000,2.334879,3.790148,0.802915,1.874409,2.527904,1.365522,0.035460
0.020000,2.373360,3.791649,0.841426,1.925520,2.555539,1.381743,0.042617
0.020000,2.412861,3.793487,0.880970,1.977187,2.583370,1.391554,0.050432
0.020000,2.453389,3.795704,0.921558,2.029411,2.611227,1.392828,0.058937
0.020000,2.494948,3.798347,0.963202,2.082190,2.638905,1.383914,0.068163
0.020000,2.537545,3.801466,1.005912,2.135512,2.666144,1.361969,0.078140
0.020000,2.581179,3.805117,1.049699,2.189365,2.692642,1.324905,0.088899
0.020000,2.625853,3.809358,1.094574,2.243726,2.718055,1.270625,0.100467
0.020000,2.671563,3.814250,1.140545,2.298565,2.741926,1.193574,0.112873
0.020000,2.718305,3.819861,1.187622,2.353841,2.763818,1.094612,0.126140
0.020000,2.766068,3.826259,1.235812,2.409504,2.783126,0.965378,0.140290
0.020000,2.814840,3.833519,1.285122,2.465490,2.799314,0.809373,0.155341
0.020000,2.864604,3.841717,1.335556,2.521722,2.811586,0.613611,0.171308
0.020000,2.915336,3.850933,1.387118,2.578109,2.819379,0.389669,0.188199
0.020000,2.963344,3.860452,1.436061,2.447114,-6.549777,-468.457795,0.198317
0.020000,3.006232,3.868842,1.479762,2.185070,-13.102198,-327.621046,0.188606
0.020000,3.050992,3.877216,1.525298,2.276823,4.587679,884.493823,0.181807
0.020000,3.097647,3.885689,1.572717,2.370907,4.704180,5.825058,0.178052
0.020000,3.146222,3.894402,1.622067,2.467512,4.830241,6.303057,0.177484
0.020000,3.196743,3.903522,1.673405,2.566891,4.968940,6.934963,0.180256
0.020000,3.249237,3.913244,1.726791,2.669338,5.122353,7.670632,0.186544
0.020000,3.303729,3.923795,1.782295,2.775159,5.291068,8.435764,0.196536
0.020000,3.360234,3.935437,1.839987,2.884633,5.473688,9.130994,0.210438
0.020000,3.418759,3.948473,1.899946,2.997949,5.665808,9.606006,0.228467
0.020000,3.479285,3.963243,1.962249,3.115130,5.859033,9.661221,0.250840
0.020000,3.541762,3.980131,2.026967,3.235924,6.039700,9.033366,0.277761
0.020000,3.606086,3.999556,2.094161,3.359676,6.187597,7.394846,0.309398
0.020000,3.672089,4.021967,2.163864,3.485183,6.275380,4.389162,0.345848
0.020000,3.739512,4.047824,2.236076,3.610565,6.269113,-0.313379,0.387107
0.020000,3.807994,4.077572,2.310740,3.733190,6.131223,-6.894463,0.433019
0.020000,3.877056,4.111610,2.387734,3.849728,5.826895,-15.216407,0.483242
0.020000,3.946112,4.150242,2.466862,3.956384,5.332815,-24.704026,0.537220
0.020000,4.014487,4.193644,2.547849,4.049352,4.648388,-34.221323,0.594183
0.020000,4.078434,4.239477,2.626524,3.933754,-5.779918,-521.415297,0.648801
0.020000,4.143444,4.291848,2.710005,4.174065,12.015580,889.774883,0.708286
0.020000,4.207573,4.350565,2.796955,4.347475,8.670498,-167.254083,0.775290
0.020000,4.269825,4.416256,2.887457,4.525091,8.880803,10.515250,0.850049
0.020000,4.328881,4.489283,2.981374,4.695880,8.539416,-17.069351,0.932180
0.020000,4.383161,4.569528,3.078254,4.843990,7.405539,-56.693841,1.020409
0.020000,4.431023,4.656221,3.177281,4.951368,5.368894,-101.832267,1.112439
0.020000,4.471080,4.747908,3.277337,5.002782,2.570681,-139.910641,1.205116
0.020000,4.502528,4.842661,3.377173,4.991781,-0.550060,-156.037057,1.294920
0.020000,4.525262,4.938183,3.475362,4.909483,-4.114860,-178.239991,1.378395
0.020000,4.539903,5.032110,3.570423,4.753060,-7.821155,-185.314745,1.452726
