dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.842380,7.536189,0.000199,0.019885,0.994257,49.712835,6.282885
0.020000,0.842380,7.536189,0.000994,0.059655,1.988513,49.712835,6.283021
0.020000,0.843014,7.536189,0.002585,0.099426,1.988513,-0.000000,0.000108
0.020000,0.845400,7.536190,0.004971,0.139196,1.988513,-0.000000,0.000516
0.020000,0.848582,7.536192,0.008153,0.178966,1.988513,0.000000,0.001056
0.020000,0.852559,7.536198,0.012130,0.218736,1.988513,0.000000,0.001727
0.020000,0.857331,7.536208,0.016902,0.258507,1.988513,0.000000,0.002525
0.020000,0.862899,7.536225,0.022470,0.298277,1.988513,0.000000,0.003448
0.020000,0.869262,7.536250,0.028833,0.338047,1.988513,0.000000,0.004490
0.020000,0.876421,7.536286,0.035992,0.377818,1.988513,-0.000000,0.005648
0.020000,0.884374,7.536336,0.043946,0.417588,1.988513,0.000000,0.006915
0.020000,0.893124,7.536403,0.052696,0.457358,1.988513,0.000000,0.008286
0.020000,0.902668,7.536489,0.062240,0.497128,1.988513,0.000000,0.009754
0.020000,0.913008,7.536598,0.072581,0.536899,1.988513,0.000000,0.011312
0.020000,0.924143,7.536733,0.083716,0.576669,1.988513,-0.000000,0.012953
0.020000,0.936073,7.536898,0.095647,0.616439,1.988513,0.000000,0.014667
0.020000,0.948798,7.537096,0.108374,0.656209,1.988513,-0.000000,0.016447
0.020000,0.962317,7.537331,0.121896,0.695980,1.988513,0.000000,0.018282
0.020000,0.976632,7.537606,0.136213,0.735750,1.988513,-0.000000,0.020163
0.020000,0.991741,7.537925,0.151326,0.775520,1.988513,0.000000,0.022078
0.020000,1.007645,7.538292,0.167234,0.815290,1.988513,0.000000,0.024017
0.020000,1.024344,7.538709,0.183937,0.855061,1.988513,-0.000000,0.025968
0.020000,1.041836,7.539181,0.201436,0.894831,1.988513,0.000000,0.027918
0.020000,1.060123,7.539710,0.219731,0.934601,1.988513,-0.000000,0.029855
0.020000,1.079203,7.540298,0.238820,0.974372,1.988513,0.000000,0.031764
0.020000,1.099078,7.540948,0.258706,1.014142,1.988513,-0.000000,0.033633
0.020000,1.119746,7.541662,0.279386,1.053912,1.988513,0.000000,0.035445
0.020000,1.141208,7.542442,0.300862,1.093682,1.988513,0.000000,0.037186
0.020000,1.163463,7.543289,0.323133,1.133453,1.988513,0.000000,0.038841
0.020000,1.186512,7.544203,0.346200,1.173223,1.988513,-0.000000,0.040392
0.020000,1.210354,7.545184,0.370062,1.212993,1.988513,0.000000,0.041823
0.020000,1.234989,7.546231,0.394720,1.252763,1.988513,0.000000,0.043117
0.020000,1.260418,7.547343,0.420173,1.292534,1.988513,0.000000,0.044255
0.020000,1.286640,7.548518,0.446421,1.332304,1.988513,-0.000000,0.045219
0.020000,1.313655,7.549751,0.473465,1.372074,1.988513,0.000000,0.045989
0.020000,1.341465,7.551039,0.501304,1.411845,1.988513,0.000000,0.046547
0.020000,1.370068,7.552377,0.529939,1.451615,1.988513,0.000000,0.046870
0.020000,1.399466,7.553757,0.559369,1.491385,1.988513,-0.000000,0.046939
0.020000,1.429658,7.555173,0.589594,1.531155,1.988513,0.000000,0.046731
0.020000,1.460645,7.556615,0.620615,1.570926,1.988513,0.000000,0.046225
