dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.172949,7.116470,0.000198,0.019794,0.989693,49.484634,3.709707
0.020000,5.172577,7.116232,0.000639,0.022072,0.113901,-43.789561,3.708465
0.020000,5.170571,7.114959,0.003016,0.118815,4.837156,236.162712,3.705979
0.020000,5.167437,7.112983,0.006721,0.185250,3.321763,-75.769632,3.702240
0.020000,5.163241,7.110363,0.011668,0.247347,3.104814,-10.847466,3.697234
0.020000,5.157968,7.107112,0.017862,0.309727,3.119027,0.710661,3.690947
0.020000,5.151600,7.103247,0.025311,0.372463,3.136821,0.889715,3.683358
0.020000,5.144116,7.098788,0.034023,0.435586,3.156110,0.964437,3.674444
0.020000,5.135491,7.093761,0.044006,0.499155,3.178473,1.118164,3.664182
0.020000,5.125698,7.088195,0.055270,0.563181,3.201311,1.141876,3.652546
0.020000,5.114708,7.082128,0.067823,0.627657,3.223784,1.123644,3.639510
0.020000,5.102491,7.075601,0.081675,0.692579,3.246115,1.116546,3.625049
0.020000,5.089015,7.068662,0.096832,0.757874,3.264756,0.932090,3.609141
0.020000,5.074250,7.061367,0.113301,0.823468,3.279689,0.746653,3.591771
0.020000,5.058165,7.053780,0.131086,0.889220,3.287569,0.393970,3.572930
0.020000,5.040735,7.045971,0.150185,0.954940,3.286011,-0.077897,3.552618
0.020000,5.021940,7.038021,0.170592,1.020386,3.272325,-0.684279,3.530852
0.020000,5.001764,7.030018,0.192298,1.085259,3.243618,-1.435385,3.507663
0.020000,4.980203,7.022054,0.215282,1.149213,3.197706,-2.295569,3.483104
0.020000,4.957264,7.014234,0.239518,1.211789,3.128817,-3.444470,3.457251
0.020000,4.932966,7.006661,0.264969,1.272551,3.038107,-4.535512,3.430208
0.020000,4.907344,6.999444,0.291588,1.330951,2.920002,-5.905226,3.402106
0.020000,4.880449,6.992692,0.319317,1.386469,2.775900,-7.205095,3.373108
0.020000,4.852350,6.986507,0.348088,1.438572,2.605146,-8.537706,3.343405
0.020000,4.823132,6.980989,0.377823,1.486746,2.408706,-9.821987,3.313220
0.020000,4.792894,6.976222,0.408435,1.530556,2.190458,-10.912398,3.282797
0.020000,4.761750,6.972279,0.439827,1.569644,1.954436,-11.801141,3.252402
0.020000,4.729821,6.969215,0.471903,1.603767,1.706118,-12.415904,3.222314
0.020000,4.697236,6.967065,0.504559,1.632799,1.451604,-12.725686,3.192820
0.020000,4.664124,6.965846,0.537693,1.656740,1.197046,-12.727887,3.164206
0.020000,4.630611,6.965553,0.571207,1.675700,0.947994,-12.452617,3.136753
0.020000,4.596819,6.966161,0.605005,1.689880,0.709019,-11.948725,3.110729
0.020000,4.562860,6.967629,0.638996,1.699541,0.483059,-11.298001,3.086388
0.020000,4.528836,6.969898,0.673095,1.704972,0.271537,-10.576134,3.063969
0.020000,4.494839,6.972895,0.707224,1.706451,0.073963,-9.878671,3.043693
0.020000,4.460950,6.976538,0.741309,1.704219,-0.111581,-9.277188,3.025770
0.020000,4.427240,6.980730,0.775278,1.698444,-0.288769,-8.859432,3.010399
0.020000,4.393776,6.985368,0.809062,1.689202,-0.462117,-8.667409,2.997774
