dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.212593,4.931002,0.000198,0.019768,0.988424,49.421222,0.000273
0.020000,0.212548,4.931002,0.000242,0.002230,-0.876926,-93.267522,0.000148
0.020000,0.213109,4.931001,0.000804,0.028061,1.291556,108.424090,6.283082
0.020000,0.215348,4.931001,0.003043,0.111954,4.194647,145.154559,6.282708
0.020000,0.218335,4.930999,0.006029,0.149311,1.867826,-116.341064,6.282211
0.020000,0.222069,4.930994,0.009763,0.186700,1.869476,0.082530,6.281593
0.020000,0.226551,4.930985,0.014245,0.224131,1.871540,0.103199,6.280857
0.020000,0.231783,4.930971,0.019478,0.261611,1.874017,0.123860,6.280005
0.020000,0.237766,4.930949,0.025461,0.299149,1.876909,0.144594,6.279041
0.020000,0.244501,4.930917,0.032196,0.336754,1.880213,0.165197,6.277968
0.020000,0.251990,4.930874,0.039684,0.374432,1.883935,0.186071,6.276790
0.020000,0.260234,4.930816,0.047928,0.412194,1.888068,0.206681,6.275512
0.020000,0.269234,4.930740,0.056929,0.450046,1.892618,0.227498,6.274140
0.020000,0.278994,4.930645,0.066689,0.487998,1.897582,0.248179,6.272679
0.020000,0.289514,4.930526,0.077210,0.526057,1.902962,0.269013,6.271134
0.020000,0.300798,4.930381,0.088495,0.564232,1.908755,0.289663,6.269513
0.020000,0.312847,4.930206,0.100546,0.602531,1.914965,0.310498,6.267823
0.020000,0.325665,4.929998,0.113365,0.640963,1.921585,0.330977,6.266070
0.020000,0.339253,4.929753,0.126955,0.679535,1.928620,0.351747,6.264263
0.020000,0.353616,4.929468,0.141321,0.718257,1.936070,0.372523,6.262410
0.020000,0.368755,4.929139,0.156463,0.757135,1.943927,0.392838,6.260520
0.020000,0.384674,4.928763,0.172387,0.796179,1.952197,0.413481,6.258602
0.020000,0.401376,4.928336,0.189095,0.835397,1.960872,0.433769,6.256666
0.020000,0.418866,4.927855,0.206591,0.874796,1.969958,0.454305,6.254723
0.020000,0.437145,4.927316,0.224878,0.914385,1.979446,0.474393,6.252782
0.020000,0.456219,4.926718,0.243962,0.954172,1.989344,0.494914,6.250856
0.020000,0.476092,4.926056,0.263845,0.994164,1.999633,0.514428,6.248955
0.020000,0.496766,4.925328,0.284533,1.034371,2.010339,0.535289,6.247092
0.020000,0.518248,4.924533,0.306029,1.074800,2.021432,0.554679,6.245279
