dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.092518,4.811024,0.000199,0.019856,0.992781,49.639070,0.000000
0.020000,0.092518,4.811024,0.000199,0.000000,-0.992781,-99.278139,0.000000
0.020000,0.092518,4.811024,0.000199,0.000000,0.000000,49.639070,0.000000
0.020000,0.094812,4.811024,0.002493,0.114720,5.735991,286.799543,0.000000
0.020000,0.097989,4.811024,0.005670,0.158845,2.206260,-176.486529,0.000000
0.020000,0.101960,4.811024,0.009641,0.198556,1.985563,-11.034875,0.000000
0.020000,0.106725,4.811024,0.014406,0.238268,1.985563,-0.000000,0.000000
0.020000,0.112285,4.811024,0.019966,0.277979,1.985563,0.000000,0.000000
0.020000,0.118639,4.811024,0.026320,0.317690,1.985563,-0.000000,0.000000
0.020000,0.125787,4.811024,0.033468,0.357401,1.985563,0.000000,0.000000
0.020000,0.133729,4.811024,0.041410,0.397113,1.985563,-0.000000,0.000000
0.020000,0.142465,4.811024,0.050146,0.436824,1.985563,0.000000,0.000000
0.020000,0.151996,4.811024,0.059677,0.476535,1.985563,-0.000000,0.000000
0.020000,0.162321,4.811024,0.070002,0.516246,1.985563,0.000000,0.000000
0.020000,0.173440,4.811024,0.081121,0.555958,1.985563,-0.000000,0.000000
0.020000,0.185354,4.811024,0.093035,0.595669,1.985563,0.000000,0.000000
0.020000,0.198061,4.811024,0.105742,0.635380,1.985563,-0.000000,0.000000
0.020000,0.211563,4.811024,0.119244,0.675091,1.985563,0.000000,0.000000
0.020000,0.225859,4.811024,0.133540,0.714803,1.985563,0.000000,0.000000
0.020000,0.240949,4.811024,0.148630,0.754514,1.985563,-0.000000,0.000000
0.020000,0.256834,4.811024,0.164515,0.794225,1.985563,0.000000,0.000000
0.020000,0.273513,4.811024,0.181194,0.833936,1.985563,-0.000000,0.000000
0.020000,0.290986,4.811024,0.198667,0.873648,1.985563,0.000000,0.000000
0.020000,0.309253,4.811024,0.216934,0.913359,1.985563,0.000000,0.000000
0.020000,0.328314,4.811024,0.235995,0.953070,1.985563,-0.000000,0.000000
0.020000,0.348170,4.811024,0.255851,0.992781,1.985563,0.000000,0.000000
0.020000,0.368820,4.811024,0.276501,1.032493,1.985563,-0.000000,0.000000
0.020000,0.390264,4.811024,0.297945,1.072204,1.985563,0.000000,0.000000
0.020000,0.412502,4.811024,0.320183,1.111915,1.985563,-0.000000,0.000000
0.020000,0.435535,4.811024,0.343216,1.151626,1.985563,0.000000,0.000000
0.020000,0.459361,4.811024,0.367042,1.191338,1.985563,-0.000000,0.000000
0.020000,0.483982,4.811024,0.391663,1.231049,1.985563,0.000000,0.000000
0.020000,0.509397,4.811024,0.417078,1.270760,1.985563,0.000000,0.000000
0.020000,0.535607,4.811024,0.443288,1.310471,1.985563,0.000000,0.000000
0.020000,0.562611,4.811024,0.470292,1.350183,1.985563,-0.000000,0.000000
0.020000,0.590408,4.811024,0.498089,1.389894,1.985563,0.000000,0.000000
0.020000,0.619001,4.811024,0.526682,1.429605,1.985563,-0.000000,0.000000
0.020000,0.648387,4.811024,0.556068,1.469316,1.985563,0.000000,0.000000
0.020000,0.678567,4.811024,0.586248,1.509028,1.985563,0.000000,0.000000
0.020000,0.709542,4.811024,0.617223,1.548739,1.985563,0.000000,0.000000
0.020000,0.741311,4.811024,0.648992,1.588450,1.985563,-0.000000,0.000000
0.020000,0.773874,4.811024,0.681555,1.628161,1.985563,0.000000,0.000000
0.020000,0.807232,4.811024,0.714913,1.667873,1.985563,-0.000000,0.000000
0.020000,0.841384,4.811024,0.749065,1.707584,1.985563,0.000000,0.000000
0.020000,0.876329,4.811024,0.784010,1.747295,1.985563,-0.000000,0.000000
0.020000,0.912070,4.811024,0.819751,1.787007,1.985563,0.000000,0.000000
0.020000,0.948604,4.811024,0.856285,1.826718,1.985563,-0.000000,0.000000
0.020000,0.985933,4.811024,0.893614,1.866429,1.985563,0.000000,0.000000
0.020000,1.024055,4.811024,0.931736,1.906140,1.985563,-0.000000,0.000000
0.020000,1.062972,4.811024,0.970653,1.945852,1.985563,0.000000,0.000000
0.020000,1.102684,4.811024,1.010365,1.985563,1.985563,0.000000,0.000000
0.020000,1.143189,4.811024,1.050870,2.025274,1.985563,-0.000000,0.000000
0.020000,1.184489,4.811024,1.092170,2.064985,1.985563,0.000000,0.000000
0.020000,1.226583,4.811024,1.134264,2.104697,1.985563,0.000000,0.000000
0.020000,1.269471,4.811024,1.177152,2.144408,1.985563,-0.000000,0.000000
0.020000,1.313153,4.811024,1.220834,2.184119,1.985563,0.000000,0.000000
0.020000,1.357630,4.811024,1.265311,2.223830,1.985563,-0.000000,0.000000
0.020000,1.402901,4.811024,1.310582,2.263542,1.985563,0.000000,0.000000
0.020000,1.448966,4.811024,1.356647,2.303253,1.985563,0.000000,0.000000
0.020000,1.495825,4.811024,1.403506,2.342964,1.985563,-0.000000,0.000000
0.020000,1.543479,4.811024,1.451160,2.382675,1.985563,0.000000,0.000000
0.020000,1.591926,4.811024,1.499607,2.422387,1.985563,-0.000000,0.000000
0.020000,1.641168,4.811024,1.548849,2.462098,1.985563,0.000000,0.000000
0.020000,1.691204,4.811024,1.598885,2.501809,1.985563,0.000000,0.000000
