dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.722402,0.667448,0.000198,0.019810,0.990478,49.523889,6.282717
0.020000,0.722402,0.667448,0.000990,0.059429,1.980956,49.523889,6.282994
0.020000,0.723439,0.667448,0.002575,0.099048,1.980956,0.000000,0.000363
0.020000,0.725816,0.667450,0.004952,0.138667,1.980956,0.000000,0.001192
0.020000,0.728986,0.667456,0.008122,0.178286,1.980956,-0.000000,0.002297
0.020000,0.732948,0.667468,0.012084,0.217905,1.980956,0.000000,0.003675
0.020000,0.737702,0.667489,0.016838,0.257524,1.980956,-0.000000,0.005323
0.020000,0.743249,0.667524,0.022385,0.297143,1.980956,0.000000,0.007239
0.020000,0.749587,0.667577,0.028724,0.336762,1.980956,-0.000000,0.009420
0.020000,0.756718,0.667653,0.035855,0.376382,1.980956,0.000000,0.011863
0.020000,0.764642,0.667757,0.043779,0.416001,1.980956,0.000000,0.014563
0.020000,0.773357,0.667897,0.052495,0.455620,1.980956,-0.000000,0.017515
0.020000,0.782864,0.668079,0.062004,0.495239,1.980956,0.000000,0.020716
0.020000,0.793162,0.668310,0.072305,0.534858,1.980956,0.000000,0.024158
0.020000,0.804252,0.668598,0.083398,0.574477,1.980956,0.000000,0.027835
0.020000,0.816132,0.668952,0.095284,0.614096,1.980956,-0.000000,0.031742
0.020000,0.828803,0.669381,0.107962,0.653715,1.980956,0.000000,0.035870
0.020000,0.842264,0.669893,0.121433,0.693334,1.980956,0.000000,0.040211
0.020000,0.856514,0.670499,0.135695,0.732954,1.980956,0.000000,0.044757
0.020000,0.871552,0.671209,0.150751,0.772573,1.980956,0.000000,0.049499
0.020000,0.887378,0.672032,0.166598,0.812192,1.980956,-0.000000,0.054425
0.020000,0.903991,0.672979,0.183238,0.851811,1.980956,0.000000,0.059527
0.020000,0.921390,0.674062,0.200671,0.891430,1.980956,-0.000000,0.064792
0.020000,0.939573,0.675292,0.218896,0.931049,1.980956,0.000000,0.070208
0.020000,0.958540,0.676679,0.237913,0.970668,1.980956,-0.000000,0.075763
0.020000,0.978288,0.678234,0.257722,1.010287,1.980956,0.000000,0.081444
0.020000,0.998817,0.679970,0.278324,1.049906,1.980956,0.000000,0.087235
0.020000,1.020124,0.681897,0.299719,1.089526,1.980956,0.000000,0.093123
0.020000,1.042208,0.684026,0.321905,1.129145,1.980956,-0.000000,0.099092
0.020000,1.065068,0.686369,0.344884,1.168764,1.980956,0.000000,0.105125
0.020000,1.088700,0.688935,0.368656,1.208383,1.980956,0.000000,0.111206
0.020000,1.113104,0.691736,0.393220,1.248002,1.980956,-0.000000,0.117316
0.020000,1.138276,0.694782,0.418576,1.287621,1.980956,0.000000,0.123439
0.020000,1.164216,0.698081,0.444725,1.327240,1.980956,0.000000,0.129555
0.020000,1.190920,0.701643,0.471666,1.366859,1.980956,0.000000,0.135644
0.020000,1.218387,0.705477,0.499399,1.406478,1.980956,0.000000,0.141688
0.020000,1.246615,0.709590,0.527925,1.446098,1.980956,-0.000000,0.147664
0.020000,1.275601,0.713990,0.557243,1.485717,1.980956,0.000000,0.153552
0.020000,1.305344,0.718682,0.587353,1.525336,1.980956,0.000000,0.159330
0.020000,1.335841,0.723672,0.618256,1.564955,1.980956,0.000000,0.164976
0.020000,1.367092,0.728964,0.649952,1.604574,1.980956,0.000000,0.170468
0.020000,1.399093,0.734561,0.682439,1.644193,1.980956,-0.000000,0.175782
0.020000,1.431845,0.740465,0.715719,1.683812,1.980956,0.000000,0.180895
0.020000,1.465347,0.746678,0.749792,1.723431,1.980956,-0.000000,0.185783
0.020000,1.499596,0.753199,0.784656,1.763050,1.980956,0.000000,0.190421
0.020000,1.534594,0.760025,0.820314,1.802670,1.980956,0.000000,0.194785
0.020000,1.570339,0.767154,0.856763,1.842289,1.980956,-0.000000,0.198849
0.020000,1.606833,0.774581,0.894005,1.881908,1.980956,0.000000,0.202588
0.020000,1.644077,0.782298,0.932040,1.921527,1.980956,0.000000,0.205975
0.020000,1.682070,0.790297,0.970866,1.961146,1.980956,-0.000000,0.208984
0.020000,1.720816,0.798569,1.010485,2.000765,1.980956,0.000000,0.211588
0.020000,1.760317,0.807100,1.050897,2.040384,1.980956,0.000000,0.213758
0.020000,1.800575,0.815877,1.092101,2.080003,1.980956,-0.000000,0.215467
0.020000,1.841595,0.824883,1.134097,2.119622,1.980956,0.000000,0.216686
0.020000,1.883379,0.834099,1.176886,2.159242,1.980956,-0.000000,0.217385
0.020000,1.925933,0.843503,1.220467,2.198861,1.980956,0.000000,0.217534
0.020000,1.969262,0.853073,1.264840,2.238480,1.980956,0.000000,0.217102
0.020000,2.013373,0.862781,1.310006,2.278099,1.980956,-0.000000,0.216058
0.020000,2.058270,0.872598,1.355964,2.317718,1.980956,0.000000,0.214368
0.020000,2.103962,0.882491,1.402715,2.357337,1.980956,0.000000,0.212000
0.020000,2.150455,0.892426,1.450258,2.396956,1.980956,0.000000,0.208919
0.020000,2.197758,0.902363,1.498593,2.436575,1.980956,0.000000,0.205091
0.020000,2.244296,0.912104,1.547721,2.476194,1.980956,-0.000000,0.214863
0.020000,2.292929,0.923362,1.597641,2.515814,1.980956,0.000000,0.239719
0.020000,2.342047,0.935976,1.648353,2.555433,1.980956,0.000000,0.262648
0.020000,2.391639,0.949876,1.699858,2.595052,1.980956,-0.000000,0.283504
0.020000,2.441706,0.964983,1.752155,2.634671,1.980956,0.000000,0.302158
0.020000,2.492256,0.981206,1.805245,2.674290,1.980956,0.000000,0.318494
0.020000,2.543305,0.998445,1.859127,2.713909,1.980956,-0.000000,0.332409
0.020000,2.594880,1.016592,1.913801,2.753528,1.980956,0.000000,0.343803
0.020000,2.647014,1.035529,1.969268,2.793147,1.980956,0.000000,0.352580
0.020000,2.699748,1.055129,2.025527,2.832766,1.980956,-0.000000,0.358642
0.020000,2.753132,1.075254,2.082579,2.872386,1.980956,0.000000,0.361887
0.020000,2.807221,1.095755,2.140422,2.912005,1.980956,-0.000000,0.362202
0.020000,2.862076,1.116471,2.199059,2.951624,1.980956,0.000000,0.359467
0.020000,2.917762,1.137226,2.258487,2.991243,1.980956,0.000000,0.353546
0.020000,2.974152,1.157760,2.318499,3.009923,0.933999,-52.347839,0.344331
0.020000,3.030739,1.177672,2.378488,2.988984,-1.046957,-99.047778,0.331842
0.020000,3.087027,1.196595,2.437872,2.949365,-1.980956,-46.699940,0.316224
0.020000,3.142874,1.214311,2.496463,2.909746,-1.980956,-0.000000,0.297614
0.020000,3.198305,1.230679,2.554261,2.870126,-1.980956,0.000000,0.276129
0.020000,3.253331,1.245569,2.611268,2.830507,-1.980956,0.000000,0.251901
