dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.722235,0.311848,0.000198,0.019810,0.990478,49.523889,6.282717
0.020000,0.722334,0.311848,0.000297,0.004929,-0.744015,-86.724636,6.282994
0.020000,0.723568,0.311849,0.001531,0.061707,2.838909,179.146221,0.000363
0.020000,0.726240,0.311851,0.004203,0.133614,3.595308,37.819939,0.001192
0.020000,0.729803,0.311857,0.007765,0.178116,2.225124,-68.509198,0.002297
0.020000,0.734254,0.311870,0.012217,0.222587,2.223547,-0.078839,0.003675
0.020000,0.739595,0.311894,0.017558,0.267020,2.221628,-0.095982,0.005323
0.020000,0.745823,0.311933,0.023786,0.311406,2.219327,-0.115053,0.007239
0.020000,0.752937,0.311993,0.030900,0.355736,2.216472,-0.142757,0.009420
0.020000,0.760937,0.312078,0.038900,0.400002,2.213324,-0.157357,0.011863
0.020000,0.769820,0.312195,0.047784,0.444196,2.209685,-0.181963,0.014563
0.020000,0.779585,0.312352,0.057550,0.488307,2.205569,-0.205812,0.017515
0.020000,0.790230,0.312555,0.068197,0.532328,2.201061,-0.225419,0.020716
0.020000,0.801752,0.312814,0.079722,0.576247,2.195947,-0.255663,0.024158
0.020000,0.814149,0.313136,0.092123,0.620057,2.190480,-0.273375,0.027835
0.020000,0.827417,0.313532,0.105398,0.663744,2.184336,-0.307197,0.031742
0.020000,0.841555,0.314010,0.119544,0.707300,2.177820,-0.325819,0.035870
0.020000,0.856559,0.314581,0.134558,0.750712,2.170608,-0.360583,0.040211
0.020000,0.872424,0.315255,0.150438,0.793971,2.162959,-0.382455,0.044757
0.020000,0.889147,0.316044,0.167179,0.837064,2.154642,-0.415855,0.049499
0.020000,0.906722,0.316958,0.184779,0.879980,2.145788,-0.442699,0.054425
0.020000,0.925147,0.318009,0.203233,0.922707,2.136330,-0.472889,0.059527
0.020000,0.944414,0.319209,0.222537,0.965231,2.126227,-0.505156,0.064792
0.020000,0.964519,0.320568,0.242688,1.007542,2.115568,-0.532935,0.070208
0.020000,0.985456,0.322099,0.263681,1.049628,2.104264,-0.565203,0.075763
0.020000,1.007218,0.323813,0.285510,1.091473,2.092283,-0.599062,0.081444
0.020000,1.029798,0.325722,0.308172,1.133068,2.079725,-0.627905,0.087235
0.020000,1.053191,0.327838,0.331660,1.174399,2.066573,-0.657588,0.093123
0.020000,1.077388,0.330171,0.355969,1.215454,2.052754,-0.690934,0.099092
0.020000,1.102381,0.332732,0.381093,1.256221,2.038322,-0.721610,0.105125
0.020000,1.128163,0.335532,0.407027,1.296687,2.023321,-0.750069,0.111206
0.020000,1.154726,0.338581,0.433764,1.336841,2.007709,-0.780560,0.117316
0.020000,1.182060,0.341887,0.461297,1.376672,1.991529,-0.809042,0.123439
0.020000,1.210157,0.345461,0.489620,1.416168,1.974797,-0.836596,0.129555
0.020000,1.239008,0.349310,0.518727,1.455318,1.957510,-0.864313,0.135644
0.020000,1.268603,0.353441,0.548609,1.494112,1.939717,-0.889649,0.141688
0.020000,1.298934,0.357860,0.579260,1.532541,1.921410,-0.915378,0.147664
0.020000,1.329990,0.362574,0.610672,1.570593,1.902630,-0.939005,0.153552
0.020000,1.361762,0.367586,0.642837,1.608261,1.883382,-0.962389,0.159330
0.020000,1.394241,0.372900,0.675748,1.645535,1.863693,-0.984447,0.164976
0.020000,1.427417,0.378518,0.709396,1.682406,1.843576,-1.005829,0.170468
0.020000,1.461280,0.384441,0.743773,1.718867,1.823050,-1.026307,0.175782
0.020000,1.495822,0.390668,0.778871,1.754910,1.802120,-1.046539,0.180895
0.020000,1.531032,0.397198,0.814682,1.790526,1.780804,-1.065785,0.185783
0.020000,1.566902,0.404027,0.851196,1.825708,1.759103,-1.085063,0.190421
0.020000,1.603422,0.411150,0.888405,1.860448,1.737015,-1.104390,0.194785
0.020000,1.640585,0.418561,0.926300,1.894739,1.714544,-1.123549,0.198849
0.020000,1.678382,0.426253,0.964871,1.928573,1.691677,-1.143336,0.202588
0.020000,1.716805,0.434214,1.004110,1.961941,1.668399,-1.163889,0.205975
0.020000,1.755845,0.442434,1.044007,1.994835,1.644700,-1.184992,0.208984
0.020000,1.795497,0.450899,1.084552,2.027246,1.620552,-1.207353,0.211588
0.020000,1.835752,0.459593,1.125735,2.059164,1.595927,-1.231266,0.213758
0.020000,1.876604,0.468500,1.167546,2.090580,1.570798,-1.256456,0.215467
0.020000,1.918047,0.477598,1.209976,2.121483,1.545129,-1.283444,0.216686
0.020000,1.960074,0.486868,1.253013,2.151860,1.518881,-1.312418,0.217385
0.020000,2.002680,0.496284,1.296647,2.181701,1.492024,-1.342820,0.217534
0.020000,2.045859,0.505820,1.340867,2.210991,1.464517,-1.375352,0.217102
0.020000,2.089606,0.515448,1.385661,2.239718,1.436332,-1.409258,0.216058
0.020000,2.133917,0.525137,1.431019,2.267867,1.407438,-1.444720,0.214368
0.020000,2.178785,0.534852,1.476927,2.295423,1.377826,-1.480577,0.212000
0.020000,2.224207,0.544558,1.523375,2.322373,1.347484,-1.517123,0.208919
0.020000,2.270178,0.554216,1.570349,2.348702,1.316440,-1.552190,0.205091
0.020000,2.320115,0.564681,1.621371,2.551097,10.119754,440.165717,0.214863
0.020000,2.377359,0.577930,1.680128,2.937864,19.338383,460.931440,0.239719
0.020000,2.434374,0.592571,1.738993,2.943236,0.268584,-953.489975,0.262648
0.020000,2.491108,0.608471,1.797913,2.946008,0.138593,-6.499523,0.283504
0.020000,2.547526,0.625493,1.856843,2.946484,0.023796,-5.739872,0.302158
0.020000,2.603607,0.643489,1.915741,2.944912,-0.078608,-5.120199,0.318494
