dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.011616,0.727437,0.000200,0.019973,0.998645,49.932255,2.573808
0.020000,5.011616,0.727437,0.000999,0.059919,1.997290,49.932255,2.574611
0.020000,5.010480,0.728159,0.002596,0.099865,1.997290,-0.000000,2.576216
0.020000,5.008454,0.729441,0.004993,0.139810,1.997290,-0.000000,2.578624
0.020000,5.005749,0.731142,0.008189,0.179756,1.997290,0.000000,2.581836
0.020000,5.002360,0.733256,0.012183,0.219702,1.997290,0.000000,2.585852
0.020000,4.998282,0.735775,0.016977,0.259648,1.997290,-0.000000,2.590674
0.020000,4.993508,0.738689,0.022569,0.299594,1.997290,0.000000,2.596302
0.020000,4.988033,0.741987,0.028961,0.339539,1.997290,0.000000,2.602735
0.020000,4.981849,0.745654,0.036151,0.379485,1.997290,0.000000,2.609973
0.020000,4.974946,0.749676,0.044140,0.419431,1.997290,0.000000,2.618013
0.020000,4.967316,0.754037,0.052928,0.459377,1.997290,-0.000000,2.626852
0.020000,4.958949,0.758716,0.062515,0.499323,1.997290,0.000000,2.636484
0.020000,4.949834,0.763694,0.072901,0.539268,1.997290,-0.000000,2.646901
0.020000,4.939960,0.768949,0.084086,0.579214,1.997290,0.000000,2.658094
0.020000,4.929317,0.774457,0.096070,0.619160,1.997290,-0.000000,2.670046
0.020000,4.917893,0.780191,0.108852,0.659106,1.997290,0.000000,2.682741
0.020000,4.905676,0.786124,0.122434,0.699052,1.997290,-0.000000,2.696155
0.020000,4.892655,0.792229,0.136814,0.738997,1.997290,0.000000,2.710261
0.020000,4.878820,0.798473,0.151994,0.778943,1.997290,0.000000,2.725026
0.020000,4.864159,0.804825,0.167972,0.818889,1.997290,-0.000000,2.740410
0.020000,4.848662,0.811253,0.184749,0.858835,1.997290,0.000000,2.756369
0.020000,4.832320,0.817722,0.202325,0.898781,1.997290,0.000000,2.772848
0.020000,4.815125,0.824200,0.220701,0.938726,1.997290,0.000000,2.789790
0.020000,4.797068,0.830650,0.239875,0.978672,1.997290,-0.000000,2.807128
0.020000,4.778145,0.837039,0.259847,1.018618,1.997290,-0.000000,2.824789
0.020000,4.758350,0.843332,0.280619,1.058564,1.997290,0.000000,2.842693
0.020000,4.737679,0.849496,0.302190,1.098510,1.997290,0.000000,2.860755
0.020000,4.716130,0.855500,0.324560,1.138455,1.997290,-0.000000,2.878883
0.020000,4.693703,0.861313,0.347728,1.178401,1.997290,0.000000,2.896981
0.020000,4.670398,0.866906,0.371696,1.218347,1.997290,0.000000,2.914949
0.020000,4.646217,0.872256,0.396462,1.258293,1.997290,-0.000000,2.932684
0.020000,4.621162,0.877338,0.422027,1.298239,1.997290,0.000000,2.950081
0.020000,4.595238,0.882134,0.448392,1.338184,1.997290,0.000000,2.967034
0.020000,4.568450,0.886630,0.475555,1.378130,1.997290,0.000000,2.983436
0.020000,4.540803,0.890814,0.503517,1.418076,1.997290,-0.000000,2.999180
0.020000,4.512303,0.894679,0.532278,1.458022,1.997290,0.000000,3.014163
0.020000,4.482957,0.898226,0.561838,1.497968,1.997290,0.000000,3.028278
0.020000,4.452771,0.901457,0.592197,1.537913,1.997290,0.000000,3.041424
0.020000,4.421751,0.904382,0.623354,1.577859,1.997290,0.000000,3.053500
0.020000,4.389903,0.907016,0.655311,1.617805,1.997290,0.000000,3.064405
0.020000,4.357233,0.909380,0.688066,1.657751,1.997290,-0.000000,3.074039
0.020000,4.323746,0.911502,0.721621,1.697697,1.997290,0.000000,3.082302
0.020000,4.289446,0.913416,0.755974,1.737642,1.997290,-0.000000,3.089093
0.020000,4.254337,0.915164,0.791127,1.777588,1.997290,0.000000,3.094307
0.020000,4.218423,0.916795,0.827078,1.817534,1.997290,0.000000,3.097837
