dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.202845,1.027242,0.000200,0.019973,0.998645,49.932255,2.573808
0.020000,5.202605,1.027395,0.000485,0.014269,-0.285180,-64.191261,2.574611
0.020000,5.200987,1.028423,0.002402,0.095847,4.078908,218.204427,2.576216
0.020000,5.198238,1.030163,0.005655,0.162652,3.340234,-36.933706,2.578624
0.020000,5.194566,1.032472,0.009993,0.216897,2.712249,-31.399258,2.581836
0.020000,5.189965,1.035342,0.015416,0.271143,2.712273,0.001216,2.585852
0.020000,5.184427,1.038762,0.021924,0.325409,2.713319,0.052293,2.590674
0.020000,5.177946,1.042719,0.029518,0.379676,2.713340,0.001034,2.596302
0.020000,5.170512,1.047197,0.038197,0.433948,2.713607,0.013371,2.602735
0.020000,5.162113,1.052177,0.047960,0.488194,2.712322,-0.064255,2.609973
0.020000,5.152740,1.057638,0.058809,0.542412,2.710883,-0.071985,2.618013
0.020000,5.142381,1.063558,0.070740,0.596557,2.707234,-0.182412,2.626852
0.020000,5.131024,1.069909,0.083752,0.650608,2.702582,-0.232627,2.636484
0.020000,5.118658,1.076663,0.097842,0.704513,2.695255,-0.366346,2.646901
0.020000,5.105271,1.083788,0.113007,0.758235,2.686057,-0.459899,2.658094
0.020000,5.090854,1.091249,0.129241,0.811696,2.673059,-0.649904,2.670046
0.020000,5.075395,1.099008,0.146538,0.864838,2.657132,-0.796356,2.682741
0.020000,5.058887,1.107026,0.164889,0.917576,2.636865,-1.013332,2.696155
0.020000,5.041325,1.115259,0.184286,0.969824,2.612437,-1.221391,2.710261
0.020000,5.022704,1.123663,0.204715,1.021482,2.582887,-1.477489,2.725026
0.020000,5.003023,1.132190,0.226164,1.072440,2.547901,-1.749317,2.740410
0.020000,4.982285,1.140792,0.248616,1.122588,2.507401,-2.025014,2.756369
0.020000,4.960494,1.149419,0.272052,1.171804,2.460771,-2.331508,2.772848
0.020000,4.937661,1.158020,0.296451,1.219966,2.408120,-2.632518,2.789790
0.020000,4.913799,1.166545,0.321790,1.266952,2.349288,-2.941599,2.807128
0.020000,4.888925,1.174943,0.348043,1.312638,2.284291,-3.249879,2.824789
0.020000,4.863063,1.183165,0.375181,1.356907,2.213457,-3.541691,2.842693
0.020000,4.836237,1.191165,0.403174,1.399654,2.137349,-3.805413,2.860755
0.020000,4.808479,1.198899,0.431990,1.440775,2.056065,-4.064197,2.878883
0.020000,4.779822,1.206327,0.461594,1.480190,1.970739,-4.266277,2.896981
0.020000,4.750304,1.213412,0.491950,1.517826,1.881823,-4.445797,2.914949
0.020000,4.719965,1.220124,0.523023,1.553631,1.790238,-4.579279,2.932684
0.020000,4.688848,1.226437,0.554774,1.587567,1.696800,-4.671883,2.950081
0.020000,4.656996,1.232330,0.587166,1.619613,1.602317,-4.724155,2.967034
0.020000,4.624456,1.237792,0.620162,1.649764,1.507540,-4.738859,2.983436
0.020000,4.591273,1.242814,0.653722,1.678026,1.413086,-4.722688,2.999180
0.020000,4.557494,1.247396,0.687810,1.704415,1.319458,-4.681384,3.014163
0.020000,4.523165,1.251545,0.722389,1.728955,1.226975,-4.624160,3.028278
0.020000,4.488331,1.255274,0.757423,1.751669,1.135745,-4.561515,3.041424
0.020000,4.453036,1.258603,0.792875,1.772583,1.045685,-4.502976,3.053500
0.020000,4.417323,1.261557,0.828709,1.791713,0.956473,-4.460622,3.064405
0.020000,4.381237,1.264169,0.864890,1.809066,0.867671,-4.440086,3.074039
