dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.382135,4.472416,0.000200,0.019963,0.998175,49.908729,0.000412
0.020000,1.382166,4.472416,0.000231,0.001583,-0.919011,-95.859293,0.000322
0.020000,1.382230,4.472416,0.000295,0.003165,0.079073,49.904191,0.000144
0.020000,1.383423,4.472416,0.001488,0.059660,2.824752,137.283992,6.283063
0.020000,1.386743,4.472415,0.004808,0.166023,5.318142,124.669489,6.282708
0.020000,1.390894,4.472412,0.008959,0.207515,2.074640,-162.175096,6.282265
0.020000,1.395874,4.472406,0.013939,0.248999,2.074188,-0.022622,6.281734
0.020000,1.401683,4.472396,0.019748,0.290471,2.073604,-0.029188,6.281116
0.020000,1.408322,4.472380,0.026387,0.331932,2.073033,-0.028577,6.280412
0.020000,1.415789,4.472356,0.033854,0.373377,2.072270,-0.038139,6.279623
0.020000,1.424085,4.472323,0.042150,0.414807,2.071491,-0.038915,6.278749
0.020000,1.433210,4.472278,0.051275,0.456219,2.070581,-0.045540,6.277792
0.020000,1.443162,4.472219,0.061227,0.497610,2.069557,-0.051180,6.276752
0.020000,1.453941,4.472144,0.072006,0.538981,2.068554,-0.050155,6.275631
0.020000,1.465547,4.472049,0.083613,0.580327,2.067308,-0.062276,6.274430
0.020000,1.477980,4.471932,0.096046,0.621648,2.066043,-0.063254,6.273151
0.020000,1.491238,4.471790,0.109305,0.662941,2.064664,-0.068975,6.271795
0.020000,1.505321,4.471620,0.123389,0.704207,2.063278,-0.069297,6.270364
0.020000,1.520228,4.471417,0.138298,0.745439,2.061622,-0.082800,6.268859
0.020000,1.535959,4.471180,0.154031,0.786640,2.060019,-0.080134,6.267283
0.020000,1.552513,4.470903,0.170587,0.827805,2.058283,-0.086828,6.265637
0.020000,1.569889,4.470583,0.187965,0.868934,2.056417,-0.093276,6.263923
0.020000,1.588085,4.470216,0.206166,0.910022,2.054428,-0.099479,6.262144
0.020000,1.607102,4.469798,0.225187,0.951072,2.052472,-0.097758,6.260302
0.020000,1.626938,4.469325,0.245029,0.992077,2.050261,-0.110568,6.258400
0.020000,1.647592,4.468793,0.265689,1.033037,2.048029,-0.111617,6.256439
0.020000,1.669063,4.468197,0.287168,1.073951,2.045695,-0.116688,6.254423
0.020000,1.691349,4.467533,0.309465,1.114817,2.043266,-0.121457,6.252353
0.020000,1.714450,4.466796,0.332577,1.155631,2.040700,-0.128305,6.250235
0.020000,1.738364,4.465981,0.356505,1.196392,2.038060,-0.131981,6.248069
0.020000,1.763090,4.465085,0.381247,1.237098,2.035319,-0.137069,6.245859
0.020000,1.788626,4.464103,0.406802,1.277747,2.032458,-0.143014,6.243609
