dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.382281,4.116816,0.000200,0.019963,0.998175,49.908729,0.000412
0.020000,1.382281,4.116816,0.000998,0.059890,1.996349,49.908729,0.000322
0.020000,1.382281,4.116816,0.002595,0.099817,1.996349,0.000000,0.000144
0.020000,1.383379,4.116816,0.004991,0.139744,1.996349,0.000000,6.283063
0.020000,1.386574,4.116815,0.008185,0.179671,1.996349,-0.000000,6.282708
0.020000,1.390566,4.116812,0.012178,0.219598,1.996349,0.000000,6.282265
0.020000,1.395358,4.116806,0.016969,0.259525,1.996349,0.000000,6.281734
0.020000,1.400947,4.116797,0.022559,0.299452,1.996349,-0.000000,6.281116
0.020000,1.407336,4.116781,0.028947,0.339379,1.996349,0.000000,6.280412
0.020000,1.414522,4.116758,0.036134,0.379306,1.996349,-0.000000,6.279623
0.020000,1.422508,4.116726,0.044119,0.419233,1.996349,0.000000,6.278749
0.020000,1.431292,4.116683,0.052903,0.459160,1.996349,-0.000000,6.277792
0.020000,1.440874,4.116627,0.062486,0.499087,1.996349,0.000000,6.276752
0.020000,1.451255,4.116554,0.072867,0.539014,1.996349,0.000000,6.275631
0.020000,1.462434,4.116463,0.084046,0.578941,1.996349,-0.000000,6.274430
0.020000,1.474411,4.116350,0.096024,0.618868,1.996349,0.000000,6.273151
0.020000,1.487187,4.116213,0.108801,0.658795,1.996349,0.000000,6.271795
0.020000,1.500762,4.116049,0.122376,0.698722,1.996349,0.000000,6.270364
0.020000,1.515134,4.115854,0.136750,0.738649,1.996349,0.000000,6.268859
0.020000,1.530304,4.115625,0.151922,0.778576,1.996349,-0.000000,6.267283
0.020000,1.546273,4.115358,0.167893,0.818503,1.996349,0.000000,6.265637
0.020000,1.563039,4.115049,0.184662,0.858430,1.996349,0.000000,6.263923
0.020000,1.580604,4.114695,0.202230,0.898357,1.996349,0.000000,6.262144
0.020000,1.598966,4.114291,0.220597,0.938284,1.996349,0.000000,6.260302
0.020000,1.618125,4.113835,0.239762,0.978211,1.996349,0.000000,6.258400
0.020000,1.638082,4.113320,0.259725,1.018138,1.996349,-0.000000,6.256439
0.020000,1.658836,4.112744,0.280487,1.058065,1.996349,0.000000,6.254423
0.020000,1.680387,4.112102,0.302048,1.097992,1.996349,0.000000,6.252353
0.020000,1.702735,4.111389,0.324407,1.137919,1.996349,0.000000,6.250235
0.020000,1.725879,4.110601,0.347564,1.177846,1.996349,-0.000000,6.248069
0.020000,1.749820,4.109733,0.371521,1.217773,1.996349,0.000000,6.245859
0.020000,1.774556,4.108781,0.396275,1.257700,1.996349,-0.000000,6.243609
0.020000,1.800088,4.107741,0.421829,1.297627,1.996349,0.000000,6.241321
0.020000,1.826415,4.106608,0.448180,1.337554,1.996349,-0.000000,6.238999
0.020000,1.853538,4.105376,0.475331,1.377481,1.996349,0.000000,6.236647
0.020000,1.881455,4.104043,0.503280,1.417408,1.996349,-0.000000,6.234269
0.020000,1.910166,4.102603,0.532027,1.457335,1.996349,0.000000,6.231867
0.020000,1.939671,4.101051,0.561573,1.497262,1.996349,-0.000000,6.229447
0.020000,1.969970,4.099384,0.591918,1.537189,1.996349,0.000000,6.227011
0.020000,2.001062,4.097598,0.623061,1.577116,1.996349,-0.000000,6.224564
0.020000,2.032946,4.095687,0.655002,1.617043,1.996349,0.000000,6.222111
0.020000,2.065623,4.093648,0.687742,1.656970,1.996349,-0.000000,6.219655
0.020000,2.099091,4.091478,0.721281,1.696897,1.996349,0.000000,6.217202
0.020000,2.133351,4.089172,0.755618,1.736824,1.996349,0.000000,6.214755
0.020000,2.168401,4.086726,0.790754,1.776751,1.996349,-0.000000,6.212319
0.020000,2.204242,4.084138,0.826688,1.816678,1.996349,0.000000,6.209899
0.020000,2.240873,4.081404,0.863421,1.856605,1.996349,-0.000000,6.207500
0.020000,2.278294,4.078522,0.900952,1.896532,1.996349,0.000000,6.205126
0.020000,2.316503,4.075488,0.939282,1.936459,1.996349,0.000000,6.202784
0.020000,2.355502,4.072300,0.978411,1.976386,1.996349,-0.000000,6.200478
0.020000,2.395289,4.068956,1.018338,2.016313,1.996349,0.000000,6.198213
0.020000,2.435863,4.065455,1.059063,2.056240,1.996349,-0.000000,6.195994
0.020000,2.477226,4.061793,1.100587,2.096167,1.996349,0.000000,6.193828
0.020000,2.519375,4.057972,1.142910,2.136094,1.996349,0.000000,6.191720
0.020000,2.562312,4.053989,1.186031,2.176021,1.996349,-0.000000,6.189675
0.020000,2.606036,4.049844,1.229951,2.215948,1.996349,0.000000,6.187699
0.020000,2.650546,4.045538,1.274669,2.255875,1.996349,-0.000000,6.185799
0.020000,2.695843,4.041071,1.320186,2.295802,1.996349,0.000000,6.183979
