dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.382427,3.761216,0.000200,0.019963,0.998175,49.908729,0.000412
0.020000,1.382396,3.761216,0.000231,0.001583,-0.919011,-95.859293,0.000322
0.020000,1.382333,3.761216,0.000295,0.003165,0.079073,49.904191,0.000144
0.020000,1.383336,3.761216,0.001298,0.050175,2.350495,113.571124,6.283063
0.020000,1.386404,3.761215,0.004366,0.153393,5.160895,140.520015,6.282708
0.020000,1.390239,3.761212,0.008201,0.191755,1.918100,-162.139757,6.282265
0.020000,1.394841,3.761207,0.012804,0.230125,1.918542,0.022066,6.281734
0.020000,1.400212,3.761197,0.018174,0.268506,1.919035,0.024654,6.281116
0.020000,1.406350,3.761183,0.024312,0.306900,1.919713,0.033908,6.280412
0.020000,1.413256,3.761161,0.031218,0.345308,1.920389,0.033796,6.279623
0.020000,1.420930,3.761130,0.038892,0.383733,1.921226,0.041849,6.278749
0.020000,1.429374,3.761088,0.047336,0.422175,1.922116,0.044539,6.277792
0.020000,1.438586,3.761034,0.056549,0.460637,1.923080,0.048187,6.276752
0.020000,1.448568,3.760964,0.066531,0.499121,1.924241,0.058059,6.275631
0.020000,1.459321,3.760876,0.077284,0.537629,1.925358,0.055815,6.274430
0.020000,1.470843,3.760768,0.088807,0.576161,1.926637,0.063943,6.273151
0.020000,1.483137,3.760636,0.101101,0.614721,1.927991,0.067738,6.271795
0.020000,1.496202,3.760478,0.114168,0.653312,1.929523,0.076600,6.270364
0.020000,1.510040,3.760290,0.128006,0.691931,1.930989,0.073295,6.268859
0.020000,1.524650,3.760070,0.142618,0.730585,1.932690,0.085046,6.267283
0.020000,1.540033,3.759812,0.158003,0.769274,1.934454,0.088175,6.265637
0.020000,1.556190,3.759515,0.174163,0.808000,1.936285,0.091584,6.263923
0.020000,1.573122,3.759174,0.191099,0.846764,1.938191,0.095270,6.262144
0.020000,1.590829,3.758785,0.208810,0.885570,1.940318,0.106384,6.260302
0.020000,1.609312,3.758344,0.227298,0.924418,1.942399,0.104022,6.258400
0.020000,1.628572,3.757848,0.246565,0.963311,1.944652,0.112648,6.256439
0.020000,1.648610,3.757291,0.266610,1.002251,1.947003,0.117573,6.254423
0.020000,1.669425,3.756671,0.287434,1.041240,1.949459,0.122811,6.252353
0.020000,1.691020,3.755982,0.309040,1.080280,1.951982,0.126135,6.250235
0.020000,1.713394,3.755220,0.331428,1.119373,1.954631,0.132443,6.248069
0.020000,1.736549,3.754381,0.354598,1.158520,1.957380,0.137447,6.245859
0.020000,1.760486,3.753460,0.378552,1.197724,1.960213,0.141656,6.243609
0.020000,1.785205,3.752453,0.403292,1.236988,1.963196,0.149138,6.241321
0.020000,1.810708,3.751355,0.428818,1.276313,1.966207,0.150546,6.238999
0.020000,1.836995,3.750161,0.455132,1.315700,1.969372,0.158249,6.236647
0.020000,1.864067,3.748868,0.482235,1.355152,1.972621,0.162474,6.234269
0.020000,1.891926,3.747471,0.510129,1.394672,1.975961,0.166978,6.231867
0.020000,1.920571,3.745964,0.538814,1.434260,1.979431,0.173524,6.229447
0.020000,1.950005,3.744345,0.568293,1.473919,1.982961,0.176484,6.227011
0.020000,1.980228,3.742608,0.598566,1.513652,1.986618,0.182836,6.224564
0.020000,2.011242,3.740750,0.629635,1.553459,1.990363,0.187279,6.222111
0.020000,2.043047,3.738766,0.661502,1.593343,1.994203,0.191976,6.219655
0.020000,2.075644,3.736652,0.694168,1.633306,1.998158,0.197746,6.217202
0.020000,2.109036,3.734404,0.727635,1.673350,2.002184,0.201295,6.214755
0.020000,2.143222,3.732019,0.761904,1.713476,2.006321,0.206860,6.212319
0.020000,2.178205,3.729493,0.796978,1.753687,2.010550,0.211435,6.209899
0.020000,2.213985,3.726822,0.832858,1.793985,2.014874,0.216211,6.207500
0.020000,2.250564,3.724005,0.869545,1.834371,2.019289,0.220772,6.205126
0.020000,2.287944,3.721037,0.907042,1.874847,2.023798,0.225454,6.202784
0.020000,2.326124,3.717916,0.945350,1.915415,2.028400,0.230072,6.200478
0.020000,2.365109,3.714639,0.984472,1.956076,2.033091,0.234550,6.198213
0.020000,2.404897,3.711205,1.024409,1.996834,2.037874,0.239178,6.195994
0.020000,2.445492,3.707612,1.065162,2.037689,2.042747,0.243658,6.193828
0.020000,2.486895,3.703858,1.106735,2.078643,2.047710,0.248146,6.191720
0.020000,2.529108,3.699943,1.149129,2.119698,2.052761,0.252510,6.189675
0.020000,2.572132,3.695864,1.192346,2.160856,2.057903,0.257115,6.187699
0.020000,2.615970,3.691623,1.236389,2.202119,2.063131,0.261399,6.185799
0.020000,2.660623,3.687219,1.281258,2.243488,2.068451,0.266004,6.183979
0.020000,2.706094,3.682653,1.326958,2.284965,2.073852,0.270067,6.182247
0.020000,2.752384,3.677926,1.373489,2.326552,2.079353,0.275036,6.180608
0.020000,2.799496,3.673039,1.420854,2.368251,2.084932,0.278947,6.179069
0.020000,2.847433,3.667995,1.469055,2.410063,2.090617,0.284231,6.177635
0.020000,2.896196,3.662795,1.518095,2.451990,2.096372,0.287773,6.176315
0.020000,2.945789,3.657444,1.567976,2.494035,2.102236,0.293181,6.175113
0.020000,2.996214,3.651946,1.618699,2.536199,2.108184,0.297429,6.174037
0.020000,3.047474,3.646303,1.670269,2.578483,2.114226,0.302089,6.173094
