dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.532724,4.502410,0.000199,0.019876,0.993807,49.690338,6.281863
0.020000,1.532551,4.502410,0.000372,0.008638,-0.561899,-77.785310,6.282349
0.020000,1.532425,4.502410,0.000498,0.006330,-0.115391,22.325417,0.000133
0.020000,1.534294,4.502412,0.002368,0.093488,4.357860,223.662558,0.001582
0.020000,1.536791,4.502418,0.004864,0.124823,1.566766,-139.554688,0.003505
0.020000,1.539917,4.502433,0.007991,0.156312,1.574462,0.384809,0.005892
0.020000,1.543677,4.502461,0.011750,0.187983,1.583536,0.453680,0.008734
0.020000,1.548074,4.502506,0.016148,0.219877,1.594692,0.557775,0.012018
0.020000,1.553114,4.502576,0.021188,0.252034,1.607849,0.657859,0.015730
0.020000,1.558803,4.502677,0.026878,0.284482,1.622402,0.727658,0.019851
0.020000,1.565146,4.502818,0.033223,0.317260,1.638930,0.826394,0.024366
0.020000,1.572152,4.503006,0.040231,0.350407,1.657321,0.919570,0.029251
0.020000,1.579827,4.503250,0.047910,0.383948,1.677084,0.988127,0.034486
0.020000,1.588180,4.503562,0.056269,0.417921,1.698635,1.077571,0.040046
0.020000,1.597219,4.503951,0.065316,0.452358,1.721862,1.161357,0.045905
0.020000,1.606953,4.504428,0.075062,0.487285,1.746333,1.223516,0.052036
0.020000,1.617391,4.505005,0.085516,0.522732,1.772330,1.299887,0.058408
0.020000,1.628544,4.505694,0.096691,0.558728,1.799801,1.373514,0.064992
0.020000,1.640422,4.506508,0.108597,0.595292,1.828211,1.420537,0.071755
0.020000,1.653036,4.507459,0.121246,0.632449,1.857853,1.482091,0.078664
0.020000,1.666395,4.508559,0.134650,0.670225,1.888821,1.548415,0.085685
0.020000,1.680511,4.509823,0.148823,0.708629,1.920182,1.568022,0.092781
0.020000,1.695395,4.511262,0.163776,0.747680,1.952529,1.617372,0.099916
0.020000,1.711059,4.512889,0.179524,0.787399,1.985981,1.672579,0.107053
0.020000,1.727514,4.514717,0.196080,0.827790,2.019528,1.677354,0.114155
0.020000,1.744771,4.516758,0.213458,0.868870,2.054003,1.723758,0.121181
0.020000,1.762842,4.519023,0.231670,0.910640,2.088492,1.724415,0.128095
0.020000,1.781740,4.521522,0.250733,0.953118,2.123943,1.772566,0.134855
0.020000,1.801476,4.524267,0.270659,0.996304,2.159253,1.765513,0.141421
0.020000,1.822063,4.527265,0.291463,1.040209,2.195260,1.800330,0.147755
0.020000,1.843513,4.530525,0.313160,1.084837,2.231398,1.806908,0.153814
0.020000,1.865840,4.534054,0.335764,1.130199,2.268100,1.835099,0.159557
0.020000,1.889057,4.537855,0.359290,1.176303,2.305204,1.855202,0.164944
0.020000,1.913178,4.541933,0.383753,1.223156,2.342654,1.872487,0.169931
0.020000,1.938217,4.546290,0.409168,1.270778,2.381131,1.923885,0.174475
0.020000,1.964191,4.550924,0.435552,1.319183,2.420225,1.954675,0.178533
0.020000,1.991115,4.555833,0.462920,1.368390,2.460375,2.007524,0.182059
0.020000,2.019007,4.561012,0.491288,1.418428,2.501861,2.074302,0.185006
0.020000,2.047885,4.566453,0.520675,1.469324,2.544824,2.148156,0.187327
0.020000,2.077770,4.572145,0.551097,1.521120,2.589793,2.248442,0.188970
0.020000,2.108684,4.578074,0.582574,1.573858,2.636902,2.355413,0.189883
0.020000,2.140650,4.584222,0.615126,1.627593,2.686756,2.492703,0.190010
0.020000,2.173694,4.590568,0.648774,1.682387,2.739713,2.647885,0.189290
0.020000,2.207844,4.597084,0.683540,1.738314,2.796325,2.830561,0.187661
0.020000,2.243131,4.603740,0.719449,1.795459,2.857236,3.045580,0.185054
0.020000,2.279588,4.610499,0.756528,1.853918,2.922972,3.286774,0.181394
0.020000,2.317252,4.617317,0.794804,1.913800,2.994095,3.556147,0.176603
