dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.531783,3.791211,0.000199,0.019876,0.993807,49.690338,6.281863
0.020000,1.531956,3.791211,0.000372,0.008638,-0.561899,-77.785310,6.282349
0.020000,1.532519,3.791210,0.000935,0.028151,0.975634,76.876669,0.000133
0.020000,1.535420,3.791213,0.003835,0.145026,5.843752,243.405900,0.001582
0.020000,1.539283,3.791223,0.007699,0.193191,2.408257,-171.774760,0.003505
0.020000,1.544108,3.791245,0.012523,0.241214,2.401159,-0.354886,0.005892
0.020000,1.549888,3.791288,0.018304,0.289044,2.391486,-0.483647,0.008734
0.020000,1.556621,3.791358,0.025037,0.336651,2.380363,-0.556165,0.012018
0.020000,1.564300,3.791464,0.032717,0.384005,2.367706,-0.632853,0.015730
0.020000,1.572920,3.791618,0.041338,0.431058,2.352651,-0.752722,0.019851
0.020000,1.582474,3.791829,0.050894,0.477782,2.336161,-0.824492,0.024366
0.020000,1.592953,3.792110,0.061377,0.524145,2.318154,-0.900353,0.029251
0.020000,1.604349,3.792473,0.072779,0.570105,2.298007,-1.007393,0.034486
0.020000,1.616653,3.792932,0.085092,0.615634,2.276481,-1.076255,0.040046
0.020000,1.629855,3.793500,0.098306,0.660706,2.253559,-1.146102,0.045905
0.020000,1.643944,3.794191,0.112411,0.705281,2.228784,-1.238749,0.052036
0.020000,1.658908,3.795018,0.127398,0.749337,2.202773,-1.300552,0.058408
0.020000,1.674734,3.795996,0.143255,0.792850,2.175653,-1.355997,0.064992
0.020000,1.691411,3.797138,0.159971,0.835788,2.146898,-1.437788,0.071755
0.020000,1.708924,3.798458,0.177533,0.878131,2.117168,-1.486477,0.078664
0.020000,1.727259,3.799969,0.195931,0.919868,2.086833,-1.516753,0.085685
0.020000,1.746402,3.801682,0.215150,0.960965,2.054856,-1.598868,0.092781
0.020000,1.766337,3.803609,0.235178,1.001411,2.022315,-1.627047,0.099916
0.020000,1.787050,3.805761,0.256002,1.041203,1.989583,-1.636572,0.107053
0.020000,1.808524,3.808146,0.277609,1.080314,1.955536,-1.702350,0.114155
0.020000,1.830744,3.810773,0.299984,1.118743,1.921477,-1.702972,0.121181
0.020000,1.853694,3.813649,0.323113,1.156471,1.886380,-1.754857,0.128095
0.020000,1.877358,3.816779,0.346983,1.193503,1.851592,-1.739364,0.134855
