dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.382427,4.472416,0.000200,0.019963,0.998175,49.908729,6.282774
0.020000,1.382396,4.472416,0.000231,0.001583,-0.919011,-95.859293,6.282863
0.020000,1.382333,4.472416,0.000295,0.003165,0.079073,49.904191,6.283041
0.020000,1.383336,4.472416,0.001298,0.050175,2.350495,113.571124,0.000122
0.020000,1.386404,4.472417,0.004366,0.153393,5.160895,140.520015,0.000477
0.020000,1.390239,4.472420,0.008201,0.191755,1.918100,-162.139757,0.000921
0.020000,1.394841,4.472425,0.012804,0.230125,1.918542,0.022066,0.001451
0.020000,1.400212,4.472435,0.018174,0.268506,1.919035,0.024654,0.002069
0.020000,1.406350,4.472449,0.024312,0.306900,1.919713,0.033908,0.002773
0.020000,1.413256,4.472471,0.031218,0.345308,1.920389,0.033796,0.003562
0.020000,1.420930,4.472502,0.038892,0.383733,1.921226,0.041849,0.004436
0.020000,1.429374,4.472543,0.047336,0.422175,1.922116,0.044539,0.005394
0.020000,1.438586,4.472598,0.056549,0.460637,1.923080,0.048187,0.006433
0.020000,1.448568,4.472668,0.066531,0.499121,1.924241,0.058059,0.007554
0.020000,1.459321,4.472755,0.077284,0.537629,1.925358,0.055815,0.008755
0.020000,1.470843,4.472864,0.088807,0.576161,1.926637,0.063943,0.010034
0.020000,1.483137,4.472995,0.101101,0.614721,1.927991,0.067738,0.011390
0.020000,1.496202,4.473154,0.114168,0.653312,1.929523,0.076600,0.012821
0.020000,1.510040,4.473341,0.128006,0.691931,1.930989,0.073295,0.014326
0.020000,1.524650,4.473562,0.142618,0.730585,1.932690,0.085046,0.015902
0.020000,1.540033,4.473820,0.158003,0.769274,1.934454,0.088175,0.017548
0.020000,1.556190,4.474117,0.174163,0.808000,1.936285,0.091584,0.019262
0.020000,1.573122,4.474458,0.191099,0.846764,1.938191,0.095270,0.021041
0.020000,1.590829,4.474847,0.208810,0.885570,1.940318,0.106384,0.022883
0.020000,1.609312,4.475288,0.227298,0.924418,1.942399,0.104022,0.024786
0.020000,1.628572,4.475784,0.246565,0.963311,1.944652,0.112648,0.026746
0.020000,1.648610,4.476341,0.266610,1.002251,1.947003,0.117573,0.028763
0.020000,1.669425,4.476961,0.287434,1.041240,1.949459,0.122811,0.030832
0.020000,1.691020,4.477650,0.309040,1.080280,1.951982,0.126135,0.032951
0.020000,1.713394,4.478412,0.331428,1.119373,1.954631,0.132443,0.035117
0.020000,1.736549,4.479251,0.354598,1.158520,1.957380,0.137447,0.037326
0.020000,1.760486,4.480172,0.378552,1.197724,1.960213,0.141656,0.039577
0.020000,1.785205,4.481179,0.403292,1.236988,1.963196,0.149138,0.041864
0.020000,1.810708,4.482277,0.428818,1.276313,1.966207,0.150546,0.044186
0.020000,1.836995,4.483471,0.455132,1.315700,1.969372,0.158249,0.046538
0.020000,1.864067,4.484764,0.482235,1.355152,1.972621,0.162474,0.048917
0.020000,1.891926,4.486161,0.510129,1.394672,1.975961,0.166978,0.051318
0.020000,1.920571,4.487667,0.538814,1.434260,1.979431,0.173524,0.053739
0.020000,1.950005,4.489287,0.568293,1.473919,1.982961,0.176484,0.056174
0.020000,1.980228,4.491024,0.598566,1.513652,1.986618,0.182836,0.058621
0.020000,2.011242,4.492882,0.629635,1.553459,1.990363,0.187279,0.061074
0.020000,2.043047,4.494866,0.661502,1.593343,1.994203,0.191976,0.063530
0.020000,2.075644,4.496980,0.694168,1.633306,1.998158,0.197746,0.065984
0.020000,2.109036,4.499228,0.727635,1.673350,2.002184,0.201295,0.068431
0.020000,2.143222,4.501613,0.761904,1.713476,2.006321,0.206860,0.070867
0.020000,2.178205,4.504139,0.796978,1.753687,2.010550,0.211435,0.073287
0.020000,2.213985,4.506809,0.832858,1.793985,2.014874,0.216211,0.075686
0.020000,2.250564,4.509627,0.869545,1.834371,2.019289,0.220772,0.078059
0.020000,2.287944,4.512595,0.907042,1.874847,2.023798,0.225454,0.080401
0.020000,2.326124,4.515716,0.945350,1.915415,2.028400,0.230072,0.082708
0.020000,2.365109,4.518993,0.984472,1.956076,2.033091,0.234550,0.084973
0.020000,2.404897,4.522427,1.024409,1.996834,2.037874,0.239178,0.087191
0.020000,2.445492,4.526020,1.065162,2.037689,2.042747,0.243658,0.089357
0.020000,2.486895,4.529774,1.106735,2.078643,2.047710,0.248146,0.091466
0.020000,2.529108,4.533689,1.149129,2.119698,2.052761,0.252510,0.093510
0.020000,2.572132,4.537768,1.192346,2.160856,2.057903,0.257115,0.095486
0.020000,2.615970,4.542009,1.236389,2.202119,2.063131,0.261399,0.097387
0.020000,2.660623,4.546413,1.281258,2.243488,2.068451,0.266004,0.099206
0.020000,2.706094,4.550979,1.326958,2.284965,2.073852,0.270067,0.100938
0.020000,2.752384,4.555706,1.373489,2.326552,2.079353,0.275036,0.102577
0.020000,2.799496,4.560593,1.420854,2.368251,2.084932,0.278947,0.104117
0.020000,2.847433,4.565637,1.469055,2.410063,2.090617,0.284231,0.105550
0.020000,2.896196,4.570836,1.518095,2.451990,2.096372,0.287773,0.106871
0.020000,2.945789,4.576187,1.567976,2.494035,2.102236,0.293181,0.108072
0.020000,2.996214,4.581686,1.618699,2.536199,2.108184,0.297429,0.109148
0.020000,3.047474,4.587329,1.670269,2.578483,2.114226,0.302089,0.110091
0.020000,3.099572,4.593109,1.722687,2.620891,2.120364,0.306897,0.110895
0.020000,3.152512,4.599023,1.775955,2.663423,2.126600,0.311798,0.111552
0.020000,3.206295,4.605062,1.830077,2.706081,2.132933,0.316643,0.112056
0.020000,3.260729,4.611197,1.884855,2.738903,1.641109,-24.591182,0.112397
0.020000,3.315327,4.617366,1.939801,2.747289,0.419290,-61.090978,0.112571
0.020000,3.369604,4.623502,1.994424,2.731132,-0.807864,-61.357692,0.112576
0.020000,3.423253,4.629564,2.048414,2.699509,-1.581145,-38.664041,0.112418
0.020000,3.476165,4.635530,2.101661,2.662364,-1.857256,-13.805554,0.112104
0.020000,3.528338,4.641392,2.154163,2.625093,-1.863561,-0.315215,0.111640
0.020000,3.579772,4.647143,2.205917,2.587698,-1.869760,-0.309985,0.111033
0.020000,3.630463,4.652776,2.256920,2.550180,-1.875865,-0.305249,0.110291
0.020000,3.680411,4.658286,2.307171,2.512543,-1.881872,-0.300354,0.109421
0.020000,3.729614,4.663667,2.356667,2.474787,-1.887779,-0.295317,0.108428
0.020000,3.778069,4.668915,2.405405,2.436915,-1.893596,-0.290861,0.107319
0.020000,3.825774,4.674025,2.453384,2.398929,-1.899314,-0.285913,0.106102
0.020000,3.872728,4.678995,2.500601,2.360830,-1.904944,-0.281481,0.104782
0.020000,3.918929,4.683821,2.547053,2.322621,-1.910478,-0.276727,0.103365
0.020000,3.964375,4.688501,2.592739,2.284302,-1.915924,-0.272306,0.101857
0.020000,4.009063,4.693034,2.637656,2.245877,-1.921268,-0.267165,0.100265
0.020000,4.052992,4.697416,2.681803,2.207346,-1.926540,-0.263627,0.098595
0.020000,4.096160,4.701649,2.725178,2.168712,-1.931709,-0.258436,0.096852
0.020000,4.138563,4.705730,2.767777,2.129976,-1.936791,-0.254101,0.095042
0.020000,4.180201,4.709660,2.809600,2.091140,-1.941787,-0.249788,0.093170
0.020000,4.221071,4.713440,2.850644,2.052207,-1.946680,-0.244680,0.091243
0.020000,4.261170,4.717069,2.890908,2.013177,-1.951501,-0.241059,0.089265
0.020000,4.300498,4.720549,2.930389,1.974052,-1.956220,-0.235937,0.087242
0.020000,4.339051,4.723881,2.969085,1.934835,-1.960852,-0.231578,0.085179
