dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.382135,3.761216,0.000200,0.019963,0.998175,49.908729,6.282774
0.020000,1.382166,3.761216,0.000231,0.001583,-0.919011,-95.859293,6.282863
0.020000,1.382230,3.761216,0.000295,0.003165,0.079073,49.904191,6.283041
0.020000,1.383423,3.761216,0.001488,0.059660,2.824752,137.283992,0.000122
0.020000,1.386743,3.761217,0.004808,0.166023,5.318142,124.669489,0.000477
0.020000,1.390894,3.761220,0.008959,0.207515,2.074640,-162.175096,0.000921
0.020000,1.395874,3.761226,0.013939,0.248999,2.074188,-0.022622,0.001451
0.020000,1.401683,3.761236,0.019748,0.290471,2.073604,-0.029188,0.002069
0.020000,1.408322,3.761252,0.026387,0.331932,2.073033,-0.028577,0.002773
0.020000,1.415789,3.761276,0.033854,0.373377,2.072270,-0.038139,0.003562
0.020000,1.424085,3.761309,0.042150,0.414807,2.071491,-0.038915,0.004436
0.020000,1.433210,3.761354,0.051275,0.456219,2.070581,-0.045540,0.005394
0.020000,1.443162,3.761413,0.061227,0.497610,2.069557,-0.051180,0.006433
0.020000,1.453941,3.761488,0.072006,0.538981,2.068554,-0.050155,0.007554
0.020000,1.465547,3.761583,0.083613,0.580327,2.067308,-0.062276,0.008755
0.020000,1.477980,3.761700,0.096046,0.621648,2.066043,-0.063254,0.010034
0.020000,1.491238,3.761842,0.109305,0.662941,2.064664,-0.068975,0.011390
0.020000,1.505321,3.762012,0.123389,0.704207,2.063278,-0.069297,0.012821
0.020000,1.520228,3.762214,0.138298,0.745439,2.061622,-0.082800,0.014326
0.020000,1.535959,3.762452,0.154031,0.786640,2.060019,-0.080134,0.015902
0.020000,1.552513,3.762729,0.170587,0.827805,2.058283,-0.086828,0.017548
0.020000,1.569889,3.763049,0.187965,0.868934,2.056417,-0.093276,0.019262
0.020000,1.588085,3.763416,0.206166,0.910022,2.054428,-0.099479,0.021041
0.020000,1.607102,3.763834,0.225187,0.951072,2.052472,-0.097758,0.022883
0.020000,1.626938,3.764306,0.245029,0.992077,2.050261,-0.110568,0.024786
0.020000,1.647592,3.764839,0.265689,1.033037,2.048029,-0.111617,0.026746
0.020000,1.669063,3.765435,0.287168,1.073951,2.045695,-0.116688,0.028763
0.020000,1.691349,3.766099,0.309465,1.114817,2.043266,-0.121457,0.030832
0.020000,1.714450,3.766836,0.332577,1.155631,2.040700,-0.128305,0.032951
0.020000,1.738364,3.767650,0.356505,1.196392,2.038060,-0.131981,0.035117
0.020000,1.763090,3.768547,0.381247,1.237098,2.035319,-0.137069,0.037326
