dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.532212,4.502410,0.000200,0.019981,0.999044,49.952182,0.000118
0.020000,1.532241,4.502410,0.000229,0.001454,-0.926342,-96.269305,0.000036
0.020000,1.533544,4.502410,0.001532,0.065150,3.184802,205.557210,6.283059
0.020000,1.536028,4.502410,0.004016,0.124196,2.952318,-11.624176,6.282816
0.020000,1.539338,4.502408,0.007327,0.165536,2.066977,-44.267058,6.282496
0.020000,1.543475,4.502404,0.011463,0.206825,2.064430,-0.127350,6.282102
0.020000,1.548436,4.502398,0.016424,0.248050,2.061251,-0.158958,6.281636
0.020000,1.554220,4.502387,0.022208,0.289198,2.057445,-0.190311,6.281103
0.020000,1.560825,4.502372,0.028813,0.330258,2.052995,-0.222469,6.280509
0.020000,1.568249,4.502349,0.036237,0.371217,2.047918,-0.253880,6.279859
0.020000,1.576491,4.502319,0.044479,0.412061,2.042204,-0.285666,6.279159
0.020000,1.585546,4.502279,0.053534,0.452778,2.035863,-0.317056,6.278417
0.020000,1.595413,4.502228,0.063401,0.493356,2.028886,-0.348852,6.277640
0.020000,1.606088,4.502165,0.074077,0.533782,2.021285,-0.380055,6.276837
0.020000,1.617569,4.502087,0.085558,0.574042,2.013049,-0.411813,6.276017
0.020000,1.629851,4.501994,0.097840,0.614126,2.004191,-0.442905,6.275190
0.020000,1.642931,4.501884,0.110921,0.654020,1.994698,-0.474635,6.274367
0.020000,1.656805,4.501756,0.124795,0.693712,1.984587,-0.505558,6.273559
0.020000,1.671468,4.501609,0.139459,0.733189,1.973844,-0.537126,6.272779
0.020000,1.686916,4.501442,0.154908,0.772438,1.962475,-0.568473,6.272038
0.020000,1.703144,4.501256,0.171137,0.811448,1.950484,-0.599558,6.271351
0.020000,1.720146,4.501049,0.188141,0.850205,1.937862,-0.631089,6.270732
0.020000,1.737919,4.500823,0.205915,0.888698,1.924616,-0.662316,6.270196
0.020000,1.756456,4.500578,0.224453,0.926912,1.910739,-0.693828,6.269758
0.020000,1.775751,4.500315,0.243750,0.964837,1.896231,-0.725414,6.269434
0.020000,1.795798,4.500037,0.263799,1.002459,1.881090,-0.757039,6.269242
0.020000,1.816591,4.499747,0.284594,1.039765,1.865310,-0.788980,6.269199
0.020000,1.838124,4.499447,0.306129,1.076743,1.848890,-0.821034,6.269324
0.020000,1.860389,4.499141,0.328397,1.113379,1.831821,-0.853428,6.269636
0.020000,1.883380,4.498835,0.351390,1.149661,1.814101,-0.885991,6.270155
0.020000,1.907090,4.498535,0.375101,1.185576,1.795721,-0.919001,6.270902
0.020000,1.931511,4.498246,0.399523,1.221109,1.776675,-0.952330,6.271898
0.020000,1.956634,4.497978,0.424648,1.256248,1.756956,-0.985913,6.273165
0.020000,1.982453,4.497739,0.450468,1.290980,1.736561,-1.019769,6.274726
0.020000,2.008958,4.497539,0.476974,1.325289,1.715474,-1.054361,6.276605
0.020000,2.036140,4.497390,0.504157,1.359163,1.693702,-1.088588,6.278827
0.020000,2.063992,4.497304,0.532009,1.392588,1.671238,-1.123190,6.281416
0.020000,2.092503,4.497295,0.560520,1.425549,1.648081,-1.157858,0.001213
0.020000,2.121664,4.497379,0.589680,1.458034,1.624240,-1.192070,0.004617
0.020000,2.151464,4.497573,0.619481,1.490029,1.599728,-1.225568,0.008468
0.020000,2.181892,4.497896,0.649911,1.521520,1.574564,-1.258231,0.012796
0.020000,2.212939,4.498367,0.680961,1.552496,1.548772,-1.289608,0.017629
0.020000,2.244591,4.499009,0.712620,1.582944,1.522411,-1.318030,0.022997
0.020000,2.276837,4.499845,0.744877,1.612854,1.495527,-1.344218,0.028931
0.020000,2.309665,4.500901,0.777722,1.642219,1.468213,-1.365706,0.035460
0.020000,2.343060,4.502204,0.811142,1.671030,1.440564,-1.382438,0.042617
0.020000,2.377009,4.503783,0.845128,1.699284,1.412720,-1.392189,0.050432
0.020000,2.411497,4.505669,0.879668,1.726981,1.384848,-1.393626,0.058937
0.020000,2.446509,4.507895,0.914750,1.754124,1.357158,-1.384490,0.068163
0.020000,2.482028,4.510496,0.950365,1.780722,1.329897,-1.363013,0.078140
0.020000,2.518038,4.513509,0.986500,1.806790,1.303372,-1.326258,0.088899
0.020000,2.554521,4.516971,1.023147,1.832349,1.277956,-1.270837,0.100467
0.020000,2.591459,4.520924,1.060296,1.857430,1.254040,-1.195783,0.112873
0.020000,2.628832,4.525410,1.097937,1.882073,1.232148,-1.094589,0.126140
0.020000,2.666621,4.530472,1.136064,1.906328,1.212785,-0.968151,0.140290
0.020000,2.704806,4.536155,1.174669,1.930261,1.196625,-0.807991,0.155341
0.020000,2.743365,4.542507,1.213748,1.953946,1.184241,-0.619229,0.171308
0.020000,2.782277,4.549576,1.253298,1.977475,1.176469,-0.388609,0.188199
0.020000,2.823224,4.557712,1.295044,2.087332,5.492830,215.818066,0.198317
0.020000,2.872890,4.567430,1.345652,2.530398,22.153312,833.024132,0.188606
0.020000,2.922402,4.576694,1.396024,2.518577,-0.591061,-1137.218669,0.181807
0.020000,2.971684,4.585645,1.446112,2.504423,-0.707675,-5.830705,0.178052
0.020000,3.020657,4.594430,1.495867,2.487745,-0.833926,-6.312532,0.177484
0.020000,3.069238,4.603199,1.545233,2.468288,-0.972849,-6.946171,0.180256
0.020000,3.117336,4.612106,1.594148,2.445757,-1.126508,-7.682957,0.186544
0.020000,3.164850,4.621303,1.642545,2.419846,-1.295570,-8.453067,0.196536
0.020000,3.211673,4.630948,1.690350,2.390275,-1.478555,-9.149274,0.210438
0.020000,3.257683,4.641192,1.737487,2.356852,-1.671132,-9.628850,0.228467
0.020000,3.302753,4.652186,1.783878,2.319554,-1.864910,-9.688883,0.250840
0.020000,3.346748,4.664072,1.829451,2.278630,-2.046183,-9.063666,0.277761
0.020000,3.389536,4.676986,1.874146,2.234735,-2.194771,-7.429408,0.309398
0.020000,3.430996,4.691055,1.917927,2.189070,-2.283250,-4.423921,0.345848
0.020000,3.471026,4.706398,1.960798,2.143517,-2.277637,0.280645,0.387107
0.020000,3.509565,4.723131,2.002812,2.100711,-2.140330,6.865318,0.433019
0.020000,3.546595,4.741373,2.044091,2.063988,-1.836140,15.209538,0.483242
0.020000,3.582156,4.761259,2.084834,2.037149,-1.341946,24.709656,0.537220
0.020000,3.616334,4.782949,2.125315,2.024008,-0.657029,34.245889,0.594183
0.020000,3.648704,4.806167,2.165150,1.991778,-1.611542,-47.725663,0.648801
0.020000,3.680785,4.831989,2.206332,2.059082,3.365245,248.839345,0.708286
0.020000,3.709788,4.858517,2.245638,1.965291,-4.689593,-402.741892,0.775290
0.020000,3.735491,4.885610,2.282983,1.867279,-4.900582,-10.549484,0.850049
0.020000,3.757843,4.913218,2.318505,1.776107,-4.558611,17.098569,0.932180
0.020000,3.776990,4.941498,2.352657,1.707590,-3.425830,56.639055,1.020409
0.020000,3.793233,4.970909,2.386256,1.679924,-1.383308,102.126115,1.112439
0.020000,3.806904,5.002223,2.420423,1.708388,1.423199,140.325334,1.205116
0.020000,3.818221,5.036386,2.456412,1.799425,4.551828,156.431432,1.294920
0.020000,3.827185,5.074176,2.495251,1.941958,7.126685,128.742874,1.378395
0.020000,3.833655,5.115887,2.537460,2.110472,8.425665,64.948991,1.452726
0.020000,3.837526,5.161359,2.583097,2.281829,8.567849,7.109209,1.516396
0.020000,3.838838,5.210179,2.631935,2.441905,8.003825,-28.201208,1.569149
0.020000,3.837774,5.261895,2.683662,2.586325,7.221004,-39.141039,1.611537
0.020000,3.834623,5.316110,2.737969,2.715345,6.450993,-38.500563,1.644425
0.020000,3.829734,5.372478,2.794548,2.828988,5.682128,-38.443257,1.668677
0.020000,3.823493,5.430727,2.853131,2.929116,5.006427,-33.785019,1.685052
0.020000,3.816301,5.490665,2.913498,3.018361,4.462263,-27.208220,1.694161
0.020000,3.808568,5.552171,2.975489,3.099537,4.058770,-20.174640,1.696458
0.020000,3.800708,5.615190,3.038995,3.175331,3.789708,-13.453135,1.692244
0.020000,3.793146,5.679711,3.103958,3.248164,3.641643,-7.403213,1.681685
0.020000,3.786321,5.745761,3.170360,3.320092,3.596426,-2.260880,1.664832
0.020000,3.780701,5.813383,3.238215,3.392721,3.631441,1.750759,1.641645
0.020000,3.776783,5.882613,3.307556,3.467062,3.717069,4.281397,1.612026
0.020000,3.775108,5.953460,3.378423,3.543344,3.814082,4.850664,1.575865
0.020000,3.776255,6.025866,3.450837,3.620720,3.868818,2.736806,1.533100
0.020000,3.780829,6.099664,3.524778,3.697017,3.814843,-2.698767,1.483791
0.020000,3.789431,6.174542,3.600147,3.768484,3.573343,-12.074982,1.428209
0.020000,3.792548,6.202697,3.628474,1.416354,-117.606519,-6058.993106,1.500038
0.020000,3.793705,6.234101,3.659900,1.571277,7.746147,6267.633318,1.563550
0.020000,3.793037,6.270294,3.696100,1.809987,11.935525,209.468880,1.611394
0.020000,3.790658,6.310759,3.736634,2.026704,10.835833,-54.984615,1.644807
0.020000,3.786873,6.355009,3.781046,2.220596,9.694601,-57.061573,1.665069
0.020000,3.782120,6.402683,3.828956,2.395503,8.745360,-47.462084,1.673249
0.020000,3.776924,6.453555,3.880093,2.556876,8.068634,-33.836262,1.670105
0.020000,3.771883,6.507523,3.934295,2.710106,7.661490,-20.357227,1.656095
0.020000,3.767669,6.564559,3.991487,2.859586,7.473996,-9.374694,1.631427
0.020000,3.765039,6.624661,4.051647,3.007977,7.419561,-2.721733,1.596160
0.020000,3.764840,6.687769,4.114755,3.155423,7.372334,-2.361389,1.550347
0.020000,3.767997,6.753667,4.180728,3.298657,7.161698,-10.531756,1.494221
0.020000,3.775454,6.821866,4.249334,3.430305,6.582399,-28.964967,1.428433
0.020000,3.788055,6.891517,4.320116,3.539067,5.438069,-57.216486,1.354269
0.020000,3.806376,6.961386,4.392347,3.611581,3.625725,-90.617223,1.273770
0.020000,3.830554,7.029973,4.465071,3.636170,1.229417,-119.815420,1.189636
0.020000,3.860202,7.095744,4.537215,3.607201,-1.448434,-133.892548,1.104882
0.020000,3.894475,7.157411,4.607766,3.527584,-3.980823,-126.619451,1.022363
0.020000,3.932260,7.214134,4.675922,3.407767,-5.990876,-100.502643,0.944343
0.020000,3.972400,7.265563,4.741161,3.261978,-7.289444,-64.928362,0.872285
0.020000,4.012062,7.309917,4.800662,2.975051,-14.346367,-352.846173,0.813038
0.020000,4.049494,7.347797,4.853917,2.662725,-15.616287,-63.496013,0.770216
0.020000,4.086449,7.382307,4.904479,2.528131,-6.729717,444.328518,0.732719
0.020000,4.122551,7.413739,4.952348,2.393411,-6.735966,-0.312474,0.700555
