dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.532254,4.146810,0.000200,0.019981,0.999044,49.952182,0.000118
0.020000,1.532254,4.146810,0.000999,0.059943,1.998087,49.952182,0.000036
0.020000,1.533499,4.146810,0.002598,0.099904,1.998087,-0.000000,6.283059
0.020000,1.535896,4.146810,0.004995,0.139866,1.998087,0.000000,6.282816
0.020000,1.539093,4.146808,0.008192,0.179828,1.998087,0.000000,6.282496
0.020000,1.543090,4.146805,0.012188,0.219790,1.998087,-0.000000,6.282102
0.020000,1.547885,4.146798,0.016984,0.259751,1.998087,0.000000,6.281636
0.020000,1.553480,4.146788,0.022578,0.299713,1.998087,0.000000,6.281103
0.020000,1.559873,4.146773,0.028972,0.339675,1.998087,0.000000,6.280509
0.020000,1.567067,4.146751,0.036165,0.379637,1.998087,0.000000,6.279859
0.020000,1.575059,4.146722,0.044158,0.419598,1.998087,0.000000,6.279159
0.020000,1.583850,4.146683,0.052949,0.459560,1.998087,0.000000,6.278417
0.020000,1.593441,4.146634,0.062540,0.499522,1.998087,0.000000,6.277640
0.020000,1.603831,4.146572,0.072930,0.539484,1.998087,-0.000000,6.276837
0.020000,1.615020,4.146496,0.084119,0.579445,1.998087,0.000000,6.276017
0.020000,1.627008,4.146405,0.096108,0.619407,1.998087,0.000000,6.275190
0.020000,1.639795,4.146298,0.108896,0.659369,1.998087,0.000000,6.274367
0.020000,1.653382,4.146172,0.122483,0.699331,1.998087,-0.000000,6.273559
0.020000,1.667767,4.146028,0.136869,0.739292,1.998087,0.000000,6.272779
0.020000,1.682952,4.145864,0.152054,0.779254,1.998087,-0.000000,6.272038
0.020000,1.698936,4.145681,0.168039,0.819216,1.998087,0.000000,6.271351
0.020000,1.715718,4.145477,0.184823,0.859178,1.998087,-0.000000,6.270732
0.020000,1.733300,4.145253,0.202406,0.899139,1.998087,0.000000,6.270196
0.020000,1.751681,4.145010,0.220789,0.939101,1.998087,-0.000000,6.269758
0.020000,1.770861,4.144749,0.239970,0.979063,1.998087,0.000000,6.269434
0.020000,1.790840,4.144472,0.259951,1.019025,1.998087,0.000000,6.269242
0.020000,1.811618,4.144182,0.280731,1.058986,1.998087,-0.000000,6.269199
0.020000,1.833195,4.143881,0.302311,1.098948,1.998087,0.000000,6.269324
0.020000,1.855571,4.143574,0.324689,1.138910,1.998087,0.000000,6.269636
0.020000,1.878747,4.143265,0.347867,1.178871,1.998087,0.000000,6.270155
0.020000,1.902722,4.142961,0.371844,1.218833,1.998087,0.000000,6.270902
0.020000,1.927497,4.142669,0.396620,1.258795,1.998087,-0.000000,6.271898
0.020000,1.953071,4.142396,0.422196,1.298757,1.998087,0.000000,6.273165
0.020000,1.979445,4.142152,0.448571,1.338718,1.998087,0.000000,6.274726
0.020000,2.006618,4.141947,0.475745,1.378680,1.998087,-0.000000,6.276605
0.020000,2.034591,4.141793,0.503718,1.418642,1.998087,0.000000,6.278827
0.020000,2.063363,4.141704,0.532490,1.458604,1.998087,-0.000000,6.281416
0.020000,2.092935,4.141695,0.562062,1.498565,1.998087,0.000000,0.001213
0.020000,2.123305,4.141783,0.592433,1.538527,1.998087,-0.000000,0.004617
0.020000,2.154475,4.141986,0.623603,1.578489,1.998087,0.000000,0.008468
0.020000,2.186442,4.142325,0.655572,1.618451,1.998087,0.000000,0.012796
0.020000,2.219207,4.142822,0.688341,1.658412,1.998087,0.000000,0.017629
0.020000,2.252768,4.143503,0.721909,1.698374,1.998087,-0.000000,0.022997
0.020000,2.287124,4.144394,0.756276,1.738336,1.998087,0.000000,0.028931
