dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.842487,7.891789,0.000199,0.019885,0.994257,49.712835,6.282885
0.020000,0.842438,7.891789,0.000247,0.002428,-0.872852,-93.355411,6.283021
0.020000,0.842975,7.891789,0.000784,0.026833,1.220256,104.655375,0.000108
0.020000,0.845217,7.891790,0.003025,0.112069,4.261782,152.076314,0.000516
0.020000,0.848206,7.891792,0.006015,0.149475,1.870294,-119.574435,0.001056
0.020000,0.851944,7.891797,0.009753,0.186923,1.872409,0.105796,0.001727
0.020000,0.856433,7.891807,0.014242,0.224424,1.875064,0.132726,0.002525
0.020000,0.861673,7.891823,0.019482,0.261989,1.878248,0.159202,0.003448
0.020000,0.867665,7.891846,0.025474,0.299628,1.881962,0.185721,0.004490
0.020000,0.874412,7.891881,0.032221,0.337352,1.886198,0.211790,0.005648
0.020000,0.881915,7.891928,0.039725,0.375172,1.890975,0.238844,0.006915
0.020000,0.890177,7.891991,0.047987,0.413097,1.896280,0.265248,0.008286
0.020000,0.899200,7.892072,0.057009,0.451139,1.902091,0.290565,0.009754
0.020000,0.908985,7.892175,0.066796,0.489308,1.908456,0.318243,0.011312
0.020000,0.919537,7.892303,0.077348,0.527615,1.915338,0.344074,0.012953
0.020000,0.930857,7.892460,0.088669,0.566070,1.922740,0.370108,0.014667
0.020000,0.942949,7.892648,0.100763,0.604683,1.930654,0.395723,0.016447
0.020000,0.955817,7.892871,0.113632,0.643465,1.939118,0.423201,0.018282
0.020000,0.969463,7.893134,0.127281,0.682427,1.948078,0.447969,0.020163
0.020000,0.983891,7.893439,0.141712,0.721578,1.957552,0.473719,0.022078
0.020000,0.999106,7.893789,0.156931,0.760929,1.967554,0.500079,0.024017
0.020000,1.015110,7.894190,0.172941,0.800490,1.978057,0.525186,0.025968
0.020000,1.031910,7.894642,0.189746,0.840272,1.989069,0.550587,0.027918
0.020000,1.049508,7.895151,0.207352,0.880283,2.000586,0.575863,0.029855
0.020000,1.067910,7.895718,0.225763,0.920536,2.012619,0.601654,0.031764
0.020000,1.087120,7.896347,0.244983,0.961039,2.025139,0.625973,0.033633
0.020000,1.107145,7.897039,0.265019,1.001802,2.038175,0.651804,0.035445
0.020000,1.127987,7.897797,0.285876,1.042836,2.051690,0.675750,0.037186
0.020000,1.149655,7.898621,0.307559,1.084150,2.065716,0.701315,0.038841
0.020000,1.172152,7.899513,0.330074,1.125755,2.080255,0.726932,0.040392
0.020000,1.195486,7.900473,0.353427,1.167661,2.095273,0.750908,0.041823
0.020000,1.219661,7.901501,0.377625,1.209877,2.110814,0.777046,0.043117
0.020000,1.244686,7.902595,0.402673,1.252414,2.126845,0.801561,0.044255
0.020000,1.270565,7.903754,0.428579,1.295282,2.143402,0.827828,0.045219
0.020000,1.297307,7.904975,0.455349,1.338492,2.160482,0.854028,0.045989
0.020000,1.324919,7.906254,0.482990,1.382053,2.178081,0.879948,0.046547
0.020000,1.353407,7.907586,0.511509,1.425978,2.196224,0.907147,0.046870
0.020000,1.382780,7.908966,0.540915,1.470276,2.214913,0.934450,0.046939
0.020000,1.413046,7.910385,0.571214,1.514959,2.234166,0.962649,0.046731
0.020000,1.444213,7.911835,0.602415,1.560039,2.253993,0.991317,0.046225
0.020000,1.476290,7.913307,0.634525,1.605527,2.274407,1.020721,0.045398
0.020000,1.509286,7.914787,0.667554,1.651436,2.295428,1.051037,0.044225
0.020000,1.543209,7.916263,0.701510,1.697777,2.317061,1.081661,0.042682
0.020000,1.578070,7.917719,0.736401,1.744563,2.339321,1.113006,0.040745
0.020000,1.613878,7.919138,0.772237,1.791808,2.362238,1.145867,0.038387
0.020000,1.650643,7.920499,0.809028,1.839524,2.385784,1.177264,0.035583
0.020000,1.688376,7.921782,0.846782,1.887724,2.409981,1.209843,0.032304
0.020000,1.727087,7.922961,0.885510,1.936420,2.434832,1.242588,0.028524
0.020000,1.766785,7.924010,0.925223,1.985626,2.460313,1.274019,0.024213
0.020000,1.807483,7.924897,0.965930,2.035354,2.486379,1.303319,0.019341
0.020000,1.849189,7.925592,1.007642,2.085614,2.513021,1.332090,0.013880
0.020000,1.891915,7.926057,1.050371,2.136418,2.540180,1.357974,0.007798
0.020000,1.935670,7.926253,1.094126,2.187773,2.567726,1.377302,0.001064
0.020000,1.980464,7.926136,1.138920,2.239685,2.595612,1.394259,6.276833
0.020000,2.026304,7.925661,1.184763,2.292158,2.623635,1.401171,6.268702
0.020000,2.073200,7.924775,1.231667,2.345191,2.651651,1.400820,6.259825
0.020000,2.121156,7.923425,1.279642,2.398779,2.679420,1.388435,6.250171
0.020000,2.170179,7.921552,1.328701,2.452912,2.706652,1.361598,6.239709
0.020000,2.220270,7.919092,1.378852,2.507572,2.733006,1.317711,6.228409
0.020000,2.271430,7.915977,1.430107,2.562734,2.758106,1.254969,6.216243
0.020000,2.323656,7.912136,1.482474,2.618363,2.781448,1.167140,6.203185
0.020000,2.376942,7.907492,1.535962,2.674413,2.802500,1.052593,6.189212
0.020000,2.431278,7.901964,1.590579,2.730825,2.820608,0.905400,6.174302
0.020000,2.486649,7.895470,1.646329,2.787529,2.835195,0.729352,6.158440
0.020000,2.543035,7.887920,1.703218,2.844437,2.845380,0.509225,6.141614
0.020000,2.600409,7.879224,1.761247,2.901447,2.850482,0.255127,6.123817
0.020000,2.658737,7.869290,1.820416,2.958437,2.849501,-0.049076,6.105052
0.020000,2.717981,7.858022,1.880721,3.015275,2.841923,-0.378869,6.085327
0.020000,2.778091,7.845326,1.942157,3.071810,2.826758,-0.758262,6.064658
0.020000,2.839011,7.831109,2.004715,3.127871,2.803034,-1.186205,6.043073
0.020000,2.904428,7.814111,2.072304,3.379449,12.578919,488.794239,6.006404
0.020000,2.981694,7.789181,2.153492,4.059405,33.997766,1070.942336,5.936858
0.020000,3.054851,7.760205,2.232179,3.934339,-6.253259,-2012.551242,5.876595
0.020000,3.123708,7.728434,2.308012,3.791659,-7.134015,-44.037800,5.826604
0.020000,3.188191,7.695116,2.380593,3.629076,-8.129175,-49.758010,5.787445
0.020000,3.248126,7.661546,2.449290,3.434828,-9.712380,-79.160208,5.759353
0.020000,3.303542,7.628835,2.513640,3.217484,-10.867176,-57.739823,5.742082
0.020000,3.354796,7.597734,2.573592,2.997610,-10.993742,-6.328298,5.735077
0.020000,3.402346,7.568741,2.629284,2.784602,-10.650377,17.168268,5.737816
0.020000,3.446564,7.542226,2.680842,2.577902,-10.334997,15.768988,5.749942
0.020000,3.487699,7.518482,2.728338,2.374796,-10.155328,8.983441,5.771254
0.020000,3.525897,7.497727,2.771811,2.173671,-10.056208,4.956004,5.801638
0.020000,3.561231,7.480091,2.811302,1.974537,-9.956742,4.973300,5.840983
0.020000,3.593739,7.465601,2.846893,1.779536,-9.750023,10.335934,5.889056
0.020000,3.623482,7.454162,2.878760,1.593337,-9.309951,22.003632,5.945363
0.020000,3.650611,7.445557,2.907221,1.423072,-8.513231,39.835995,6.009007
0.020000,3.675426,7.439474,2.932770,1.277462,-7.280503,61.636402,6.078603
0.020000,3.698395,7.435567,2.956069,1.164952,-5.625528,82.748759,6.152290
0.020000,3.720125,7.433530,2.977894,1.091250,-3.685088,97.021987,6.227885
0.020000,3.741268,7.433157,2.999041,1.057336,-1.695697,99.469531,0.019966
0.020000,3.762414,7.434359,3.020221,1.058983,0.082332,88.901486,0.092905
0.020000,3.783996,7.437137,3.041981,1.088035,1.452630,68.514862,0.161972
0.020000,3.808390,7.441850,3.066826,1.242230,7.709722,312.854618,0.218274
0.020000,3.834112,7.448271,3.093337,1.325560,4.166524,-177.159911,0.269514
0.020000,3.860908,7.456346,3.121323,1.399311,3.687520,-23.950177,0.314370
0.020000,3.888808,7.466034,3.150858,1.476741,3.871539,9.200932,0.352636
0.020000,3.917784,7.477245,3.181927,1.553432,3.834531,-1.850384,0.384354
0.020000,3.947775,7.489842,3.214456,1.626465,3.651654,-9.143885,0.409728
0.020000,3.978715,7.503657,3.248340,1.694193,3.386392,-13.263072,0.429058
0.020000,4.010542,7.518499,3.283458,1.755901,3.085390,-15.050091,0.442680
0.020000,4.043208,7.534169,3.319688,1.811481,2.778994,-15.319813,0.450941
0.020000,4.076677,7.550459,3.356911,1.861167,2.484302,-14.734599,0.454170
0.020000,4.110927,7.567165,3.395018,1.905339,2.208613,-13.784477,0.452678
0.020000,4.145942,7.584082,3.433906,1.944389,1.952503,-12.805493,0.446753
0.020000,4.181711,7.601010,3.473478,1.978632,1.712127,-12.018775,0.436665
0.020000,4.218220,7.617752,3.513643,2.008251,1.480966,-11.558082,0.422673
0.020000,4.255448,7.634116,3.554309,2.033272,1.251074,-11.494576,0.405038
0.020000,4.293360,7.649912,3.595380,2.053556,1.014175,-11.844972,0.384023
0.020000,4.330657,7.664498,3.635427,2.002356,-2.559977,-178.707579,0.361756
0.020000,4.367175,7.677905,3.674328,1.945071,-2.864257,-15.214001,0.342370
0.020000,4.402008,7.690000,3.711201,1.843653,-5.070911,-110.332689,0.326452
0.020000,4.435161,7.700983,3.746126,1.746255,-4.869881,10.051510,0.313776
0.020000,4.466656,7.711029,3.779185,1.652911,-4.667222,10.132949,0.304113
0.020000,4.496526,7.720284,3.810456,1.563542,-4.468425,9.939831,0.297240
0.020000,4.524810,7.728876,3.840016,1.478011,-4.276578,9.592339,0.292941
0.020000,4.551552,7.736909,3.867939,1.396150,-4.093057,9.176059,0.291009
0.020000,4.576800,7.744469,3.894294,1.317787,-3.918119,8.746889,0.291247
0.020000,4.600602,7.751629,3.919150,1.242761,-3.751302,8.340850,0.293469
0.020000,4.623007,7.758445,3.942568,1.170926,-3.591769,7.976641,0.297494
0.020000,4.644064,7.764962,3.964611,1.102155,-3.438530,7.661968,0.303150
0.020000,4.663825,7.771217,3.985338,1.036344,-3.290590,7.396993,0.310270
0.020000,4.682339,7.777236,4.004806,0.973402,-3.147087,7.175145,0.318694
0.020000,4.699658,7.783040,4.023071,0.913255,-3.007316,6.988582,0.328264
0.020000,4.715832,7.788642,4.040188,0.855839,-2.870813,6.825111,0.338826
0.020000,4.730913,7.794051,4.056210,0.801092,-2.737337,6.673845,0.350230
0.020000,4.744952,7.799274,4.071189,0.748955,-2.606875,6.523075,0.362330
0.020000,4.758000,7.804313,4.085176,0.699363,-2.479616,6.362949,0.374983
0.020000,4.770107,7.809169,4.098221,0.652244,-2.355925,6.184566,0.388048
0.020000,4.781324,7.813840,4.110372,0.607518,-2.236293,5.981582,0.401393
0.020000,4.791698,7.818325,4.121673,0.565093,-2.121282,5.750570,0.414887
0.020000,4.801276,7.822620,4.132171,0.524863,-2.011498,5.489172,0.428406
0.020000,4.810104,7.826723,4.141905,0.486713,-1.907494,5.200195,0.441835
0.020000,4.818223,7.830629,4.150915,0.450516,-1.809833,4.883067,0.455062
0.020000,4.825675,7.834335,4.159238,0.416138,-1.718882,4.547570,0.467987
0.020000,4.832498,7.837836,4.166907,0.383439,-1.634988,4.194696,0.480513
0.020000,4.838726,7.841130,4.173952,0.352273,-1.558304,3.834193,0.492556
0.020000,4.844392,7.844213,4.180402,0.322494,-1.488922,3.469085,0.504037
0.020000,4.849524,7.847080,4.186281,0.293961,-1.426645,3.113848,0.514885
0.020000,4.854151,7.849728,4.191612,0.266533,-1.371403,2.762123,0.525040
0.020000,4.858294,7.852154,4.196414,0.240077,-1.322835,2.428370,0.534446
0.020000,4.861976,7.854355,4.200703,0.214465,-1.280570,2.113270,0.543055
0.020000,4.865214,7.856327,4.204495,0.189581,-1.244184,1.819288,0.550828
0.020000,4.868026,7.858067,4.207801,0.165315,-1.213310,1.543705,0.557728
