dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.842273,7.180589,0.000199,0.019885,0.994257,49.712835,6.282885
0.020000,0.842322,7.180589,0.000247,0.002428,-0.872852,-93.355411,6.283021
0.020000,0.843052,7.180589,0.000978,0.036524,1.704818,128.883458,0.000108
0.020000,0.845583,7.180590,0.003509,0.126553,4.501412,139.829740,0.000516
0.020000,0.848957,7.180593,0.006883,0.168687,2.106740,-119.733638,0.001056
0.020000,0.853173,7.180598,0.011098,0.210780,2.104611,-0.106446,0.001727
0.020000,0.858229,7.180609,0.016155,0.252819,2.101961,-0.132499,0.002525
0.020000,0.864125,7.180627,0.022051,0.294795,2.098780,-0.159048,0.003448
0.020000,0.870859,7.180654,0.028784,0.336696,2.095069,-0.185525,0.004490
0.020000,0.878429,7.180692,0.036355,0.378512,2.090820,-0.212470,0.005648
0.020000,0.886833,7.180745,0.044759,0.420233,2.086055,-0.238259,0.006915
0.020000,0.896070,7.180815,0.053996,0.461849,2.080760,-0.264713,0.008286
0.020000,0.906137,7.180906,0.064063,0.503347,2.074915,-0.292291,0.009754
0.020000,0.917030,7.181021,0.074958,0.544718,2.068572,-0.317125,0.011312
0.020000,0.928749,7.181163,0.086677,0.585952,2.061694,-0.343892,0.012953
0.020000,0.941288,7.181336,0.099217,0.627038,2.054289,-0.370277,0.014667
0.020000,0.954646,7.181544,0.112577,0.667965,2.046350,-0.396942,0.016447
0.020000,0.968818,7.181790,0.126751,0.708723,2.037923,-0.421350,0.018282
0.020000,0.983801,7.182078,0.141737,0.749303,2.028952,-0.448531,0.020163
0.020000,0.999592,7.182412,0.157531,0.789692,2.019465,-0.474381,0.022078
0.020000,1.016185,7.182794,0.174129,0.829881,2.009478,-0.499313,0.024017
0.020000,1.033577,7.183229,0.191526,0.869861,1.998971,-0.525359,0.025968
0.020000,1.051763,7.183720,0.209718,0.909620,1.987955,-0.550820,0.027918
0.020000,1.070738,7.184268,0.228701,0.949149,1.976431,-0.576167,0.029855
0.020000,1.090497,7.184877,0.248470,0.988437,1.964417,-0.600733,0.031764
0.020000,1.111035,7.185549,0.269020,1.027475,1.951883,-0.626688,0.033633
0.020000,1.132348,7.186286,0.290345,1.066252,1.938866,-0.650864,0.035445
0.020000,1.154428,7.187088,0.312440,1.104758,1.925327,-0.676960,0.037186
0.020000,1.177271,7.187957,0.335299,1.142984,1.911301,-0.701301,0.038841
0.020000,1.200871,7.188893,0.358918,1.180920,1.896787,-0.725667,0.040392
0.020000,1.225222,7.189895,0.383289,1.218555,1.881749,-0.751920,0.041823
0.020000,1.250317,7.190962,0.408407,1.255880,1.866225,-0.776180,0.043117
0.020000,1.276150,7.192092,0.434264,1.292883,1.850174,-0.802538,0.044255
0.020000,1.302714,7.193281,0.460855,1.329556,1.833622,-0.827611,0.045219
0.020000,1.330004,7.194527,0.488173,1.365887,1.816553,-0.853446,0.045989
0.020000,1.358011,7.195824,0.516210,1.401866,1.798945,-0.880393,0.046547
0.020000,1.386729,7.197167,0.544960,1.437482,1.780805,-0.907007,0.046870
0.020000,1.416151,7.198549,0.574414,1.472724,1.762113,-0.934628,0.046939
0.020000,1.446270,7.199961,0.604566,1.507581,1.742861,-0.962583,0.046731
0.020000,1.477077,7.201395,0.635407,1.542042,1.723033,-0.991404,0.046225
0.020000,1.508566,7.202839,0.666929,1.576094,1.702615,-1.020893,0.045398
0.020000,1.540728,7.204283,0.699123,1.609726,1.681597,-1.050905,0.044225
0.020000,1.573556,7.205711,0.731982,1.642925,1.659957,-1.081991,0.042682
0.020000,1.607040,7.207109,0.765495,1.675679,1.637685,-1.113627,0.040745
0.020000,1.641173,7.208462,0.799655,1.707975,1.614788,-1.144844,0.038387
0.020000,1.675945,7.209750,0.834451,1.739799,1.591225,-1.178160,0.035583
0.020000,1.711347,7.210953,0.869874,1.771139,1.567014,-1.210531,0.032304
0.020000,1.747370,7.212050,0.905913,1.801983,1.542168,-1.242280,0.028524
0.020000,1.784004,7.213018,0.942560,1.832317,1.516690,-1.273900,0.024213
