dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.981621,7.416211,0.000198,0.019794,0.989693,49.484634,3.709707
0.020000,4.981621,7.416211,0.000990,0.059382,1.979385,49.484634,3.708465
0.020000,4.980361,7.415411,0.002573,0.098969,1.979385,0.000000,3.705979
0.020000,4.978352,7.414145,0.004948,0.138557,1.979385,-0.000000,3.702240
0.020000,4.975666,7.412467,0.008115,0.178145,1.979385,-0.000000,3.697234
0.020000,4.972296,7.410390,0.012074,0.217732,1.979385,0.000000,3.690947
0.020000,4.968235,7.407925,0.016825,0.257320,1.979385,-0.000000,3.683358
0.020000,4.963474,7.405088,0.022367,0.296908,1.979385,0.000000,3.674444
0.020000,4.958002,7.401898,0.028701,0.336496,1.979385,0.000000,3.664182
0.020000,4.951806,7.398378,0.035827,0.376083,1.979385,-0.000000,3.652546
0.020000,4.944875,7.394551,0.043744,0.415671,1.979385,0.000000,3.639510
0.020000,4.937193,7.390447,0.052454,0.455259,1.979385,-0.000000,3.625049
0.020000,4.928747,7.386097,0.061955,0.494846,1.979385,0.000000,3.609141
0.020000,4.919519,7.381538,0.072248,0.534434,1.979385,-0.000000,3.591771
0.020000,4.909494,7.376809,0.083332,0.574022,1.979385,0.000000,3.572930
0.020000,4.898656,7.371954,0.095208,0.613609,1.979385,0.000000,3.552618
0.020000,4.886988,7.367019,0.107877,0.653197,1.979385,0.000000,3.530852
0.020000,4.874478,7.362056,0.121336,0.692785,1.979385,0.000000,3.507663
0.020000,4.861109,7.357118,0.135588,0.732373,1.979385,0.000000,3.483104
0.020000,4.846871,7.352264,0.150631,0.771960,1.979385,-0.000000,3.457251
0.020000,4.831753,7.347553,0.166466,0.811548,1.979385,0.000000,3.430208
0.020000,4.815750,7.343045,0.183093,0.851136,1.979385,0.000000,3.402106
0.020000,4.798856,7.338804,0.200512,0.890723,1.979385,-0.000000,3.373108
0.020000,4.781072,7.334891,0.218722,0.930311,1.979385,0.000000,3.343405
0.020000,4.762400,7.331365,0.237724,0.969899,1.979385,-0.000000,3.313220
0.020000,4.742849,7.328283,0.257518,1.009487,1.979385,0.000000,3.282797
0.020000,4.722427,7.325698,0.278104,1.049074,1.979385,-0.000000,3.252402
0.020000,4.701148,7.323657,0.299481,1.088662,1.979385,0.000000,3.222314
0.020000,4.679028,7.322199,0.321650,1.128250,1.979385,-0.000000,3.192820
0.020000,4.656083,7.321355,0.344611,1.167837,1.979385,0.000000,3.164206
0.020000,4.632332,7.321149,0.368364,1.207425,1.979385,0.000000,3.136753
0.020000,4.607792,7.321592,0.392908,1.247013,1.979385,-0.000000,3.110729
0.020000,4.582481,7.322687,0.418244,1.286600,1.979385,0.000000,3.086388
0.020000,4.556411,7.324427,0.444372,1.326188,1.979385,0.000000,3.063969
0.020000,4.529596,7.326793,0.471292,1.365776,1.979385,0.000000,3.043693
0.020000,4.502044,7.329755,0.499003,1.405364,1.979385,-0.000000,3.025770
0.020000,4.473759,7.333274,0.527506,1.444951,1.979385,0.000000,3.010399
0.020000,4.444742,7.337297,0.556801,1.484539,1.979385,-0.000000,2.997774
0.020000,4.414989,7.341761,0.586888,1.524127,1.979385,0.000000,2.988093
0.020000,4.384490,7.346591,0.617766,1.563714,1.979385,0.000000,2.981562
0.020000,4.353234,7.351696,0.649436,1.603302,1.979385,0.000000,2.978402
0.020000,4.321204,7.356973,0.681898,1.642890,1.979385,-0.000000,2.978861
0.020000,4.288380,7.362300,0.715152,1.682478,1.979385,0.000000,2.983217
0.020000,4.254740,7.367537,0.749197,1.722065,1.979385,-0.000000,2.991783
0.020000,4.220261,7.372523,0.784035,1.761653,1.979385,0.000000,3.004919
0.020000,4.184925,7.377071,0.819663,1.801241,1.979385,0.000000,3.023024
0.020000,4.148714,7.380970,0.856084,1.840828,1.979385,-0.000000,3.046533
0.020000,4.111624,7.383974,0.893297,1.880416,1.979385,0.000000,3.075905
0.020000,4.073667,7.385810,0.931301,1.920004,1.979385,0.000000,3.111583
0.020000,4.035958,7.386347,0.970097,1.959592,1.979385,-0.000000,3.132019
0.020000,3.996374,7.386857,1.009684,1.999179,1.979385,0.000000,3.125471
0.020000,3.956002,7.387636,1.050064,2.038767,1.979385,0.000000,3.119163
0.020000,3.914844,7.388685,1.091235,2.078355,1.979385,-0.000000,3.113119
0.020000,3.872902,7.390002,1.133198,2.117942,1.979385,0.000000,3.107361
