dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.212399,5.642202,0.000198,0.019768,0.988424,49.421222,0.000273
0.020000,0.212443,5.642202,0.000242,0.002230,-0.876926,-93.267522,0.000148
0.020000,0.213182,5.642201,0.000982,0.036964,1.736725,130.682530,6.283082
0.020000,0.215688,5.642201,0.003487,0.125268,4.415169,133.922209,6.282708
0.020000,0.219027,5.642198,0.006827,0.166985,2.085872,-116.464840,6.282211
0.020000,0.223201,5.642193,0.011000,0.208670,2.084221,-0.082541,6.281593
0.020000,0.228207,5.642183,0.016006,0.250313,2.082157,-0.103192,6.280857
0.020000,0.234045,5.642167,0.021844,0.291906,2.079680,-0.123883,6.280005
0.020000,0.240714,5.642143,0.028513,0.333442,2.076789,-0.144529,6.279041
0.020000,0.248212,5.642108,0.036011,0.374912,2.073482,-0.165354,6.277968
0.020000,0.256538,5.642059,0.044338,0.416307,2.069764,-0.185909,6.276790
0.020000,0.265690,5.641995,0.053490,0.457620,2.065628,-0.206784,6.275512
0.020000,0.275667,5.641911,0.063467,0.498841,2.061079,-0.227446,6.274140
0.020000,0.286466,5.641806,0.074266,0.539964,2.056114,-0.248267,6.272679
0.020000,0.298084,5.641675,0.085886,0.580978,2.050736,-0.268912,6.271134
0.020000,0.310521,5.641515,0.098323,0.621877,2.044941,-0.289740,6.269513
0.020000,0.323773,5.641322,0.111576,0.662652,2.038734,-0.310326,6.267823
0.020000,0.337837,5.641094,0.125642,0.703294,2.032109,-0.331248,6.266070
0.020000,0.352710,5.640826,0.140518,0.743795,2.025074,-0.351777,6.264263
0.020000,0.368390,5.640514,0.156201,0.784148,2.017630,-0.372206,6.262410
0.020000,0.384873,5.640156,0.172688,0.824343,2.009769,-0.393029,6.260520
0.020000,0.402156,5.639748,0.189975,0.864373,2.001502,-0.413365,6.258602
0.020000,0.420234,5.639286,0.208060,0.904230,1.992823,-0.433947,6.256666
0.020000,0.439105,5.638767,0.226938,0.943905,1.983741,-0.454108,6.254723
0.020000,0.458765,5.638188,0.246606,0.983390,1.974249,-0.474595,6.252782
0.020000,0.479208,5.637546,0.267059,1.022677,1.964360,-0.494458,6.250856
0.020000,0.500431,5.636839,0.288295,1.061758,1.954055,-0.515246,6.248955
0.020000,0.522430,5.636065,0.310307,1.100625,1.943366,-0.534449,6.247092
0.020000,0.545200,5.635222,0.333092,1.139271,1.932264,-0.555101,6.245279
0.020000,0.568736,5.634309,0.356646,1.177686,1.920769,-0.574729,6.243529
0.020000,0.593033,5.633324,0.380963,1.215863,1.908872,-0.594861,6.241856
0.020000,0.618087,5.632268,0.406039,1.253795,1.896581,-0.614546,6.240272
