dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.092518,5.166624,0.000199,0.019856,0.992781,49.639070,0.000000
0.020000,0.092518,5.166624,0.000993,0.059567,1.985563,49.639070,0.000000
0.020000,0.092518,5.166624,0.002581,0.099278,1.985563,0.000000,0.000000
0.020000,0.094812,5.166624,0.004964,0.138989,1.985563,0.000000,0.000000
0.020000,0.097989,5.166624,0.008141,0.178701,1.985563,-0.000000,0.000000
0.020000,0.101960,5.166624,0.012112,0.218412,1.985563,0.000000,0.000000
0.020000,0.106725,5.166624,0.016877,0.258123,1.985563,-0.000000,0.000000
0.020000,0.112285,5.166624,0.022437,0.297834,1.985563,0.000000,0.000000
0.020000,0.118639,5.166624,0.028791,0.337546,1.985563,0.000000,0.000000
0.020000,0.125787,5.166624,0.035939,0.377257,1.985563,0.000000,0.000000
0.020000,0.133729,5.166624,0.043881,0.416968,1.985563,-0.000000,0.000000
0.020000,0.142465,5.166624,0.052617,0.456679,1.985563,0.000000,0.000000
0.020000,0.151996,5.166624,0.062148,0.496391,1.985563,0.000000,0.000000
0.020000,0.162321,5.166624,0.072473,0.536102,1.985563,-0.000000,0.000000
0.020000,0.173440,5.166624,0.083592,0.575813,1.985563,0.000000,0.000000
0.020000,0.185354,5.166624,0.095506,0.615524,1.985563,0.000000,0.000000
0.020000,0.198061,5.166624,0.108213,0.655236,1.985563,0.000000,0.000000
0.020000,0.211563,5.166624,0.121715,0.694947,1.985563,0.000000,0.000000
0.020000,0.225859,5.166624,0.136011,0.734658,1.985563,0.000000,0.000000
0.020000,0.240949,5.166624,0.151101,0.774369,1.985563,-0.000000,0.000000
0.020000,0.256834,5.166624,0.166986,0.814081,1.985563,0.000000,0.000000
0.020000,0.273513,5.166624,0.183665,0.853792,1.985563,-0.000000,0.000000
0.020000,0.290986,5.166624,0.201138,0.893503,1.985563,0.000000,0.000000
0.020000,0.309253,5.166624,0.219405,0.933215,1.985563,0.000000,0.000000
0.020000,0.328314,5.166624,0.238466,0.972926,1.985563,0.000000,0.000000
0.020000,0.348170,5.166624,0.258322,1.012637,1.985563,0.000000,0.000000
0.020000,0.368820,5.166624,0.278972,1.052348,1.985563,0.000000,0.000000
0.020000,0.390264,5.166624,0.300416,1.092060,1.985563,0.000000,0.000000
0.020000,0.412502,5.166624,0.322654,1.131771,1.985563,0.000000,0.000000
0.020000,0.435535,5.166624,0.345686,1.171482,1.985563,0.000000,0.000000
0.020000,0.459361,5.166624,0.369513,1.211193,1.985563,0.000000,0.000000
0.020000,0.483982,5.166624,0.394134,1.250905,1.985563,0.000000,0.000000
0.020000,0.509397,5.166624,0.419549,1.290616,1.985563,-0.000000,0.000000
0.020000,0.535607,5.166624,0.445759,1.330327,1.985563,0.000000,0.000000
0.020000,0.562611,5.166624,0.472762,1.370038,1.985563,-0.000000,0.000000
0.020000,0.590408,5.166624,0.500560,1.409750,1.985563,-0.000000,0.000000
0.020000,0.619001,5.166624,0.529152,1.449461,1.985563,0.000000,0.000000
0.020000,0.648387,5.166624,0.558539,1.489172,1.985563,0.000000,0.000000
0.020000,0.678567,5.166624,0.588719,1.528883,1.985563,-0.000000,0.000000
0.020000,0.709542,5.166624,0.619694,1.568595,1.985563,0.000000,0.000000
0.020000,0.741311,5.166624,0.651463,1.608306,1.985563,0.000000,0.000000
0.020000,0.773874,5.166624,0.684026,1.648017,1.985563,0.000000,0.000000
0.020000,0.807232,5.166624,0.717384,1.687728,1.985563,0.000000,0.000000
0.020000,0.841384,5.166624,0.751536,1.727440,1.985563,0.000000,0.000000
0.020000,0.876329,5.166624,0.786481,1.767151,1.985563,0.000000,0.000000
0.020000,0.912070,5.166624,0.822222,1.806862,1.985563,0.000000,0.000000
0.020000,0.948604,5.166624,0.858756,1.846573,1.985563,0.000000,0.000000
0.020000,0.985933,5.166624,0.896084,1.886285,1.985563,0.000000,0.000000
0.020000,1.024055,5.166624,0.934207,1.925996,1.985563,-0.000000,0.000000
0.020000,1.062972,5.166624,0.973124,1.965707,1.985563,0.000000,0.000000
0.020000,1.102684,5.166624,1.012836,2.005418,1.985563,-0.000000,0.000000
0.020000,1.143189,5.166624,1.053341,2.045130,1.985563,-0.000000,0.000000
0.020000,1.184489,5.166624,1.094641,2.084841,1.985563,0.000000,0.000000
0.020000,1.226583,5.166624,1.136735,2.124552,1.985563,0.000000,0.000000
0.020000,1.269471,5.166624,1.179623,2.164263,1.985563,0.000000,0.000000
0.020000,1.313153,5.166624,1.223305,2.203975,1.985563,-0.000000,0.000000
0.020000,1.357630,5.166624,1.267782,2.243686,1.985563,0.000000,0.000000
0.020000,1.402901,5.166624,1.313053,2.283397,1.985563,-0.000000,0.000000
0.020000,1.448966,5.166624,1.359118,2.323108,1.985563,0.000000,0.000000
0.020000,1.495825,5.166624,1.405977,2.362820,1.985563,0.000000,0.000000
0.020000,1.543479,5.166624,1.453631,2.402531,1.985563,-0.000000,0.000000
0.020000,1.591926,5.166624,1.502078,2.442242,1.985563,0.000000,0.000000
0.020000,1.641168,5.166624,1.551320,2.481953,1.985563,0.000000,0.000000
0.020000,1.691204,5.166624,1.601356,2.521665,1.985563,-0.000000,0.000000
0.020000,1.742035,5.166624,1.652187,2.561376,1.985563,0.000000,0.000000
0.020000,1.793660,5.166624,1.703811,2.601087,1.985563,0.000000,0.000000
0.020000,1.846078,5.166624,1.756230,2.640799,1.985563,-0.000000,0.000000
0.020000,1.899291,5.166624,1.809443,2.680510,1.985563,0.000000,0.000000
0.020000,1.953299,5.166624,1.863451,2.720221,1.985563,-0.000000,0.000000
0.020000,2.008100,5.166624,1.918252,2.759932,1.985563,0.000000,0.000000
0.020000,2.063696,5.166624,1.973848,2.799644,1.985563,-0.000000,0.000000
0.020000,2.120086,5.166624,2.030238,2.839355,1.985563,0.000000,0.000000
0.020000,2.177270,5.166624,2.087422,2.879066,1.985563,0.000000,0.000000
0.020000,2.235249,5.166624,2.145401,2.918777,1.985563,0.000000,0.000000
0.020000,2.294021,5.166624,2.204173,2.958489,1.985563,-0.000000,0.000000
0.020000,2.353588,5.166624,2.263740,2.998200,1.985563,0.000000,0.000000
0.020000,2.413949,5.166624,2.324101,3.037911,1.985563,-0.000000,0.000000
0.020000,2.475105,5.166624,2.385257,3.077622,1.985563,0.000000,0.000000
0.020000,2.537054,5.166624,2.447206,3.117334,1.985563,0.000000,0.000000
0.020000,2.599798,5.166624,2.509950,3.157045,1.985563,-0.000000,0.000000
0.020000,2.663336,5.166624,2.573488,3.196756,1.985563,0.000000,0.000000
