dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.211935,3.422608,0.000198,0.019827,0.991343,49.567138,0.001577
0.020000,0.212046,3.422608,0.000309,0.005551,-0.713799,-85.257098,0.001265
0.020000,0.212268,3.422608,0.000531,0.011099,0.277408,49.560357,0.000641
0.020000,0.213351,3.422608,0.001615,0.054171,2.153611,93.810148,6.282890
0.020000,0.216967,3.422605,0.005231,0.180792,6.331046,208.871733,6.281642
0.020000,0.221487,3.422594,0.009750,0.225991,2.259967,-203.553937,6.280083
0.020000,0.226910,3.422573,0.015174,0.271167,2.258797,-0.058493,6.278213
0.020000,0.233237,3.422534,0.021501,0.316364,2.259848,0.052557,6.276032
0.020000,0.240467,3.422473,0.028731,0.361513,2.257454,-0.119698,6.273541
0.020000,0.248600,3.422384,0.036865,0.406682,2.258434,0.048999,6.270741
0.020000,0.257636,3.422257,0.045901,0.451817,2.256729,-0.085260,6.267632
0.020000,0.267573,3.422086,0.055840,0.496942,2.256240,-0.024469,6.264215
0.020000,0.278412,3.421860,0.066681,0.542040,2.254924,-0.065784,6.260492
0.020000,0.290151,3.421570,0.078423,0.587127,2.254355,-0.028448,6.256463
0.020000,0.302789,3.421204,0.091067,0.632168,2.252040,-0.115732,6.252131
0.020000,0.316325,3.420753,0.104611,0.677199,2.251536,-0.025238,6.247497
0.020000,0.330758,3.420202,0.119054,0.722169,2.248532,-0.150160,6.242564
0.020000,0.346086,3.419538,0.134396,0.767102,2.246623,-0.095479,6.237334
0.020000,0.362306,3.418749,0.150636,0.811994,2.244623,-0.100007,6.231810
0.020000,0.379417,3.417820,0.167772,0.856803,2.240439,-0.209202,6.225995
0.020000,0.397416,3.416734,0.185803,0.901558,2.237728,-0.135513,6.219893
0.020000,0.416299,3.415477,0.204728,0.946245,2.234392,-0.166792,6.213508
0.020000,0.436063,3.414031,0.224545,0.990845,2.230007,-0.219283,6.206846
0.020000,0.456704,3.412380,0.245252,1.035338,2.224624,-0.269158,6.199911
0.020000,0.478217,3.410506,0.266846,1.079733,2.219727,-0.244825,6.192709
0.020000,0.500597,3.408392,0.289327,1.124005,2.213610,-0.305846,6.185247
0.020000,0.523840,3.406018,0.312690,1.168155,2.207524,-0.304314,6.177533
0.020000,0.547937,3.403365,0.336933,1.212161,2.200298,-0.361284,6.169574
0.020000,0.572883,3.400415,0.362053,1.256001,2.192010,-0.414411,6.161379
0.020000,0.598671,3.397148,0.388047,1.299691,2.184484,-0.376279,6.152958
0.020000,0.625292,3.393544,0.414910,1.343180,2.174461,-0.501185,6.144320
0.020000,0.652737,3.389584,0.442640,1.386477,2.164827,-0.481683,6.135478
0.020000,0.680998,3.385248,0.471231,1.429558,2.154050,-0.538841,6.126443
0.020000,0.710063,3.380517,0.500679,1.472411,2.142666,-0.569207,6.117227
0.020000,0.739924,3.375371,0.530980,1.515021,2.130508,-0.607923,6.107846
0.020000,0.770567,3.369792,0.562127,1.557373,2.117573,-0.646716,6.098313
0.020000,0.801982,3.363759,0.594116,1.599445,2.103627,-0.697312,6.088644
0.020000,0.834156,3.357256,0.626941,1.641230,2.089240,-0.719337,6.078855
0.020000,0.867076,3.350263,0.660595,1.682715,2.074255,-0.749258,6.068963
0.020000,0.900728,3.342765,0.695072,1.723875,2.057997,-0.812911,6.058986
0.020000,0.935099,3.334745,0.730367,1.764707,2.041601,-0.819777,6.048943
0.020000,0.970174,3.326188,0.766471,1.805197,2.024470,-0.856587,6.038852
0.020000,1.005939,3.317078,0.803377,1.845329,2.006619,-0.892555,6.028735
0.020000,1.042378,3.307403,0.841079,1.885094,1.988243,-0.918761,6.018612
0.020000,1.079477,3.297150,0.879569,1.924486,1.969613,-0.931497,6.008503
0.020000,1.117220,3.286307,0.918839,1.963492,1.950279,-0.966712,5.998431
0.020000,1.155593,3.274865,0.958881,2.002105,1.930689,-0.979489,5.988418
0.020000,1.194580,3.262816,0.999687,2.040322,1.910803,-0.994309,5.978485
0.020000,1.234166,3.250151,1.041250,2.078134,1.890634,-1.008464,5.968655
0.020000,1.274337,3.236865,1.083561,2.115539,1.870260,-1.018692,5.958953
0.020000,1.315078,3.222954,1.126611,2.152535,1.849759,-1.025045,5.949399
0.020000,1.356376,3.208415,1.170394,2.189117,1.829140,-1.030970,5.940019
0.020000,1.398217,3.193246,1.214899,2.225287,1.808497,-1.032134,5.930834
0.020000,1.440589,3.177449,1.260120,2.261044,1.787853,-1.032195,5.921869
0.020000,1.483479,3.161025,1.306048,2.296387,1.767155,-1.034904,5.913146
0.020000,1.526877,3.143977,1.352674,2.331319,1.746583,-1.028599,5.904688
0.020000,1.570773,3.126311,1.399991,2.365841,1.726091,-1.024609,5.896520
0.020000,1.615156,3.108035,1.447990,2.399954,1.705656,-1.021727,5.888663
0.020000,1.660019,3.089156,1.496663,2.433657,1.685122,-1.026746,5.881140
0.020000,1.705353,3.069685,1.546003,2.466957,1.665045,-1.003814,5.873975
0.020000,1.751154,3.049635,1.596000,2.499850,1.644626,-1.020981,5.867191
0.020000,1.797415,3.029019,1.646646,2.532338,1.624409,-1.010826,5.860809
0.020000,1.844132,3.007853,1.697935,2.564420,1.604116,-1.014658,5.854853
0.020000,1.891303,2.986155,1.749857,2.596096,1.583797,-1.015934,5.849346
0.020000,1.938925,2.963944,1.802404,2.627365,1.563406,-1.019559,5.844311
0.020000,1.986999,2.941242,1.855568,2.658218,1.542652,-1.037718,5.839770
0.020000,2.035524,2.918072,1.909341,2.688653,1.521750,-1.045083,5.835748
0.020000,2.084503,2.894459,1.963715,2.718663,1.500526,-1.061214,5.832269
0.020000,2.133937,2.870432,2.018679,2.748238,1.478757,-1.088429,5.829356
0.020000,2.183832,2.846019,2.074227,2.777371,1.456652,-1.105277,5.827035
0.020000,2.234193,2.821252,2.130348,2.806046,1.433749,-1.145153,5.825332
0.020000,2.285025,2.796166,2.187033,2.834251,1.410257,-1.174568,5.824272
0.020000,2.336336,2.770798,2.244272,2.861969,1.385901,-1.217832,5.823884
0.020000,2.388133,2.745186,2.302056,2.889182,1.360645,-1.262774,5.824196
0.020000,2.440427,2.719373,2.360373,2.915871,1.334421,-1.311231,5.825236
0.020000,2.493226,2.693403,2.419213,2.942012,1.307060,-1.368009,5.827037
0.020000,2.546541,2.667325,2.478565,2.967584,1.278594,-1.423297,5.829630
0.020000,2.600384,2.641188,2.538416,2.992562,1.248922,-1.483597,5.833048
0.020000,2.654766,2.615048,2.598755,3.016922,1.217964,-1.547941,5.837326
0.020000,2.709700,2.588962,2.659568,3.040635,1.185674,-1.614482,5.842500
0.020000,2.765197,2.562990,2.720841,3.063683,1.152417,-1.662850,5.848609
0.020000,2.821270,2.537198,2.782562,3.086037,1.117702,-1.735762,5.855690
0.020000,2.877932,2.511654,2.844716,3.107680,1.082127,-1.778761,5.863785
0.020000,2.935195,2.486431,2.907287,3.128595,1.045773,-1.817657,5.872933
0.020000,2.993070,2.461605,2.970263,3.148773,1.008904,-1.843464,5.883176
0.020000,3.051570,2.437256,3.033627,3.168211,0.971900,-1.850192,5.894556
0.020000,3.110703,2.413470,3.097365,3.186919,0.935363,-1.826852,5.907114
0.020000,3.170481,2.390334,3.161464,3.204918,0.899967,-1.769828,5.920889
0.020000,3.230910,2.367940,3.225909,3.222249,0.866542,-1.671213,5.935920
0.020000,3.291998,2.346386,3.290688,3.238971,0.836126,-1.520829,5.952240
0.020000,3.353751,2.325769,3.355792,3.255168,0.809853,-1.313620,5.969879
0.020000,3.416172,2.306191,3.421211,3.270953,0.789215,-1.031935,5.988860
0.020000,3.479263,2.287757,3.486940,3.286468,0.775767,-0.672408,6.009199
0.020000,3.543026,2.270574,3.552978,3.301891,0.771132,-0.231717,6.030899
0.020000,3.607460,2.254747,3.619327,3.317436,0.777281,0.307439,6.053956
0.020000,3.672561,2.240385,3.685994,3.333352,0.795760,0.923942,6.078346
0.020000,3.738328,2.227594,3.752992,3.349925,0.828656,1.644814,6.104035
0.020000,3.804754,2.216480,3.820341,3.367465,0.877034,2.418874,6.130966
0.020000,3.871834,2.207147,3.888068,3.386309,0.942185,3.257584,6.159067
0.020000,3.939561,2.199694,3.956204,3.406802,1.024671,4.124270,6.188246
0.020000,4.007928,2.194218,4.024789,3.429284,1.124081,4.970497,6.218390
0.020000,4.076017,2.190755,4.092966,3.408857,-1.021344,-107.271226,6.244115
0.020000,4.148985,2.188721,4.165963,3.649824,12.048358,653.485080,6.266319
0.020000,4.223110,2.188267,4.240089,3.706310,2.824305,-461.202657,0.004390
0.020000,4.298390,2.189367,4.315378,3.764434,2.906180,4.093784,0.024609
0.020000,4.374826,2.191988,4.391859,3.824056,2.981114,3.746668,0.043705
0.020000,4.452419,2.196087,4.469560,3.885036,3.048976,3.393119,0.061602
0.020000,4.530938,2.201595,4.548271,3.935582,2.527296,-26.083996,0.078184
0.020000,4.609779,2.208381,4.627404,3.956632,1.052529,-73.738337,0.093293
0.020000,4.688425,2.216288,4.706447,3.952135,-0.224851,-63.869036,0.106838
0.020000,4.766727,2.225170,4.785250,3.940188,-0.597378,-18.626344,0.118825
0.020000,4.844673,2.234900,4.863802,3.927565,-0.631148,-1.688489,0.129293
0.020000,4.922257,2.245351,4.942086,3.914219,-0.667306,-1.807889,0.138280
0.020000,4.999472,2.256403,5.020089,3.900124,-0.704751,-1.872262,0.145831
0.020000,5.076316,2.267940,5.097794,3.885270,-0.742671,-1.896002,0.151987
0.020000,5.152788,2.279850,5.175187,3.869662,-0.780396,-1.886226,0.156791
0.020000,5.228886,2.292025,5.252254,3.853313,-0.817458,-1.853099,0.160284
0.020000,5.304613,2.304362,5.328978,3.836241,-0.853590,-1.806597,0.162507
0.020000,5.379968,2.316763,5.405348,3.818469,-0.888596,-1.750300,0.163499
0.020000,5.454955,2.329133,5.481348,3.800021,-0.922421,-1.691259,0.163299
0.020000,5.529575,2.341383,5.556967,3.780920,-0.955076,-1.632752,0.161942
0.020000,5.603828,2.353427,5.632190,3.761186,-0.986668,-1.579606,0.159466
0.020000,5.677716,2.365183,5.707007,3.740839,-1.017335,-1.533350,0.155903
0.020000,5.751237,2.376571,5.781405,3.719894,-1.047258,-1.496148,0.151288
0.020000,5.824389,2.387519,5.855372,3.698361,-1.076691,-1.471681,0.145654
0.020000,5.897170,2.397956,5.928897,3.676244,-1.105835,-1.457154,0.139034
0.020000,5.969572,2.407814,6.001968,3.653544,-1.134989,-1.457712,0.131460
0.020000,6.041590,2.417032,6.074573,3.630256,-1.164402,-1.470655,0.122965
0.020000,6.113213,2.425548,6.146700,3.606370,-1.194321,-1.495954,0.113583
0.020000,6.184429,2.433308,6.218338,3.581869,-1.225018,-1.534873,0.103349
0.020000,6.255223,2.440261,6.289472,3.556735,-1.256727,-1.585443,0.092298
0.020000,6.325578,2.446359,6.360091,3.530942,-1.289650,-1.646117,0.080468
0.020000,6.395474,2.451558,6.430181,3.504462,-1.323960,-1.715533,0.067896
0.020000,6.464889,2.455820,6.499726,3.477266,-1.359802,-1.792101,0.054624
0.020000,6.533797,2.459111,6.568712,3.449320,-1.397304,-1.875069,0.040692
0.020000,6.602170,2.461401,6.637124,3.420592,-1.436424,-1.956037,0.026147
0.020000,6.669979,2.462666,6.704945,3.391048,-1.477209,-2.039245,0.011032
0.020000,6.737192,2.462885,6.772158,3.360654,-1.519671,-2.123070,6.278582
0.020000,6.813575,2.460982,6.848565,3.820337,22.984144,1225.190727,6.232225
0.020000,6.890296,2.455183,6.925504,3.846973,1.331788,-1082.617806,6.184759
0.020000,6.961698,2.446794,6.997398,3.594682,-12.614558,-697.317287,6.149262
0.020000,7.028045,2.436986,7.064466,3.353387,-12.064761,27.489871,6.125112
0.020000,7.089670,2.426687,7.126945,3.123980,-11.470321,29.721998,6.111637
0.020000,7.146892,2.416626,7.185046,2.905025,-10.947755,26.128280,6.108248
0.020000,7.199975,2.407369,7.238929,2.694164,-10.543066,20.234471,6.114488
0.020000,7.249106,2.399350,7.288711,2.489074,-10.254469,14.429829,6.130032
0.020000,7.294410,2.392884,7.334473,2.288142,-10.046607,10.393105,6.154644
0.020000,7.335964,2.388177,7.376294,2.091004,-9.856896,9.485564,6.188112
0.020000,7.373837,2.385327,7.414274,1.899023,-9.599078,12.890901,6.230144
0.020000,7.408136,2.384330,7.448587,1.715630,-9.169655,21.471142,6.280259
0.020000,7.439053,2.385094,7.479513,1.546342,-8.464400,35.262764,0.054478
0.020000,7.466915,2.387476,7.507477,1.398185,-7.407825,52.828739,0.117983
0.020000,7.492191,2.391328,7.533044,1.278368,-5.990855,70.848489,0.185996
0.020000,7.515459,2.396552,7.556892,1.192400,-4.298414,84.622055,0.256614
0.020000,7.537339,2.403130,7.579739,1.142335,-2.503253,89.758039,0.327817
0.020000,7.560615,2.411964,7.604636,1.244818,5.124158,381.370577,0.386059
0.020000,7.589941,2.424581,7.636561,1.596262,17.572224,622.403300,0.427279
0.020000,7.617162,2.437688,7.666773,1.510619,-4.282143,-1092.718371,0.471085
0.020000,7.642277,2.451207,7.695295,1.426091,-4.226408,2.786772,0.517415
0.020000,7.665318,2.465061,7.722180,1.344254,-4.091852,6.727787,0.566118
0.020000,7.686357,2.479182,7.747519,1.266922,-3.866603,11.262429,0.616939
0.020000,7.705503,2.493522,7.771440,1.196072,-3.542517,16.204308,0.669514
0.020000,7.722900,2.508060,7.794112,1.133580,-3.124589,20.896383,0.723374
0.020000,7.738713,2.522805,7.815732,1.081045,-2.626748,24.892076,0.777959
0.020000,7.753121,2.537794,7.836523,1.039527,-2.075890,27.542899,0.832649
0.020000,7.766297,2.553089,7.856711,1.009396,-1.506564,28.466292,0.886803
0.020000,7.778400,2.568766,7.876516,0.990262,-0.956677,27.494354,0.939804
0.020000,7.789562,2.584901,7.896137,0.981021,-0.462072,24.730255,0.991095
0.020000,7.799890,2.601561,7.915737,0.980037,-0.049218,20.642678,1.040212
0.020000,7.809459,2.618789,7.935445,0.985366,0.266471,15.784461,1.086799
0.020000,7.818326,2.636604,7.955345,0.994993,0.481351,10.744008,1.130615
0.020000,7.826528,2.654999,7.975485,1.007024,0.601566,6.010727,1.171524
0.020000,7.834094,2.673940,7.995881,1.019821,0.639850,1.914221,1.209484
0.020000,7.841046,2.693375,8.016523,1.032064,0.612105,-1.387256,1.244526
0.020000,7.847406,2.713237,8.037378,1.042757,0.534697,-3.870376,1.276736
0.020000,7.853198,2.733448,8.058402,1.051210,0.422642,-5.602763,1.306242
0.020000,7.858445,2.753926,8.079542,1.056983,0.288655,-6.699344,1.333192
0.020000,7.863177,2.774588,8.100739,1.059838,0.142748,-7.295376,1.357753
0.020000,7.867423,2.795352,8.121932,1.059688,-0.007521,-7.513438,1.380091
0.020000,7.871215,2.816140,8.143063,1.056556,-0.156617,-7.454811,1.400376
0.020000,7.874584,2.836879,8.164074,1.050536,-0.300999,-7.219074,1.418769
0.020000,7.877566,2.857499,8.184909,1.041765,-0.438535,-6.876814,1.435426
0.020000,7.880191,2.877940,8.205518,1.030415,-0.567503,-6.448410,1.450490
0.020000,7.882491,2.898142,8.225851,1.016660,-0.687750,-6.012350,1.464099
0.020000,7.884499,2.918055,8.245864,1.000677,-0.799127,-5.568847,1.476376
0.020000,7.886242,2.937631,8.265517,0.982646,-0.901579,-5.122599,1.487437
0.020000,7.887748,2.956826,8.284772,0.962728,-0.995873,-4.714672,1.497388
0.020000,7.889044,2.975603,8.303594,0.941082,-1.082318,-4.322273,1.506326
0.020000,7.890152,2.993927,8.321951,0.917849,-1.161646,-3.966414,1.514341
0.020000,7.891095,3.011765,8.339814,0.893163,-1.234307,-3.633038,1.521514
0.020000,7.891893,3.029089,8.357157,0.867142,-1.301068,-3.338042,1.527920
0.020000,7.892565,3.045874,8.373955,0.839898,-1.362193,-3.056257,1.533628
0.020000,7.893126,3.062095,8.390185,0.811526,-1.418597,-2.820218,1.538702
0.020000,7.893592,3.077730,8.405828,0.782121,-1.470225,-2.581359,1.543200
0.020000,7.893977,3.092761,8.420863,0.751763,-1.517908,-2.384180,1.547174
0.020000,7.894292,3.107168,8.435273,0.720525,-1.561884,-2.198767,1.550675
0.020000,7.894547,3.120935,8.449043,0.688476,-1.602447,-2.028158,1.553749
0.020000,7.894753,3.134047,8.462156,0.655682,-1.639731,-1.864230,1.556437
0.020000,7.894917,3.146490,8.474600,0.622195,-1.674341,-1.730504,1.558778
0.020000,7.895046,3.158250,8.486362,0.588073,-1.706115,-1.588667,1.560807
0.020000,7.895147,3.169317,8.497429,0.553362,-1.735556,-1.472060,1.562559
0.020000,7.895224,3.179679,8.507791,0.518111,-1.762522,-1.348293,1.564063
0.020000,7.895283,3.189326,8.517439,0.482364,-1.787349,-1.241368,1.565348
0.020000,7.895327,3.198249,8.526362,0.446163,-1.810062,-1.135638,1.566438
0.020000,7.895358,3.206440,8.534553,0.409548,-1.830753,-1.034532,1.567358
0.020000,7.895381,3.213891,8.542004,0.372557,-1.849551,-0.939929,1.568127
0.020000,7.895397,3.220596,8.548708,0.335229,-1.866389,-0.841897,1.568766
0.020000,7.895407,3.226548,8.554660,0.297599,-1.881480,-0.754562,1.569291
0.020000,7.895414,3.231742,8.559855,0.259705,-1.894719,-0.661929,1.569717
0.020000,7.895418,3.236174,8.564286,0.221580,-1.906250,-0.576549,1.570057
