dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.212496,3.067008,0.000198,0.019827,0.991343,49.567138,0.001577
0.020000,0.212496,3.067008,0.000991,0.059481,1.982686,49.567138,0.001265
0.020000,0.212496,3.067008,0.002577,0.099134,1.982686,-0.000000,0.000641
0.020000,0.213246,3.067008,0.004957,0.138788,1.982686,0.000000,6.282890
0.020000,0.216418,3.067005,0.008129,0.178442,1.982686,-0.000000,6.281642
0.020000,0.220384,3.066996,0.012094,0.218095,1.982686,0.000000,6.280083
0.020000,0.225142,3.066977,0.016853,0.257749,1.982686,0.000000,6.278213
0.020000,0.230694,3.066943,0.022404,0.297403,1.982686,-0.000000,6.276032
0.020000,0.237038,3.066890,0.028749,0.337057,1.982686,0.000000,6.273541
0.020000,0.244175,3.066811,0.035887,0.376710,1.982686,0.000000,6.270741
0.020000,0.252105,3.066700,0.043817,0.416364,1.982686,0.000000,6.267632
0.020000,0.260828,3.066550,0.052541,0.456018,1.982686,0.000000,6.264215
0.020000,0.270343,3.066351,0.062058,0.495671,1.982686,0.000000,6.260492
0.020000,0.280649,3.066097,0.072368,0.535325,1.982686,-0.000000,6.256463
0.020000,0.291748,3.065776,0.083471,0.574979,1.982686,0.000000,6.252131
0.020000,0.303637,3.065379,0.095367,0.614633,1.982686,-0.000000,6.247497
0.020000,0.316317,3.064895,0.108056,0.654286,1.982686,0.000000,6.242564
0.020000,0.329787,3.064312,0.121539,0.693940,1.982686,-0.000000,6.237334
0.020000,0.344045,3.063618,0.135814,0.733594,1.982686,0.000000,6.231810
0.020000,0.359091,3.062801,0.150882,0.773247,1.982686,-0.000000,6.225995
0.020000,0.374924,3.061846,0.166744,0.812901,1.982686,0.000000,6.219893
0.020000,0.391542,3.060739,0.183398,0.852555,1.982686,-0.000000,6.213508
0.020000,0.408943,3.059467,0.200846,0.892208,1.982686,0.000000,6.206846
0.020000,0.427126,3.058012,0.219087,0.931862,1.982686,-0.000000,6.199911
0.020000,0.446087,3.056361,0.238121,0.971516,1.982686,0.000000,6.192709
0.020000,0.465826,3.054496,0.257947,1.011170,1.982686,0.000000,6.185247
0.020000,0.486339,3.052400,0.278567,1.050823,1.982686,-0.000000,6.177533
0.020000,0.507624,3.050057,0.299980,1.090477,1.982686,0.000000,6.169574
0.020000,0.529676,3.047450,0.322186,1.130131,1.982686,0.000000,6.161379
0.020000,0.552493,3.044559,0.345186,1.169784,1.982686,0.000000,6.152958
0.020000,0.576070,3.041367,0.368978,1.209438,1.982686,0.000000,6.144320
0.020000,0.600403,3.037856,0.393563,1.249092,1.982686,-0.000000,6.135478
0.020000,0.625488,3.034008,0.418941,1.288746,1.982686,0.000000,6.126443
0.020000,0.651319,3.029803,0.445113,1.328399,1.982686,0.000000,6.117227
0.020000,0.677892,3.025224,0.472077,1.368053,1.982686,0.000000,6.107846
0.020000,0.705200,3.020251,0.499835,1.407707,1.982686,-0.000000,6.098313
0.020000,0.733239,3.014867,0.528386,1.447360,1.982686,0.000000,6.088644
