dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.213056,2.711409,0.000198,0.019827,0.991343,49.567138,0.001577
0.020000,0.212945,2.711409,0.000309,0.005551,-0.713799,-85.257098,0.001265
0.020000,0.212723,2.711408,0.000531,0.011099,0.277408,49.560357,0.000641
0.020000,0.213141,2.711408,0.000949,0.020885,0.489298,10.594489,6.282890
0.020000,0.215870,2.711406,0.003678,0.136428,5.777150,264.392619,6.281642
0.020000,0.219281,2.711398,0.007089,0.170550,1.706125,-203.551281,6.280083
0.020000,0.223374,2.711381,0.011182,0.204666,1.705766,-0.017911,6.278213
0.020000,0.228150,2.711352,0.015958,0.238810,1.707230,0.073195,6.276032
0.020000,0.233609,2.711307,0.021417,0.272936,1.706262,-0.048427,6.273541
0.020000,0.239750,2.711239,0.027559,0.307096,1.708034,0.088624,6.270741
0.020000,0.246575,2.711143,0.034384,0.341256,1.708003,-0.001555,6.267632
0.020000,0.254082,2.711014,0.041893,0.375439,1.709147,0.057198,6.264215
0.020000,0.262273,2.710843,0.050085,0.409639,1.709961,0.040690,6.260492
0.020000,0.271148,2.710624,0.058963,0.443872,1.711673,0.085634,6.256463
0.020000,0.280706,2.710347,0.068525,0.478121,1.712445,0.038570,6.252131
0.020000,0.290949,2.710005,0.078774,0.512421,1.715011,0.128287,6.247497
0.020000,0.301876,2.709588,0.089709,0.546744,1.716162,0.057582,6.242564
0.020000,0.313488,2.709086,0.101331,0.581118,1.718670,0.125392,6.237334
0.020000,0.325784,2.708488,0.113642,0.615552,1.721695,0.151249,6.231810
0.020000,0.338765,2.707782,0.126642,0.650026,1.723707,0.100613,6.225995
0.020000,0.352432,2.706958,0.140334,0.684577,1.727539,0.191603,6.219893
0.020000,0.366785,2.706002,0.154718,0.719210,1.731662,0.206147,6.213508
0.020000,0.381823,2.704902,0.169797,0.753926,1.735815,0.207626,6.206846
0.020000,0.397547,2.703645,0.185571,0.788728,1.740097,0.214091,6.199911
0.020000,0.413958,2.702215,0.202044,0.823642,1.745700,0.280157,6.192709
0.020000,0.431055,2.700600,0.219218,0.858670,1.751385,0.284262,6.185247
0.020000,0.448839,2.698783,0.237094,0.893833,1.758165,0.339007,6.177533
0.020000,0.467311,2.696750,0.255677,0.929137,1.765202,0.351855,6.169574
0.020000,0.48669,2.694484,0.274969,0.964589,1.772604,0.370069,6.161379
0.020000,0.506315,2.691970,0.294973,1.000226,1.781819,0.460759,6.152958
0.020000,0.526848,2.689190,0.315694,1.036033,1.790383,0.428213,6.144320
0.020000,0.548069,2.686128,0.337135,1.072044,1.800550,0.508367,6.135478
0.020000,0.569978,2.682767,0.359300,1.108268,1.811168,0.530853,6.126443
0.020000,0.592575,2.679089,0.382195,1.144721,1.822665,0.574876,6.117227
0.020000,0.615860,2.675076,0.405823,1.181419,1.834922,0.612862,6.107846
0.020000,0.639834,2.670711,0.430190,1.218378,1.847936,0.650673,6.098313
0.020000,0.664495,2.665975,0.455303,1.255608,1.861507,0.678545,6.088644
0.020000,0.689845,2.660851,0.481165,1.293129,1.876058,0.727571,6.078855
0.020000,0.715883,2.655320,0.507784,1.330958,1.891434,0.768774,6.068963
0.020000,0.742610,2.649365,0.535166,1.369099,1.907051,0.780892,6.058986
0.020000,0.770025,2.642968,0.563318,1.407574,1.923752,0.835014,6.048943
0.020000,0.798129,2.636111,0.592246,1.446394,1.940994,0.862113,6.038852
0.020000,0.826921,2.628778,0.621957,1.485568,1.958712,0.885886,6.028735
0.020000,0.856401,2.620950,0.652459,1.525108,1.976974,0.913097,6.018612
0.020000,0.886571,2.612611,0.683760,1.565026,1.995905,0.946583,6.008503
0.020000,0.917429,2.603747,0.715866,1.605327,2.015043,0.956889,5.998431
0.020000,0.948977,2.594340,0.748787,1.646020,2.034647,0.980191,5.988418
0.020000,0.981214,2.584376,0.782529,1.687111,2.054579,0.996625,5.978485
0.020000,1.014142,2.573841,0.817101,1.728606,2.074746,1.008334,5.968655
0.020000,1.047761,2.562722,0.852511,1.770508,2.095108,1.018109,5.958953
0.020000,1.082073,2.551006,0.888768,1.812821,2.115632,1.026168,5.949399
0.020000,1.117078,2.538682,0.925879,1.855546,2.136231,1.029953,5.940019
0.020000,1.152778,2.525740,0.963852,1.898684,2.156902,1.033545,5.930834
0.020000,1.189175,2.512170,1.002697,1.942235,2.177590,1.034411,5.921869
0.020000,1.226272,2.497964,1.042421,1.986199,2.198188,1.029890,5.913146
0.020000,1.264072,2.483115,1.083032,2.030575,2.218802,1.030721,5.904688
0.020000,1.302577,2.467618,1.124540,2.075362,2.239362,1.027985,5.896520
0.020000,1.341794,2.451469,1.166951,2.120559,2.259831,1.023461,5.888663
0.020000,1.381725,2.434665,1.210274,2.166160,2.280069,1.011890,5.881140
0.020000,1.422378,2.417205,1.254517,2.212172,2.300591,1.026118,5.873975
0.020000,1.463758,2.399090,1.299689,2.258587,2.320721,1.006492,5.867191
0.020000,1.505873,2.380321,1.345797,2.305407,2.341000,1.013945,5.860809
0.020000,1.548732,2.360903,1.392850,2.352632,2.361250,1.012526,5.854853
0.020000,1.592345,2.340841,1.440855,2.400264,2.381610,1.017971,5.849346
0.020000,1.636721,2.320144,1.489821,2.448307,2.402145,1.026757,5.844311
0.020000,1.681875,2.298821,1.539757,2.496761,2.422709,1.028227,5.839770
0.020000,1.727819,2.276883,1.590669,2.545634,2.443643,1.046703,5.835748
0.020000,1.774568,2.254345,1.642568,2.594933,2.464939,1.064777,5.832269
0.020000,1.822140,2.231223,1.695461,2.644664,2.486551,1.080597,5.829356
0.020000,1.870552,2.207535,1.749358,2.694841,2.508856,1.115241,5.827035
0.020000,1.919826,2.183303,1.804267,2.745473,2.531596,1.137004,5.825332
0.020000,1.969982,2.158551,1.860199,2.796576,2.555164,1.178415,5.824272
0.020000,2.021045,2.133305,1.917162,2.848166,2.579484,1.216008,5.823884
0.020000,2.073041,2.107595,1.975167,2.900260,2.604713,1.261450,5.824196
0.020000,2.125998,2.081454,2.034225,2.952879,2.630966,1.312623,5.825236
0.020000,2.179947,2.054919,2.094346,3.006044,2.658244,1.363920,5.827037
0.020000,2.234919,2.028031,2.155542,3.059779,2.686727,1.424137,5.829630
0.020000,2.290948,2.000833,2.217824,3.114107,2.716430,1.485135,5.833048
0.020000,2.348073,1.973375,2.281205,3.169054,2.747341,1.545572,5.837326
0.020000,2.406331,1.945710,2.345698,3.224642,2.779427,1.604290,5.842500
0.020000,2.465763,1.917897,2.411316,3.280903,2.813011,1.679191,5.848609
0.020000,2.526412,1.890001,2.478073,3.337851,2.847409,1.719924,5.855690
0.020000,2.588322,1.862092,2.545983,3.395510,2.882973,1.778175,5.863785
0.020000,2.651539,1.834246,2.615061,3.453897,2.919353,1.819037,5.872933
0.020000,2.716110,1.806549,2.685321,3.513022,2.956206,1.842654,5.883176
