dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.532724,3.791211,0.000199,0.019876,0.993807,49.690338,0.001323
0.020000,1.532551,3.791211,0.000372,0.008638,-0.561899,-77.785310,0.000837
0.020000,1.532425,3.791210,0.000498,0.006330,-0.115391,22.325417,6.283052
0.020000,1.534294,3.791209,0.002368,0.093488,4.357860,223.662558,6.281603
0.020000,1.536791,3.791202,0.004864,0.124823,1.566766,-139.554688,6.279680
0.020000,1.539917,3.791188,0.007991,0.156312,1.574462,0.384809,6.277293
0.020000,1.543677,3.791160,0.011750,0.187983,1.583536,0.453680,6.274451
0.020000,1.548074,3.791115,0.016148,0.219877,1.594692,0.557775,6.271167
0.020000,1.553114,3.791045,0.021188,0.252034,1.607849,0.657859,6.267456
0.020000,1.558803,3.790943,0.026878,0.284482,1.622402,0.727658,6.263334
0.020000,1.565146,3.790803,0.033223,0.317260,1.638930,0.826394,6.258820
0.020000,1.572152,3.790615,0.040231,0.350407,1.657321,0.919570,6.253934
0.020000,1.579827,3.790370,0.047910,0.383948,1.677084,0.988127,6.248699
0.020000,1.588180,3.790059,0.056269,0.417921,1.698635,1.077571,6.243139
0.020000,1.597219,3.789670,0.065316,0.452358,1.721862,1.161357,6.237280
0.020000,1.606953,3.789193,0.075062,0.487285,1.746333,1.223516,6.231150
0.020000,1.617391,3.788616,0.085516,0.522732,1.772330,1.299887,6.224777
0.020000,1.628544,3.787926,0.096691,0.558728,1.799801,1.373514,6.218193
0.020000,1.640422,3.787113,0.108597,0.595292,1.828211,1.420537,6.211430
0.020000,1.653036,3.786162,0.121246,0.632449,1.857853,1.482091,6.204521
0.020000,1.666395,3.785061,0.134650,0.670225,1.888821,1.548415,6.197501
0.020000,1.680511,3.783798,0.148823,0.708629,1.920182,1.568022,6.190405
0.020000,1.695395,3.782359,0.163776,0.747680,1.952529,1.617372,6.183269
0.020000,1.711059,3.780732,0.179524,0.787399,1.985981,1.672579,6.176132
0.020000,1.727514,3.778904,0.196080,0.827790,2.019528,1.677354,6.169031
0.020000,1.744771,3.776863,0.213458,0.868870,2.054003,1.723758,6.162004
0.020000,1.762842,3.774598,0.231670,0.910640,2.088492,1.724415,6.155091
0.020000,1.781740,3.772099,0.250733,0.953118,2.123943,1.772566,6.148331
0.020000,1.801476,3.769354,0.270659,0.996304,2.159253,1.765513,6.141764
0.020000,1.822063,3.766356,0.291463,1.040209,2.195260,1.800330,6.135431
0.020000,1.843513,3.763095,0.313160,1.084837,2.231398,1.806908,6.129372
0.020000,1.865840,3.759567,0.335764,1.130199,2.268100,1.835099,6.123628
0.020000,1.889057,3.755766,0.359290,1.176303,2.305204,1.855202,6.118242
0.020000,1.913178,3.751687,0.383753,1.223156,2.342654,1.872487,6.113255
0.020000,1.938217,3.747331,0.409168,1.270778,2.381131,1.923885,6.108710
