dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.790293,7.715952,0.000198,0.019794,0.989693,49.484634,3.709707
0.020000,4.790665,7.716190,0.000639,0.022072,0.113901,-43.789561,3.708465
0.020000,4.790152,7.715864,0.001248,0.030409,0.416841,15.146990,3.705979
0.020000,4.789267,7.715306,0.002293,0.052276,1.093366,33.826227,3.702240
0.020000,4.788091,7.714572,0.003680,0.069355,0.853941,-11.971253,3.697234
0.020000,4.786624,7.713667,0.005403,0.086145,0.839506,-0.721722,3.690947
0.020000,4.784870,7.712603,0.007455,0.102590,0.822254,-0.862615,3.683358
0.020000,4.782832,7.711388,0.009828,0.118634,0.802201,-1.002650,3.674444
0.020000,4.780512,7.710036,0.012512,0.134245,0.780566,-1.081770,3.664182
0.020000,4.777915,7.708560,0.015500,0.149398,0.757647,-1.145940,3.652546
0.020000,4.775042,7.706974,0.018782,0.164088,0.734509,-1.156875,3.639510
0.020000,4.771896,7.705293,0.022349,0.178345,0.712800,-1.085454,3.625049
0.020000,4.768478,7.703533,0.026193,0.192215,0.693539,-0.963078,3.609141
0.020000,4.764788,7.701710,0.030309,0.205796,0.679055,-0.724181,3.591771
0.020000,4.760822,7.699839,0.034694,0.219221,0.671235,-0.390988,3.572930
0.020000,4.756576,7.697937,0.039347,0.232674,0.672625,0.069501,3.552618
0.020000,4.752037,7.696017,0.044275,0.246395,0.686052,0.671344,3.530852
0.020000,4.747191,7.694094,0.049489,0.260686,0.714554,1.425071,3.507663
0.020000,4.742014,7.692182,0.055007,0.275914,0.761440,2.344303,3.483104
0.020000,4.736477,7.690295,0.060857,0.292495,0.829031,3.379568,3.457251
0.020000,4.730541,7.688445,0.067075,0.310913,0.920884,4.592636,3.430208
0.020000,4.724155,7.686647,0.073709,0.331676,1.038145,5.863038,3.402106
0.020000,4.717263,7.684917,0.080815,0.355325,1.182483,7.216908,3.373108
0.020000,4.709793,7.683274,0.088463,0.382397,1.353572,8.554479,3.343405
0.020000,4.701669,7.681740,0.096731,0.413391,1.549705,9.806642,3.313220
0.020000,4.692803,7.680344,0.105706,0.448752,1.768075,10.918498,3.282797
0.020000,4.683104,7.679117,0.115483,0.488836,2.004194,11.805940,3.252402
0.020000,4.672475,7.678099,0.126161,0.533888,2.252591,12.419863,3.222314
0.020000,4.660819,7.677332,0.137841,0.584032,2.507183,12.729572,3.192820
0.020000,4.648042,7.676864,0.150627,0.639269,2.761839,12.732840,3.164206
0.020000,4.634053,7.676744,0.164616,0.699488,3.010958,12.455916,3.136753
0.020000,4.618766,7.677022,0.179906,0.764489,3.250051,11.954691,3.110729
0.020000,4.602101,7.677745,0.196586,0.834010,3.476043,11.299573,3.086388
0.020000,4.583987,7.678956,0.214742,0.907762,3.687634,10.579530,3.063969
0.020000,4.564354,7.680690,0.234451,0.985466,3.885193,9.877969,3.043693
0.020000,4.543138,7.682973,0.255789,1.066883,4.070848,9.282769,3.025770
0.020000,4.520278,7.685818,0.278825,1.151843,4.247978,8.856503,3.010399
0.020000,4.495708,7.689226,0.303631,1.240269,4.421337,8.667944,2.997774
0.020000,4.469359,7.693180,0.330275,1.332198,4.596444,8.755332,2.988093
0.020000,4.441155,7.697647,0.358831,1.427789,4.779541,9.154880,2.981562
